word,npmi-bias,gay-npmi,gay-count,her-npmi,her-count
i,-0.1336089383762228,0.1726839646987878,4,0.3062929030750106,74
like,-0.0903836623870421,0.1581211733732094,1,0.2485048357602515,18
about,-0.06971511711690881,0.1808148946377946,1,0.2505300117547034,15
me,-0.0621905970550965,0.1846341847286308,1,0.2468247817837273,14
back,-0.0617468493609305,0.2292298231880766,1,0.2909766725490071,14
was,-0.038381071992956706,0.2944540472351808,4,0.3328351192281375,40
home,-0.036837366557164686,0.260008194091471,1,0.2968455606486357,11
would,-0.036720047531484,0.1872459344625401,1,0.2239659819940241,11
and,-0.03391803581733721,0.3426108028061029,12,0.3765288386234401,107
own,-0.027425465369510904,0.2538767295436401,1,0.281302194913151,10
time,-0.027276017842292083,0.2246695232264159,1,0.251945541068708,10
off,-0.017208836506070357,0.2589443973588688,1,0.2761532338649392,9
here,-0.016424516797223787,0.1942590017110966,1,0.2106835185083204,9
a,-0.014789820392295427,0.3185280405536974,10,0.3333178609459928,81
out,-0.013422367606906294,0.2442552474162119,2,0.2576776150231182,17
white,-0.008651022208582715,0.2766179029996072,4,0.2852689252081899,32
old,-0.007719640416797513,0.306593848210513,2,0.3143134886273105,16
by,-0.0070617868489885605,0.2661766556423075,2,0.2732384424912961,16
around,-0.005687763499791304,0.242301429055201,1,0.2479891925549923,8
school,-0.005421159962988892,0.2270209148481517,1,0.2324420748111406,8
were,-0.005390220430795678,0.2253029943037516,1,0.2306932147345473,8
we,0.0007939858454132087,0.2308256648221037,2,0.2300316789766905,15
be,0.0009958364087045146,0.2225641675538312,2,0.2215683311451267,15
watch,0.006678308496663621,0.2535527207399053,1,0.2468744122432417,7
what,0.008052795700236093,0.1967951157977903,1,0.1887423200975542,7
at,0.013313610629097583,0.2855405370323465,3,0.2722269264032489,20
then,0.014436218116504584,0.295047611471362,2,0.2806113933548574,13
negro,0.020053250753914398,0.2801038173399138,1,0.2600505665859994,6
thing,0.020493705036012,0.2656148204121383,1,0.2451211153761263,6
think,0.021739822078739812,0.2248800432261317,1,0.2031402211473919,6
an,0.02237790439602902,0.2041660570800269,1,0.1817881526839979,6
to,0.029955364838514187,0.3492553272265888,13,0.3192999623880746,81
but,0.032545196989099995,0.2696359246510539,3,0.2370907276619539,17
behind,0.034636242740130885,0.3190684929780839,1,0.284432250237953,5
sorry,0.034791326893404695,0.3152346794336491,1,0.2804433525402444,5
seen,0.036360955908812415,0.2757972276948492,1,0.2394362717860368,5
man,0.036696957173135064,0.2671990310042123,1,0.2305020738310772,5
come,0.036712528975500924,0.2667991684867617,1,0.2300866395112608,5
on,0.03682631921876889,0.3198189922109506,6,0.2829926729921817,34
right,0.03696236352165899,0.2603668053595391,1,0.2234044418378801,5
when,0.03747805618964911,0.3108573159478735,3,0.2733792597582244,16
very,0.03779873619814392,0.2385957277700314,1,0.2007969915718875,5
too,0.037827985283422016,0.2378275985166722,1,0.1999996132332502,5
want,0.03806781268179471,0.2315117039980811,1,0.1934438913162864,5
should,0.038162637783294595,0.2290057342516891,1,0.1908430964683945,5
will,0.03863313175144917,0.2860229890669719,3,0.2473898573155227,16
it,0.04145972183251523,0.3114057652599964,7,0.2699460434274812,39
no,0.0424324672762314,0.2672907979249346,2,0.2248583306487032,10
one,0.04292221746855371,0.2563483149879553,2,0.2134260975194016,10
in,0.045399755411762,0.3753081883179328,12,0.3299084329061708,67
if,0.0461777033198181,0.2779347513604833,3,0.2317570480406652,15
for,0.0495383173704515,0.3102720307063573,6,0.2607337133359058,31
my,0.0502404441382745,0.3236639425006842,5,0.2734234983624097,25
kids,0.05084917964892899,0.3093736463117378,2,0.2585244666628088,9
has,0.05219392225376129,0.2834110779089208,2,0.2312171556551595,9
beautiful,0.054093008875430004,0.3059150773895706,1,0.2518220685141406,4
nothing,0.055668438254257074,0.2744275854130094,1,0.2187591471587523,4
ever,0.05624283530765822,0.2625623962620298,1,0.2063195609543716,4
down,0.056975685537358406,0.2470978748650735,1,0.1901221893277151,4
years,0.0572119730784367,0.2420298108372469,1,0.1848178377588102,4
day,0.0573471071083497,0.2391127293173303,1,0.1817656222089806,4
now,0.05752146681844919,0.2353284949928119,1,0.1778070281743627,4
any,0.05774871161176298,0.2303613121439393,1,0.1726126005321763,4
our,0.05918014070640901,0.1980957739850262,1,0.1389156332786172,4
the,0.06083089790370577,0.3669247776870533,17,0.3060938797833475,91
or,0.061786197171681684,0.2779347513604833,3,0.2161485541888016,13
not,0.062161287019260714,0.2713904950213734,3,0.2092292080021127,13
his,0.062270240908785385,0.3083489917165534,2,0.246078750807768,8
he,0.06386006944929679,0.2808250738851172,2,0.2169650044358204,8
their,0.0662891649249086,0.2363630406174499,2,0.1700738756925413,8
have,0.06948437243614469,0.2655600483084889,4,0.1960756758723442,17
so,0.06978337552820771,0.2869969161341534,3,0.2172135406059457,12
first,0.07392417613639773,0.3231548763674664,2,0.2492307002310687,7
laugh,0.07555355772506339,0.338066692043886,1,0.2625131343188226,3
