word,npmi-bias,gay-npmi,gay-count,his-npmi,his-count
his,-0.3661191138543285,0.3083489917165534,2,0.6744681055708819,199
he,-0.1502383553277995,0.2808250738851172,2,0.4310634292129167,45
i,-0.1451756284312414,0.1726839646987878,4,0.3178595931300292,67
like,-0.10427447193562428,0.1581211733732094,1,0.2623956453088337,17
about,-0.1032452637026634,0.1808148946377946,1,0.284060158340458,17
be,-0.0639902756311859,0.2225641675538312,2,0.2865544431850171,22
and,-0.05758716729223151,0.3426108028061029,12,0.4001979700983344,104
was,-0.057010774519373586,0.2944540472351808,4,0.3514648217545544,39
what,-0.05549228230732273,0.1967951157977903,1,0.252287398105113,11
an,-0.05531186005740249,0.2041660570800269,1,0.2594779171374294,11
would,-0.04583605254674092,0.1872459344625401,1,0.233081987009281,10
should,-0.04499738110360388,0.2290057342516891,1,0.274003115355293,10
man,-0.04408126229632425,0.2671990310042123,1,0.3112802933005365,10
at,-0.0430339844605932,0.2855405370323465,3,0.3285745214929397,27
a,-0.040633113159317336,0.3185280405536974,10,0.3591611537130147,80
our,-0.034949815356679986,0.1980957739850262,1,0.2330455893417062,9
time,-0.034556367052767684,0.2246695232264159,1,0.2592258902791836,9
back,-0.03448342026227458,0.2292298231880766,1,0.2637132434503512,9
own,-0.03406170849407181,0.2538767295436401,1,0.2879384380377119,9
negro,-0.033562174254572086,0.2801038173399138,1,0.3136659915944859,9
white,-0.02689834104400679,0.2766179029996072,4,0.303516244043614,31
by,-0.02618768072192318,0.2661766556423075,2,0.2923643363642307,16
has,-0.025940089399407507,0.2834110779089208,2,0.3093511673083283,16
want,-0.02291602262392048,0.2315117039980811,1,0.2544277266220016,8
down,-0.02275387766862058,0.2470978748650735,1,0.2698517525336941,8
to,-0.017462988118271905,0.3492553272265888,13,0.3667183153448607,90
on,-0.015083573025085284,0.3198189922109506,6,0.3349025652360359,42
out,-0.011661662574004805,0.2442552474162119,2,0.2559169099902167,14
me,-0.01021983035214441,0.1846341847286308,1,0.1948540150807752,7
over,-0.010052896505921088,0.2439548678123412,1,0.2540077643182623,7
right,-0.009990578610879819,0.2603668053595391,1,0.2703573839704189,7
jews,-0.009967549043676693,0.2660070984268671,1,0.2759746474705438,7
teacher,-0.009746156621831703,0.3125297991722355,1,0.3222759557940672,7
all,-0.006948725657799637,0.266386609973114,3,0.2733353356309136,20
one,-0.003588529127971307,0.2563483149879553,2,0.2599368441159266,13
we,-0.003584670604405288,0.2308256648221037,2,0.234410335426509,13
so,-0.0009314331687059751,0.2869969161341534,3,0.2879283493028594,19
the,-0.0006118080239466139,0.3669247776870533,17,0.3675365857109999,107
behind,0.004021494502807976,0.3190684929780839,1,0.3150469984752759,6
home,0.004269004490876638,0.260008194091471,1,0.2557391896005944,6
look,0.004308979214132619,0.2500918886982128,1,0.2457829094840802,6
day,0.004352707831210084,0.2391127293173303,1,0.2347600214861202,6
too,0.004357789888373098,0.2378275985166722,1,0.2334698086282991,6
school,0.004400222733754511,0.2270209148481517,1,0.2226206921143972,6
were,0.0044069184467448175,0.2253029943037516,1,0.2208960758570068,6
for,0.006272267718711366,0.3102720307063573,6,0.3039997629876459,36
have,0.011149412405078218,0.2655600483084889,4,0.2544106359034107,23
if,0.011917187678909313,0.2779347513604833,3,0.266017563681574,17
when,0.01835654372332013,0.3108573159478735,3,0.2925007722245534,16
will,0.018698568795460002,0.2860229890669719,3,0.2673244202715119,16
or,0.018805225028729278,0.2779347513604833,3,0.259129526331754,16
in,0.019142318795581093,0.3753081883179328,12,0.3561658695223517,67
crime,0.020250827691583928,0.2953110512667621,1,0.2750602235751782,5
god,0.020376386175900707,0.2863788706607983,1,0.2660024844848976,5
come,0.020640299550925806,0.2667991684867617,1,0.2461588689358359,5
around,0.0209486382737048,0.242301429055201,1,0.2213527907814962,5
very,0.0209931655245493,0.2385957277700314,1,0.2176025622454821,5
now,0.02103196361155929,0.2353284949928119,1,0.2142965313812526,5
any,0.0210901217465099,0.2303613121439393,1,0.2092711903974294,5
then,0.023409563076208395,0.295047611471362,2,0.2716380483951536,10
it,0.024500387366228227,0.3114057652599964,7,0.2869053778937682,37
that,0.027356677512064387,0.3585699924174608,9,0.3312133149053964,47
as,0.027522089853312393,0.3056104596524184,4,0.278088369799106,20
with,0.038652874841923424,0.3638724653524244,7,0.325219590510501,33
head,0.03879431904994818,0.3200719251434852,1,0.281277606093537,4
book,0.03879431904994818,0.3200719251434852,1,0.281277606093537,4
face,0.03882188193374719,0.3190684929780839,1,0.2802466110443367,4
p,0.03882188193374719,0.3190684929780839,1,0.2802466110443367,4
blood,0.03897554924133506,0.3134163766099798,1,0.2744408273686447,4
off,0.04031856308690582,0.2589443973588688,1,0.218625834271963,4
country,0.040437937162109,0.2535527207399053,1,0.2131147835777963,4
years,0.040684895975712704,0.2420298108372469,1,0.2013449148615342,4
those,0.0408481365679281,0.2341126512529582,1,0.1932645146850301,4
how,0.04573061345470039,0.2868299306696957,2,0.2410993172149953,8
no,0.046263086958584,0.2672907979249346,2,0.2210277109663506,8
not,0.05068768547384522,0.2713904950213734,3,0.2207028095475282,12
first,0.057290616608178135,0.3231548763674664,2,0.2658642597592883,7
these,0.058303676222170864,0.2963068345018833,2,0.2380031582797124,7
know,0.05864573590442149,0.2866457459731065,2,0.228000010068685,7
but,0.06004804242635911,0.2696359246510539,3,0.2095878822246948,11
their,0.06023493425091431,0.2363630406174499,2,0.1761281063665356,7
protect,0.06027687564538431,0.3667184996611395,1,0.3064416240157552,3
speech,0.06027687564538431,0.3667184996611395,1,0.3064416240157552,3
christ,0.06082663231525598,0.3551335293325131,1,0.2943068970172571,3
running,0.06166459831514537,0.3366469365003771,1,0.2749823381852317,3
wrong,0.06249754178941902,0.3171170182430329,1,0.2546194764536139,3
media,0.06282306384440378,0.3091221134457633,1,0.2462990496013595,3
believe,0.06326299777738931,0.2979486935218571,1,0.2346856957444678,3
together,0.06343670615500441,0.2934101736311624,1,0.229973467476158,3
work,0.0638562665356103,0.2821223288815718,1,0.2182660623459615,3
nothing,0.06413209175699647,0.2744275854130094,1,0.2102954936560129,3
long,0.06414795829095019,0.2739778398397057,1,0.2098298815487555,3
watch,0.06483890727814501,0.2535527207399053,1,0.1887138134617603,3
many,0.06533913781232861,0.2375734890162631,1,0.1722343512039345,3
new,0.0656687723976874,0.2263717204801999,1,0.1607029480825125,3
think,0.0657113622637395,0.2248800432261317,1,0.1591686809623922,3
of,0.06646906962780119,0.4214432869429458,17,0.3549742173151446,73
family,0.06998055230950145,0.3550373950852266,2,0.2850568427757251,6
even,0.07215553550132486,0.3109417374610052,2,0.2387862019596803,6
kids,0.0722270596513751,0.3093736463117378,2,0.2371465866603627,6
old,0.07235287367587129,0.306593848210513,2,0.2342409745346417,6
say,0.0725861303349773,0.3013652923481402,2,0.2287791620131629,6
m,0.07348724296111028,0.280151186098834,2,0.2066639431377237,6
who,0.07468591150289183,0.34107328384903,4,0.2663873723461382,13
there,0.07521761528327031,0.2334112465517538,2,0.1581936312684835,6
s,0.07991527913453589,0.3521118307945456,7,0.2721965516600097,24
t,0.08115380366810448,0.3380134679518958,5,0.2568596642837913,16
you,0.08415539439318842,0.2794372060610774,5,0.195281811667889,16
rag,0.0868224301052305,0.4245535929759084,1,0.3377311628706779,2
because,0.08890764535013479,0.3435654563470742,3,0.2546578109969394,8
limerick,0.08911064115790929,0.3954892471925377,1,0.3063786060346284,2
dating,0.09008260425603398,0.382357289307344,1,0.29227468505131,2
married,0.09008260425603398,0.382357289307344,1,0.29227468505131,2
wrote,0.09058046636182593,0.3754217905526198,1,0.2848413241907939,2
lies,0.09153206288171722,0.3617297305324054,1,0.2701976676506882,2
apparently,0.09197571706125507,0.3551335293325131,1,0.263157812271258,2
mr,0.09247267534996428,0.3475694225157413,1,0.255096747165777,2
york,0.09357274167398469,0.3300944335676952,1,0.2365216918937105,2
wants,0.09392339070181871,0.3242893202525402,1,0.2303659295507215,2
this,0.09407994715049517,0.3672135959579981,8,0.2731336488075029,25
local,0.0941735238442479,0.3200719251434852,1,0.2258984012992373,2
across,0.09423246629300827,0.3190684929780839,1,0.2248360266850756,2
20,0.09434646953073911,0.3171170182430329,1,0.2227705487122938,2
war,0.09456038090367139,0.3134163766099798,1,0.2188559957063084,2
culture,0.0948964587073165,0.307495124141846,1,0.2125986654345295,2
done,0.09498485187027939,0.3059150773895706,1,0.2109302255192912,2
called,0.0951931744965635,0.302152290583169,1,0.2069591160866055,2
men,0.09545849086735547,0.2972776711293206,1,0.2018191802619651,2
racist,0.09573059791369978,0.2921771536484656,1,0.1964465557347658,2
better,0.09585613759422071,0.2897877239584356,1,0.1939315863642149,2
n,0.09588101442693159,0.3410878945627996,5,0.245206880135868,14
place,0.09644990084231278,0.2781514807557532,1,0.1817015799134404,2
use,0.0965205402661774,0.2767278987178216,1,0.1802073584516442,2
my,0.09699372117299049,0.3236639425006842,5,0.2266702213276937,14
they,0.0970246054832242,0.3415974027488728,7,0.2445727972656486,21
non,0.09730115716820739,0.2603668053595391,1,0.1630656481913317,2
here,0.09987503069669722,0.1942590017110966,1,0.0943839710143994,2
people,0.1031976624239426,0.3522953897597632,5,0.2490977273358206,13
proud,0.10357771370370422,0.3789443112828268,2,0.2753665975791226,4
do,0.10412769925897566,0.311483384651383,4,0.2073556853924073,10
from,0.10499210194618241,0.3930186576832394,7,0.288026555737057,19
friends,0.1058249860296826,0.349768091614246,2,0.2439431055845634,4
keep,0.1058249860296826,0.349768091614246,2,0.2439431055845634,4
your,0.1119471446033595,0.3503562605906409,5,0.2384091159872814,12
video,0.1150059043408358,0.3586702531879376,3,0.2436643488471018,6
full,0.1275560987894535,0.3755997575327099,2,0.2480436587432564,3
support,0.12805872280135008,0.3702186933072549,2,0.2421599705059048,3
blogger,0.13031296698723516,0.4583216697345582,1,0.328008702747323,1
mccourt,0.13031296698723516,0.4583216697345582,1,0.328008702747323,1
lier,0.13031296698723516,0.4583216697345582,1,0.328008702747323,1
parades,0.13031296698723516,0.4583216697345582,1,0.328008702747323,1
thelgbt,0.13031296698723516,0.4583216697345582,1,0.328008702747323,1
waving,0.1329598233280665,0.4374955473279124,1,0.3045357239998459,1
outraged,0.1345247240693357,0.4245535929759084,1,0.2900288689065727,1
expressed,0.1345247240693357,0.4245535929759084,1,0.2900288689065727,1
quebec,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
aside,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
mayor,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
trump,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
abomination,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
unique,0.13564042557267614,0.4150039721576905,1,0.2793635465850144,1
assume,0.13650798144800758,0.4073755921177137,1,0.2708676106697061,1
advocate,0.13650798144800758,0.4073755921177137,1,0.2708676106697061,1
platform,0.13721770395653388,0.4009934769690955,1,0.2637757730125616,1
constantly,0.13721770395653388,0.4009934769690955,1,0.2637757730125616,1
some,0.13724473697840708,0.3464081111903415,4,0.2091633742119344,7
is,0.13860613511376402,0.4381859402767081,16,0.2995798051629441,42
complain,0.1387966739886214,0.3862954197874064,1,0.247498745798785,1
letter,0.1387966739886214,0.3862954197874064,1,0.247498745798785,1
dude,0.1387966739886214,0.3862954197874064,1,0.247498745798785,1
marry,0.13920663652027368,0.382357289307344,1,0.2431506527870703,1
closed,0.13920663652027368,0.382357289307344,1,0.2431506527870703,1
