word,npmi-bias,gay-npmi,gay-count,she-npmi,she-count
i,-0.143223444433665,0.1726839646987878,4,0.3159074091324528,60
like,-0.1404442505091802,0.1581211733732094,1,0.2985654238823896,21
about,-0.09175367275879859,0.1808148946377946,1,0.2725685673965932,14
was,-0.0887939483612532,0.2944540472351808,4,0.383247995596434,44
back,-0.07367081039141277,0.2292298231880766,1,0.3029006335794894,12
out,-0.0573125150289423,0.2442552474162119,2,0.3015677624451542,19
me,-0.054784102765516096,0.1846341847286308,1,0.2394182874941469,10
would,-0.05477406672519941,0.1872459344625401,1,0.2420200011877395,10
think,-0.04362883856601302,0.2248800432261317,1,0.2685088817921447,9
school,-0.0436201667288679,0.2270209148481517,1,0.2706410815770196,9
a,-0.0356278000405536,0.3185280405536974,10,0.354155840594251,70
off,-0.03171668729904159,0.2589443973588688,1,0.2906610846579104,8
teacher,-0.0314860618570863,0.3125297991722355,1,0.3440158610293218,8
sorry,-0.031465553047572425,0.3152346794336491,1,0.3467002324812215,8
but,-0.029977848538500274,0.2696359246510539,3,0.2996137731895542,22
and,-0.029267329592708502,0.3426108028061029,12,0.3718781323988114,80
thing,-0.01875150491535521,0.2656148204121383,1,0.2843663253274935,7
too,-0.018541959368458677,0.2378275985166722,1,0.2563695578851309,7
if,-0.018257597190710018,0.2779347513604833,3,0.2961923485511933,20
here,-0.01807364465787309,0.1942590017110966,1,0.2123326463689697,7
has,-0.013784501992102238,0.2834110779089208,2,0.297195579901023,13
not,-0.005394018834790293,0.2713904950213734,3,0.2767845138561637,18
be,-0.003960967334453586,0.2225641675538312,2,0.2265251348882848,12
watch,-0.0039271627084133676,0.2535527207399053,1,0.2574798834483187,6
now,-0.0036282916238156993,0.2353284949928119,1,0.2389567866166276,6
an,-0.0030726540056013885,0.2041660570800269,1,0.2072387110856283,6
white,-0.000445429588409485,0.2766179029996072,4,0.2770633325880167,23
beautiful,0.011788324779785475,0.3059150773895706,1,0.2941267526097851,5
same,0.013176024306053719,0.2494820040966032,1,0.2363059797905495,5
day,0.013438080049671203,0.2391127293173303,1,0.2256746492676591,5
very,0.013451203394757194,0.2385957277700314,1,0.2251445243752742,5
old,0.013651022134836877,0.306593848210513,2,0.2929428260756761,10
were,0.013790496646029826,0.2253029943037516,1,0.2115124976577218,5
time,0.013806755994651088,0.2246695232264159,1,0.2108627672317648,5
what,0.014530336844715691,0.1967951157977903,1,0.1822647789530746,5
no,0.014764075575361024,0.2672907979249346,2,0.2525267223495736,10
at,0.015709849563201483,0.2855405370323465,3,0.269830687469145,15
or,0.015948613254274102,0.2779347513604833,3,0.2619861381062092,15
my,0.01670256781369589,0.3236639425006842,5,0.3069613746869883,25
so,0.02355918480076752,0.2869969161341534,3,0.2634377313333859,14
then,0.024838189792433296,0.295047611471362,2,0.2702094216789287,9
one,0.026184532950574907,0.2563483149879553,2,0.2301637820373804,9
place,0.0323922135961596,0.2781514807557532,1,0.2457592671595936,4
right,0.03302528116661271,0.2603668053595391,1,0.2273415241929264,4
own,0.0332543449646959,0.2538767295436401,1,0.2206223845789442,4
look,0.03338744564422522,0.2500918886982128,1,0.2167044430539876,4
great,0.03343006680522889,0.2488777721240473,1,0.2154477053188184,4
down,0.03349248329984872,0.2470978748650735,1,0.2136053915652248,4
years,0.03366977632589238,0.2420298108372469,1,0.2083600345113545,4
how,0.037109949884991,0.2868299306696957,2,0.2497199807847047,8
n,0.03793623385495548,0.3410878945627996,5,0.3031516607078441,21
by,0.03796321751259121,0.2661766556423075,2,0.2282134381297163,8
because,0.038209337559407974,0.3435654563470742,3,0.3053561187876662,12
to,0.03863480266364483,0.3492553272265888,13,0.310620524562944,59
when,0.03974825374786373,0.3108573159478735,3,0.2711090622000098,12
the,0.04003684705736177,0.3669247776870533,17,0.3268879306296915,78
it,0.040820148415804336,0.3114057652599964,7,0.2705856168441921,30
t,0.04408528593270161,0.3380134679518958,5,0.2939281820191942,20
for,0.048076912501118285,0.3102720307063573,6,0.262195118205239,24
kids,0.04931023196902318,0.3093736463117378,2,0.2600634143427146,7
say,0.0497100087994094,0.3013652923481402,2,0.2516552835487308,7
will,0.05045097130751619,0.2860229890669719,3,0.2355720177594557,11
there,0.052947054717747494,0.2334112465517538,2,0.1804641918340063,7
done,0.055797534808236904,0.3059150773895706,1,0.2501175425813337,3
man,0.057704862206461066,0.2671990310042123,1,0.2094941687977512,3
ever,0.05792499339376611,0.2625623962620298,1,0.2046374028682637,3
non,0.058028614786463706,0.2603668053595391,1,0.2023381905730754,3
on,0.058777918933722695,0.3198189922109506,6,0.2610410732772279,22
around,0.05886615987817409,0.242301429055201,1,0.1834352691770269,3
in,0.059361015471075085,0.3753081883179328,12,0.3159471728468577,47
should,0.0594654464409381,0.2290057342516891,1,0.169540287810751,3
our,0.0608026856038818,0.1980957739850262,1,0.1372930883811444,3
something,0.06263165511842078,0.3347887912404371,2,0.2721571361220163,6
know,0.0654595165322378,0.2866457459731065,2,0.2211862294408687,6
he,0.06578633045574328,0.2808250738851172,2,0.2150387434293739,6
as,0.0670373052625961,0.3056104596524184,4,0.2385731543898223,13
we,0.06846024646284729,0.2308256648221037,2,0.1623654183592564,6
is,0.07664615121056262,0.4381859402767081,16,0.3615397890661455,57
s,0.07934517766198651,0.3521118307945456,7,0.2727666531325591,22
m,0.08318194065085519,0.280151186098834,2,0.1969692454479788,5
do,0.08523119995811299,0.311483384651383,4,0.22625218469327,11
their,0.0858401149273827,0.2363630406174499,2,0.1505229256900672,5
wants,0.08737635585993031,0.3242893202525402,1,0.2369129643926099,2
from,0.0875755937863959,0.3930186576832394,7,0.3054430638968435,20
head,0.08767465915793829,0.3200719251434852,1,0.2323972659855469,2
behind,0.08774520567097877,0.3190684929780839,1,0.2313232873071051,2
whole,0.08837846554383749,0.3099541791864231,1,0.2215757136425856,2
called,0.08890978511499331,0.302152290583169,1,0.2132425054681757,2
together,0.0894933743883562,0.2934101736311624,1,0.2039167992428062,2
work,0.0902285594647261,0.2821223288815718,1,0.1918937694168457,2
negro,0.090357850630361,0.2801038173399138,1,0.1897459667095528,2
use,0.0905726139868348,0.2767278987178216,1,0.1861552847309868,2
start,0.0906314956818951,0.2757972276948492,1,0.1851657320129541,2
long,0.0907462002792711,0.2739778398397057,1,0.1832316395604346,2
come,0.09119356739554743,0.2667991684867617,1,0.1756056010912143,2
home,0.09160912032831883,0.260008194091471,1,0.1683990737631522,2
that,0.09176084553912478,0.3585699924174608,9,0.266809146878336,27
much,0.09195849833786629,0.2542023775907844,1,0.1622438792529181,2
country,0.0919972554079754,0.2535527207399053,1,0.1615554653319299,2
over,0.09256193669291499,0.2439548678123412,1,0.1513929311194262,2
want,0.09327201395725751,0.2315117039980811,1,0.1382396900408236,2
any,0.09333640930739459,0.2303613121439393,1,0.1370249028365447,2
new,0.09355809394668471,0.2263717204801999,1,0.1328136265335152,2
this,0.0987085121109218,0.3672135959579981,8,0.2685050838470763,22
first,0.10048362364661362,0.3231548763674664,2,0.2226712527208528,4
some,0.10375073841864149,0.3464081111903415,4,0.2426573727717,9
you,0.10866610600393473,0.2794372060610774,5,0.1707711000571427,12
all,0.11468162182374647,0.266386609973114,3,0.1517049881493675,6
with,0.1173406040184149,0.3638724653524244,7,0.2465318613340095,16
well,0.125224935160613,0.3457723574452653,3,0.2205474222846523,5
even,0.12664738787381796,0.3109417374610052,2,0.1842943495871872,3
theater,0.12815536157646418,0.4245535929759084,1,0.2963982313994442,1
crying,0.12934703391561175,0.4150039721576905,1,0.2856569382420788,1
yr,0.130278803247592,0.4073755921177137,1,0.2770967888701217,1
adopt,0.13104463780295467,0.4009934769690955,1,0.2699488391661408,1
cry,0.13104463780295467,0.4009934769690955,1,0.2699488391661408,1
teaches,0.13226067935947428,0.3906388455418885,1,0.2583781661824142,1
marry,0.13320975597838047,0.382357289307344,1,0.2491475333289635,1
bulgarian,0.13320975597838047,0.382357289307344,1,0.2491475333289635,1
people,0.13334687068849901,0.3522953897597632,5,0.2189485190712642,9
drugs,0.1343313185332365,0.372327527646395,1,0.2379962091131585,1
protect,0.13494527597621891,0.3667184996611395,1,0.2317732236849206,1
values,0.13494527597621891,0.3667184996611395,1,0.2317732236849206,1
opinion,0.13494527597621891,0.3667184996611395,1,0.2317732236849206,1
inside,0.1357294006976241,0.359425265523159,1,0.2236958648255349,1
classes,0.1359622826772975,0.3572300612390683,1,0.2212677785617708,1
apparently,0.1361833454767533,0.3551335293325131,1,0.2189501838557598,1
question,0.13639372693195578,0.3531265776680795,1,0.2167328507361237,1
longer,0.13639372693195578,0.3531265776680795,1,0.2167328507361237,1
below,0.1369699638629633,0.3475694225157413,1,0.210599458652778,1
drug,0.13714623624888803,0.3458514332334042,1,0.2087051969845162,1
sort,0.1373156331900818,0.3441922898187163,1,0.2068766566286345,1
middle,0.1373156331900818,0.3441922898187163,1,0.2068766566286345,1
laugh,0.1379339312489628,0.338066692043886,1,0.2001327607949232,1
running,0.1380756393952028,0.3366469365003771,1,0.1985712971051743,1
sick,0.1380756393952028,0.3366469365003771,1,0.1985712971051743,1
12,0.13847486507004197,0.3326143500559421,1,0.1941394849859001,1
wo,0.13847486507004197,0.3326143500559421,1,0.1941394849859001,1
kill,0.1386001408385838,0.3313387637323238,1,0.19273862289374,1
brother,0.1388402770293007,0.3288797483035058,1,0.1900394712742051,1
law,0.1392837543130865,0.3242893202525402,1,0.1850055659394537,1
9,0.1396856883341655,0.3200719251434852,1,0.1803862368093197,1
pictures,0.1396856883341655,0.3200719251434852,1,0.1803862368093197,1
face,0.13978054396164769,0.3190684929780839,1,0.1792879490164362,1
job,0.13987334141676752,0.3180837706829696,1,0.1782104292662021,1
blood,0.14030928595898828,0.3134163766099798,1,0.1731070906509915,1
future,0.1403913673364027,0.3125297991722355,1,0.1721384318358328,1
care,0.14070470125528048,0.3091221134457633,1,0.1684174121904828,1
though,0.14158736993724796,0.2993151866511928,1,0.1577278167139448,1
crime,0.1419396417292966,0.2953110512667621,1,0.1533714095374655,1
racist,0.1422120759579392,0.2921771536484656,1,0.1499650776905264,1
brown,0.14236736412780268,0.2903758635860459,1,0.1480084994582432,1
last,0.14351723996691587,0.3641396245458601,3,0.2206223845789442,4
seen,0.1435893353629164,0.2757972276948492,1,0.1322078923319328,1
nothing,0.14370095811080358,0.2744275854130094,1,0.1307266273022058,1
who,0.14505192914754203,0.34107328384903,4,0.196021354701488,6
of,0.146752729684405,0.4214432869429458,17,0.2746905572585408,40
have,0.1525439086584686,0.2655600483084889,4,0.1130161396500203,6
support,0.15378430426544867,0.3702186933072549,2,0.2164343890418062,2
high,0.15540406005809518,0.3567200648421205,2,0.2013160047840253,2
may,0.15540406005809518,0.3567200648421205,2,0.2013160047840253,2
family,0.155601532161787,0.3550373950852266,2,0.1994358629234396,2
group,0.1560964082955674,0.3507832518628138,2,0.1946868435672464,2
his,0.1606920743779653,0.3083489917165534,2,0.1476569173385881,2
they,0.1630826376086165,0.3415974027488728,7,0.1785147651402563,11
children,0.1666741191582783,0.3787406693376116,3,0.2120665501793333,3
video,0.1692941776141969,0.3586702531879376,3,0.1893760755737407,3
race,0.17064584965957288,0.3478252474003401,3,0.1771793977407672,3
are,0.19031251310515862,0.374511655462606,9,0.1841991423574474,12
your,0.1923552783038552,0.3503562605906409,5,0.1580009822867857,5
hall,0.1941397441285806,0.4432872774575441,2,0.2491475333289635,1
