word,npmi-bias,gay-npmi,gay-count,their-npmi,their-count
their,-0.38700897820899044,0.2363630406174499,2,0.6233720188264403,599
own,-0.1145422076203968,0.2538767295436401,1,0.3684189371640369,62
about,-0.10274160105867852,0.1808148946377946,1,0.2835564956964731,54
i,-0.09442011273169862,0.1726839646987878,4,0.2671040774304864,156
like,-0.09006531649876429,0.1581211733732094,1,0.2481864898719737,48
they,-0.052169525379345216,0.3415974027488728,7,0.393766928128218,198
what,-0.05186180136162699,0.1967951157977903,1,0.2486569171594173,34
have,-0.046401239817641715,0.2655600483084889,4,0.3119612881261306,114
would,-0.045644896261113704,0.1872459344625401,1,0.2328908307236538,32
be,-0.04320283381062798,0.2225641675538312,2,0.2657670013644592,59
our,-0.038920520701513306,0.1980957739850262,1,0.2370162946865395,30
and,-0.036873071660252,0.3426108028061029,12,0.3794838744663549,294
school,-0.0353004100155663,0.2270209148481517,1,0.262321324863718,29
those,-0.028162513361415703,0.2341126512529582,1,0.2622751646143739,27
think,-0.02446648408034019,0.2248800432261317,1,0.2493465273064719,26
many,-0.024446016427943,0.2375734890162631,1,0.2620195054442061,26
all,-0.019748744081919012,0.266386609973114,3,0.286135354055033,71
off,-0.01669665700679729,0.2589443973588688,1,0.2756410543656661,24
should,-0.01664383597331129,0.2290057342516891,1,0.2456495702250004,24
to,-0.013496460270346067,0.3492553272265888,13,0.3627517874969349,279
not,-0.01272792819377977,0.2713904950213734,3,0.2841184232151532,67
home,-0.012650957124329953,0.260008194091471,1,0.272659151215801,23
country,-0.012629530871842265,0.2535527207399053,1,0.2661822516117476,23
jews,-0.00848459757852471,0.2660070984268671,1,0.2744916960053918,22
here,-0.007982242929983285,0.1942590017110966,1,0.2022412446410799,22
were,-0.0037825656603827917,0.2253029943037516,1,0.2290855599641344,21
by,-0.0021992229944349795,0.2661766556423075,2,0.2683758786367425,41
around,0.0006526360002356013,0.242301429055201,1,0.2416487930549654,20
an,0.0010993100590830085,0.2041660570800269,1,0.2030667470209439,20
white,0.001989027643431396,0.2766179029996072,4,0.2746288753561758,79
so,0.002192759323605409,0.2869969161341534,3,0.284804156810548,59
or,0.004321521922054095,0.2779347513604833,3,0.2736132294384292,58
but,0.004450829380001631,0.2696359246510539,3,0.2651850952710523,58
out,0.006278894458610407,0.2442552474162119,2,0.2379763529576015,38
there,0.006451351989820608,0.2334112465517538,2,0.2269598945619332,38
for,0.008282161376524877,0.3102720307063573,6,0.3019898693298324,113
we,0.009376312593481817,0.2308256648221037,2,0.2214493522286219,37
back,0.010661823799395315,0.2292298231880766,1,0.2185679993886813,18
time,0.010736001218746405,0.2246695232264159,1,0.2139335220076695,18
me,0.011392829617720507,0.1846341847286308,1,0.1732413551109103,18
the,0.013087880306622668,0.3669247776870533,17,0.3538368973804306,316
at,0.018992308187891216,0.2855405370323465,3,0.2665482288444553,51
kids,0.019742336386918802,0.3093736463117378,2,0.289631309924819,33
culture,0.019788448262187175,0.307495124141846,1,0.2877066758796588,16
much,0.020964930906670703,0.2542023775907844,1,0.2332374466841137,16
on,0.023308751563253904,0.3198189922109506,6,0.2965102406476967,101
if,0.023726215614066903,0.2779347513604833,3,0.2542085357464164,49
it,0.024522909389308012,0.3114057652599964,7,0.2868828558706884,118
right,0.026602386673386297,0.2603668053595391,1,0.2337644186861528,15
how,0.026670976139455793,0.2868299306696957,2,0.2601589545302399,31
look,0.026854396120638502,0.2500918886982128,1,0.2232374925775743,15
down,0.026927229950071407,0.2470978748650735,1,0.2201706449150021,15
a,0.027951609446212666,0.3185280405536974,10,0.2905764311074847,168
will,0.02819301906619548,0.2860229890669719,3,0.2578299700007764,47
even,0.029277025319478567,0.3109417374610052,2,0.2816647121415266,30
in,0.02978935925547488,0.3753081883179328,12,0.3455188290624579,199
are,0.030056862436590392,0.374511655462606,9,0.3444547930260156,146
thing,0.03256641242319919,0.2656148204121383,1,0.2330484079889391,14
very,0.0333060670642798,0.2385957277700314,1,0.2052896607057516,14
now,0.03339333897931579,0.2353284949928119,1,0.2019351560134961,14
that,0.03373397278997431,0.3585699924174608,9,0.3248360196274865,143
do,0.03468908126079456,0.311483384651383,4,0.2767943033905884,60
these,0.036617733156278476,0.2963068345018833,2,0.2596891013456048,28
know,0.03694147645796228,0.2866457459731065,2,0.2497042695151442,28
