word,npmi-bias,gay-npmi,gay-count,woman-npmi,woman-count
white,-0.18611717455663218,0.2766179029996072,4,0.4627350775562394,35
man,-0.1570438936754801,0.2671990310042123,1,0.4242429246796924,11
like,-0.1436050517582193,0.1581211733732094,1,0.3017262251314287,9
me,-0.14162038387979858,0.1846341847286308,1,0.3262545686084294,9
a,-0.12758294513618584,0.3185280405536974,10,0.4461109856898832,49
an,-0.1263610982918267,0.2041660570800269,1,0.3305271553718536,8
about,-0.09527323008612842,0.1808148946377946,1,0.276088124723923,6
i,-0.09033461283766112,0.1726839646987878,4,0.2630185775364489,18
men,-0.08842292350391423,0.2972776711293206,1,0.3857005946332348,6
old,-0.08117073064710711,0.306593848210513,2,0.3877645788576201,10
would,-0.07510956832239443,0.1872459344625401,1,0.2623555027849345,5
years,-0.07278792661795719,0.2420298108372469,1,0.3148177374552041,5
out,-0.0721912030784414,0.2442552474162119,2,0.3164464504946533,9
by,-0.07113556053564468,0.2661766556423075,2,0.3373122161779522,9
who,-0.064721571007477,0.34107328384903,4,0.405794854856507,16
for,-0.054918251313346045,0.3102720307063573,6,0.3651902820197033,21
here,-0.051451178830900196,0.1942590017110966,1,0.2457101805419968,4
want,-0.05037716503955511,0.2315117039980811,1,0.2818888690376362,4
home,-0.04946713129871105,0.260008194091471,1,0.3094753253901821,4
on,-0.0473082053273734,0.3198189922109506,6,0.367127197538324,20
be,-0.043347567319168806,0.2225641675538312,2,0.265911734873,7
was,-0.0395055622698966,0.2944540472351808,4,0.3339596095050774,13
and,-0.0298238896878662,0.3426108028061029,12,0.3724346924939691,34
not,-0.027442350065157883,0.2713904950213734,3,0.2988328450865313,9
what,-0.022511712260931294,0.1967951157977903,1,0.2193068280587216,3
our,-0.022494360013606995,0.1980957739850262,1,0.2205901339986332,3
time,-0.022126072310713008,0.2246695232264159,1,0.2467955955371289,3
should,-0.02206348739504857,0.2290057342516891,1,0.2510692216467377,3
any,-0.022043779024465027,0.2303613121439393,1,0.2524050911684043,3
look,-0.021749203996833222,0.2500918886982128,1,0.271841092695046,3
own,-0.021691046566527483,0.2538767295436401,1,0.2755677761101676,3
to,-0.021347359096112573,0.3492553272265888,13,0.3706026863227014,35
negro,-0.021273463317713903,0.2801038173399138,1,0.3013772806576277,3
dating,-0.019402642777845425,0.382357289307344,1,0.4017599320851894,3
in,-0.013100557122691203,0.3753081883179328,12,0.388408745440624,31
there,-0.005432141245469202,0.2334112465517538,2,0.238843387797223,5
their,-0.005412737549069818,0.2363630406174499,2,0.2417757781665197,5
one,-0.005281055958648306,0.2563483149879553,2,0.2616293709466036,5
youtube,-0.0006543741835318695,0.3629510613818781,5,0.36360543556541,12
if,0.002340751196599211,0.2779347513604833,3,0.2755940001638841,7
with,0.005999668682249215,0.3638724653524244,7,0.3578727966701752,16
the,0.01257129679161989,0.3669247776870533,17,0.3543534808954334,38
throat,0.014557934331402789,0.4009934769690955,1,0.3864355426376927,2
force,0.015186127456403908,0.338066692043886,1,0.3228805645874821,2
local,0.015334716758618583,0.3200719251434852,1,0.3047372083848666,2
face,0.015342596659043861,0.3190684929780839,1,0.30372589631904,2
teacher,0.015392895465407508,0.3125297991722355,1,0.297136903706828,2
crime,0.015516651740631604,0.2953110512667621,1,0.2797943995261305,2
seen,0.01564167516630499,0.2757972276948492,1,0.2601555525285442,2
thing,0.01570049531412171,0.2656148204121383,1,0.2499143250980166,2
right,0.015729093802221206,0.2603668053595391,1,0.2446377115573179,2
off,0.015736643905873815,0.2589443973588688,1,0.243207753452995,2
same,0.0157846871785082,0.2494820040966032,1,0.233697316918095,2
down,0.01579619366748472,0.2470978748650735,1,0.2313016811975888,2
too,0.015838646586364913,0.2378275985166722,1,0.2219889519303073,2
those,0.01585463776905119,0.2341126512529582,1,0.218258013483907,2
school,0.015883542668968492,0.2270209148481517,1,0.2111373721791832,2
he,0.018039626209503667,0.2808250738851172,2,0.2627854476756135,4
at,0.019808372910848693,0.2855405370323465,3,0.2657321641214978,6
but,0.019929265150730707,0.2696359246510539,3,0.2497066595003232,6
you,0.022722188712001712,0.2794372060610774,5,0.2567150173490757,10
as,0.03678502295869479,0.3056104596524184,4,0.2688254366937236,7
or,0.039986303039002496,0.2779347513604833,3,0.2379484483214808,5
all,0.04019211177415569,0.266386609973114,3,0.2261944981989583,5
re,0.04577999101701008,0.3179234831348536,2,0.2721434921178435,3
m,0.0467085313848597,0.280151186098834,2,0.2334426547139743,3
no,0.0469877559483039,0.2672907979249346,2,0.2203030419766307,3
we,0.04767800279398329,0.2308256648221037,2,0.1831476620281204,3
have,0.05544699091653668,0.2655600483084889,4,0.2101130573919522,6
it,0.0573147165396411,0.3114057652599964,7,0.2540910487203553,11
seeking,0.06842520789689288,0.4009934769690955,1,0.3325682690722026,1
abortion,0.06842520789689288,0.4009934769690955,1,0.3325682690722026,1
yrs,0.06842520789689288,0.4009934769690955,1,0.3325682690722026,1
beating,0.069249038822428,0.3862954197874064,1,0.3170463809649784,1
rights,0.0699960092889953,0.372327527646395,1,0.3023315183573997,1
date,0.07065498854028573,0.359425265523159,1,0.2887702769828733,1
inside,0.07065498854028573,0.359425265523159,1,0.2887702769828733,1
apparently,0.07086760599617176,0.3551335293325131,1,0.2842659233363413,1
forced,0.0710595320113303,0.3512013387422007,1,0.2801418067308704,1
middle,0.0713948172905699,0.3441922898187163,1,0.2727974725281464,1
huge,0.07147034193502949,0.342587805514648,1,0.2711174635796185,1
mostly,0.07168069798625842,0.338066692043886,1,0.2663859940576276,1
laugh,0.07168069798625842,0.338066692043886,1,0.2663859940576276,1
wo,0.0719295617773329,0.3326143500559421,1,0.2606847882786092,1
liberals,0.07204280071233649,0.3300944335676952,1,0.2580516328553587,1
brother,0.0720969843682685,0.3288797483035058,1,0.2567827639352373,1
near,0.0724380537586142,0.321094855033611,1,0.2486568012749968,1
9,0.0724820743677688,0.3200719251434852,1,0.2475898507757164,1
p,0.07252507649447237,0.3190684929780839,1,0.2465434164836115,1
behind,0.07252507649447237,0.3190684929780839,1,0.2465434164836115,1
turn,0.0725671040979729,0.3180837706829696,1,0.2455166665849967,1
20,0.0726081983649507,0.3171170182430329,1,0.2445088198780822,1
wrong,0.0726081983649507,0.3171170182430329,1,0.2445088198780822,1
some,0.07278481433903139,0.3464081111903415,4,0.2736232968513101,5
000,0.07283717398141201,0.3116575655709478,1,0.2388203915895358,1
true,0.07287269786795139,0.310799181717965,1,0.2379264838500136,1
beautiful,0.07307235644644197,0.3059150773895706,1,0.2328427209431286,1
nice,0.07330810726692821,0.3000110950503858,1,0.2267029877834576,1
racist,0.07361147607053697,0.2921771536484656,1,0.2185656775779286,1
brown,0.07367970943166269,0.2903758635860459,1,0.2166961541543832,1
god,0.0738290873067684,0.2863788706607983,1,0.2125497833540299,1
please,0.07390889618742069,0.2842121067918283,1,0.2103032106044076,1
use,0.07417825055890512,0.2767278987178216,1,0.2025496481589165,1
nothing,0.07425907290597178,0.2744275854130094,1,0.2001685125070376,1
long,0.0742747669809315,0.2739778398397057,1,0.1997030728587742,1
come,0.07452049657035262,0.2667991684867617,1,0.1922786719164091,1
jews,0.0745470596093139,0.2660070984268671,1,0.1914600388175532,1
ever,0.07466131189574743,0.2625623962620298,1,0.1879010843662824,1
much,0.0749300143511632,0.2542023775907844,1,0.1792723632396212,1
over,0.0752428384860662,0.2439548678123412,1,0.168712029326275,1
around,0.0752916082974297,0.242301429055201,1,0.1670098207577713,1
now,0.0754920798785165,0.2353284949928119,1,0.1598364151142954,1
back,0.07566053066130732,0.2292298231880766,1,0.1535692925267693,1
new,0.0757372658220051,0.2263717204801999,1,0.1506344546581948,1
were,0.07576559758626722,0.2253029943037516,1,0.1495373967174844,1
may,0.08129587150769307,0.3567200648421205,2,0.2754241933344274,2
family,0.08138939824838448,0.3550373950852266,2,0.2736479968368421,2
your,0.08155900413433981,0.3503562605906409,5,0.2687972564563011,6
