word,npmi-bias,he-npmi,he-count,her-npmi,her-count
her,-0.43416154238123006,0.2069367917689627,8,0.6410983341501928,194
she,-0.28047462650734534,0.19734296331572,6,0.4778175898230653,61
girl,-0.24016053000600068,0.1090577837769784,1,0.3492183137829791,14
child,-0.1589753397609219,0.1230464384271103,1,0.2820217781880322,6
http,-0.1459479496099242,0.0499457923792223,1,0.1958937419891465,5
come,-0.1447356156438725,0.0853510238673883,1,0.2300866395112608,5
days,-0.1435017730284488,0.1135982153697986,1,0.2570999883982474,5
death,-0.14287180166060032,0.1262792757529701,1,0.2691510774135704,5
stupid,-0.14282860506144268,0.1271156669545797,1,0.2699442720160224,5
baby,-0.1402076504719182,0.1721033076466162,1,0.3123109581185344,5
name,-0.13702438533706482,0.1568546939653642,2,0.293879079302429,8
woman,-0.1298472072739316,0.2160162220575436,4,0.3458634293314752,13
2,-0.1255714925818871,0.0799721664842618,1,0.2055436590661489,4
friends,-0.12479997226077759,0.1036696241832601,1,0.2284695964440377,4
beautiful,-0.12385804889499608,0.1279640196191445,1,0.2518220685141406,4
save,-0.12185805113792988,0.1702566504369363,1,0.2921147015748662,4
kids,-0.11965009935943033,0.1388743673033785,3,0.2585244666628088,9
www,-0.1133974184099669,0.0777469309490085,2,0.1911443493589754,6
used,-0.1105656691804314,0.162555891643112,2,0.2731215608235434,6
1,-0.1014159360359999,0.0832299992270129,1,0.1846459352630128,3
free,-0.10109451319013629,0.0976559011878147,1,0.198750414377951,3
women,-0.10090313484708481,0.1054145089888328,1,0.2063176438359176,3
parents,-0.1001936078380615,0.1305846688181157,1,0.2307782766561772,3
night,-0.1001936078380615,0.1305846688181157,1,0.2307782766561772,3
using,-0.09965852635496128,0.1469916683588166,1,0.2466501947137779,3
street,-0.09939067063152349,0.1546108140414885,1,0.254001484673012,3
12,-0.09928949764574202,0.1574014836242536,1,0.2566909812699956,3
bring,-0.09912397666834213,0.1618727247361693,1,0.2609967014045114,3
dog,-0.09906464040392102,0.1634484939149016,1,0.2625131343188226,3
student,-0.09848937557225801,0.1780655339314804,1,0.2765549095037384,3
gang,-0.0981048658954467,0.1872536620266978,1,0.2853585279221445,3
apartment,-0.09761138366502078,0.1984748915997329,1,0.2960862752647537,3
bodies,-0.09730281102533972,0.2052057148099754,1,0.3025085258353151,3
boyfriend,-0.096472830238328,0.222381851321548,1,0.318854681559876,3
story,-0.09454409675513539,0.162555891643112,2,0.2570999883982474,5
mother,-0.09275971376067149,0.2162138176509555,3,0.308973531411627,7
sister,-0.09260336648699921,0.2116021254214722,2,0.3042054919084714,5
daughter,-0.09069836919975732,0.2578617223826998,3,0.3485600915824571,7
were,-0.08552004997171059,0.1451731647628367,4,0.2306932147345473,8
let,-0.08432339348942638,0.1857874802982196,4,0.270110873787646,8
com,-0.08187135608327221,0.1154258830699894,3,0.1972972391532616,6
year,-0.07704036156649002,0.2101220037174057,7,0.2871623652838957,12
found,-0.0764355716812172,0.2215532441375704,5,0.2979888158187876,9
another,-0.07590155132130869,0.1442942208639418,2,0.2201957721852505,4
give,-0.0756431772899279,0.1556564701612703,2,0.2312996474511982,4
hell,-0.075425077115811,0.1645811272521478,2,0.2400062043679588,4
skin,-0.07515214297156142,0.1750554028743826,2,0.250207545845944,4
front,-0.0750364555059056,0.1792955852167742,2,0.2543320407226798,4
age,-0.07456870443243849,0.1954375076504655,2,0.270006212082904,4
die,-0.07429422596656629,0.2042778730319584,2,0.2785720989985247,4
hands,-0.07405703304891811,0.2116021254214722,2,0.2856591584703903,4
morning,-0.07370618746956728,0.2219687601924021,2,0.2956749476619694,4
sat,-0.0725703288025632,0.2525000155577136,2,0.3250703443602768,4
watch,-0.07212671731547729,0.1747476949277644,4,0.2468744122432417,7
own,-0.0719862485044078,0.2093159464087432,6,0.281302194913151,10
