word,npmi-bias,he-npmi,he-count,him-npmi,him-count
him,-0.2732700908599044,0.3981794333598364,38,0.6714495242197408,130
ok,-0.16551897528259388,0.1532665376034473,1,0.3187855128860412,4
minister,-0.16310777384140202,0.1802139995771872,1,0.3433217734185892,4
trudeau,-0.16135337087740872,0.1984748915997329,1,0.3598282624771416,4
2,-0.14541358007372668,0.0799721664842618,1,0.2253857465579885,3
come,-0.1451337886747112,0.0853510238673883,1,0.2304848125420995,3
girl,-0.1438109245063292,0.1090577837769784,1,0.2528687082833076,3
picture,-0.14198551951676092,0.1382067522017294,1,0.2801922717184903,3
gone,-0.1411385725943261,0.1506716419301829,1,0.291810214524509,3
set,-0.1408627045271245,0.1546108140414885,1,0.295473518568613,3
thousands,-0.1402294787555348,0.1634484939149016,1,0.3036779726704364,3
jail,-0.138618473698392,0.1847983596268498,1,0.3234168333252418,3
talk,-0.1273660269203081,0.1771669507981736,3,0.3045329777184817,6
www,-0.12409811429757409,0.0777469309490085,2,0.2018450452465826,4
give,-0.1201344043619341,0.1556564701612703,2,0.2757908745232044,4
lol,-0.11899427297872178,0.174242902957373,2,0.2932371759360948,4
head,-0.1178331934764634,0.1920407509762043,2,0.3098739444526677,4
ask,-0.11718144627567728,0.2016040666103639,2,0.3187855128860412,4
its,-0.11187039843938229,0.0578119201243179,1,0.1696823185637002,2
1,-0.1109771308570101,0.0832299992270129,1,0.194207130084023,2
area,-0.110724840197993,0.0898111578179486,1,0.2005359980159416,2
work,-0.11023601985184721,0.1019719286524134,1,0.2122079485042606,2
since,-0.11009231807495799,0.1054145089888328,1,0.2155068270637908,2
days,-0.1097413061523445,0.1135982153697986,1,0.2233395215221431,2
guess,-0.1094917988766905,0.1192361348614164,1,0.2287279337381069,2
child,-0.1093196277412819,0.1230464384271103,1,0.2323660661683922,2
night,-0.10897059761447511,0.1305846688181157,1,0.2395552664325908,2
reason,-0.1087499408951641,0.1352303523296223,1,0.2439802932247864,2
learn,-0.108606347263734,0.1382067522017294,1,0.2468130994654634,2
song,-0.1081724193257722,0.1469916683588166,1,0.2551640876845888,2
call,-0.10793880213420937,0.2133700972077041,3,0.3213088993419135,5
mine,-0.10756270210108138,0.1588516959120974,1,0.2664143980131788,2
especially,-0.10756270210108138,0.1588516959120974,1,0.2664143980131788,2
disgusting,-0.1074841850098047,0.1603413215322604,1,0.2678255065420651,2
dog,-0.10731901980989608,0.1634484939149016,1,0.2707675137247977,2
damn,-0.10704802876948041,0.1684719010074631,1,0.2755199297769435,2
