word,npmi-bias,he-npmi,he-count,his-npmi,his-count
his,-0.2725725605505064,0.4018955450203755,45,0.6744681055708819,199
death,-0.1740152900093584,0.1262792757529701,1,0.3002945657623285,6
name,-0.16405041469372808,0.1568546939653642,2,0.3209051086590923,9
come,-0.1608078450684476,0.0853510238673883,1,0.2461588689358359,5
crime,-0.15870827784693275,0.1163519457282454,1,0.2750602235751782,5
friends,-0.1402734814013033,0.1036696241832601,1,0.2439431055845634,4
wife,-0.13840975763220068,0.2416638539195636,3,0.3800736115517643,10
blood,-0.13823522602196883,0.1362056013466759,1,0.2744408273686447,4
book,-0.13774069082963442,0.1435369152639026,1,0.281277606093537,4
dog,-0.1363326206296153,0.1634484939149016,1,0.2997811145445169,4
hours,-0.13609039835245407,0.1667447869857026,1,0.3028351853381567,4
latest,-0.13362718626051542,0.1984748915997329,1,0.3321020778602483,4
want,-0.12606762682580477,0.1283600997961968,3,0.2544277266220016,8
front,-0.12493916152466172,0.1792955852167742,2,0.3042347467414359,6
forum,-0.1164471095206732,0.0987076831979309,1,0.2151547927186041,3
work,-0.11629413369354809,0.1019719286524134,1,0.2182660623459615,3
nationalist,-0.1158931251508075,0.1103213113293789,1,0.2262144364801864,3
everyone,-0.11533473871862518,0.1214932470685176,1,0.2368279857871428,3
child,-0.11525513579705701,0.1230464384271103,1,0.2383015742241673,3
attack,-0.11499993389643509,0.1279640196191445,1,0.2429639535155796,3
history,-0.11486196704180371,0.1305846688181157,1,0.2454466358599194,3
light,-0.11461403473493159,0.1352303523296223,1,0.2498443870645539,3
dr,-0.1140973260813267,0.1446652913734118,1,0.2587626174547385,3
rest,-0.11389966980502791,0.1481917723891737,1,0.2620914421942016,3
gone,-0.11375920239601478,0.1506716419301829,1,0.2644308443261977,3
ok,-0.11361091862220299,0.1532665376034473,1,0.2668774562256503,3
set,-0.1135335779609691,0.1546108140414885,1,0.2681443920024576,3
disgusting,-0.11319988448139509,0.1603413215322604,1,0.2735412060136555,3
thousands,-0.11301624518710182,0.1634484939149016,1,0.2764647391020034,3
reading,-0.11291956890412291,0.1650714711739678,1,0.2779910400780907,3
blacks,-0.1126513011833659,0.1120914194566537,2,0.2247427206400196,5
k,-0.11237743928499777,0.1740166493297413,1,0.2863940886147391,3
account,-0.1121268911052723,0.1780655339314804,1,0.2901924250367527,3
protect,-0.1110163022604157,0.1954253217553395,1,0.3064416240157552,3
murder,-0.10792719995586522,0.1954375076504655,2,0.3033647076063307,5
later,-0.1077727543287032,0.1978224262232114,2,0.3055951805519146,5
kids,-0.09827221935698421,0.1388743673033785,3,0.2371465866603627,6
kid,-0.09807206701326479,0.2298700689877525,4,0.3279421360010173,8
family,-0.09563058226587842,0.1894262605098467,3,0.2850568427757251,6
www,-0.09424201106725849,0.0777469309490085,2,0.171988942016267,4
killed,-0.09309562239127259,0.2318053121111062,3,0.3249009345023788,6
car,-0.09236243214237391,0.2432337891788983,3,0.3355962213212722,6
house,-0.09211631955952893,0.2293423424304631,5,0.321458661989992,9
another,-0.09157329618266238,0.1442942208639418,2,0.2358675170466042,4
used,-0.09072099674355541,0.162555891643112,2,0.2532768883866674,4
proud,-0.08956183722268726,0.1858047603564353,2,0.2753665975791226,4
face,-0.08929398929367649,0.1909526217506602,2,0.2802466110443367,4
head,-0.08923685511733273,0.1920407509762043,2,0.281277606093537,4
age,-0.08905734067767498,0.1954375076504655,2,0.2844948483281405,4
being,-0.0887532805748733,0.1761176566372516,4,0.2648709372121249,7
lived,-0.0883477599112596,0.2085521401588969,2,0.2968999000701565,4
let,-0.08825803813897012,0.1857874802982196,4,0.2740455184371897,7
