word,npmi-bias,he-npmi,he-count,their-npmi,their-count
their,-0.5048624459297226,0.1185095728967177,6,0.6233720188264403,599
they,-0.2023654649045824,0.1914014632236356,21,0.393766928128218,198
parents,-0.194375555780674,0.1305846688181157,1,0.3249602245987897,24
blacks,-0.1652421923538963,0.1120914194566537,2,0.27733361181055,28
own,-0.1591029907552937,0.2093159464087432,6,0.3684189371640369,62
culture,-0.1580085561704014,0.1296981197092574,1,0.2877066758796588,16
are,-0.15713508346160562,0.18731970956441,21,0.3444547930260156,146
them,-0.15484659078605179,0.1790504480269035,10,0.3338970388129553,84
kids,-0.15075694262144052,0.1388743673033785,3,0.289631309924819,33
race,-0.14150921894551852,0.133421214939728,3,0.2749304338852465,30
schools,-0.141292105515365,0.1084355553839195,1,0.2497276608992845,13
http,-0.1293596155411974,0.0499457923792223,1,0.1793054079204197,11
children,-0.1285967078899732,0.1916555784415737,4,0.3202522863315469,34
whites,-0.12762290296559442,0.1544739431028826,5,0.282096846068477,39
its,-0.12097788076144389,0.0578119201243179,1,0.1787898008857618,10
come,-0.12005026342125269,0.0853510238673883,1,0.205401287288641,10
people,-0.11189798456200759,0.2018165227873521,13,0.3137145073493597,73
friends,-0.11064167520980249,0.1036696241832601,1,0.2143112993930626,9
women,-0.1105764667539033,0.1054145089888328,1,0.2159909757427361,9
themselves,-0.10981543951810949,0.1246409694806751,1,0.2344564089987846,9
learn,-0.10923174979827169,0.1382067522017294,1,0.2474385020000011,9
those,-0.10789149441417939,0.1543836702001945,4,0.2622751646143739,27
most,-0.10595907184307357,0.1519540781305787,3,0.2579131499736523,21
taking,-0.0989446225669206,0.1588516959120974,1,0.257796318479018,8
heads,-0.09774597213426542,0.1847983596268498,1,0.2825443317611152,8
there,-0.09758533683560999,0.1293745577263232,7,0.2269598945619332,38
faces,-0.09736307005769487,0.1925515581348793,1,0.2899146281925742,8
these,-0.09303401797094141,0.1666550833746634,5,0.2596891013456048,28
which,-0.09121374584336042,0.1631455603069277,3,0.2543593061502881,18
area,-0.0907747981982378,0.0898111578179486,1,0.1805859560161864,7
stupid,-0.08966796636976729,0.1271156669545797,1,0.216783633324347,7
negroes,-0.08925665790646398,0.1392339371976888,1,0.2284905951041528,7
using,-0.08898009416297858,0.1469916683588166,1,0.2359717625217952,7
outside,-0.08853733545102419,0.1588516959120974,1,0.2473890313631216,7
give,-0.08548814872090091,0.1556564701612703,2,0.2411446188821712,12
were,-0.0839123952012977,0.1451731647628367,4,0.2290855599641344,21
www,-0.0802227121270995,0.0777469309490085,2,0.157969643076108,11
great,-0.07932210095394851,0.1155268589033919,2,0.1948489598573404,11
use,-0.0784594284865317,0.1452923157208958,2,0.2237517442074275,11
such,-0.07827356321901612,0.104827463167343,1,0.1831010263863591,6
girl,-0.0781688791094216,0.1090577837769784,1,0.1872266628864,6
problem,-0.07780356865513069,0.1230464384271103,1,0.200850007082241,6
yet,-0.077760064102041,0.1246409694806751,1,0.2024010335827161,6
others,-0.0774331485955054,0.1362056013466759,1,0.2136387499421813,6
makes,-0.07740343429951799,0.1767148446346726,2,0.2541182789341906,11
education,-0.0766362605567803,0.1618727247361693,1,0.2385089852929496,6
bring,-0.0766362605567803,0.1618727247361693,1,0.2385089852929496,6
hide,-0.0761557904068712,0.1760020400449241,1,0.2521578304517953,6
lives,-0.07585268843699991,0.2165310942837593,2,0.2923837827207592,11
do,-0.0744908264726328,0.2023034769179556,15,0.2767943033905884,60
our,-0.0714693268295512,0.1655469678569883,7,0.2370162946865395,30
am,-0.0712871953072042,0.112703413552737,2,0.1839906088599412,10
english,-0.07001933014797232,0.1605959164370148,2,0.2306152465849871,10
many,-0.06956439748769849,0.1924551079565076,6,0.2620195054442061,26
re,-0.06913335324144271,0.148278745410627,3,0.2174120986520697,14
also,-0.06911527894601019,0.1489322998267673,3,0.2180475787727775,14
anyone,-0.0690501420283555,0.151270775193521,3,0.2203209172218765,14
why,-0.0689310900459345,0.1554790789788752,3,0.2244101690248097,14
your,-0.06787578644497769,0.1634660558259603,9,0.231341842270938,36
2,-0.06473748192587271,0.0799721664842618,1,0.1447096484101345,5
forum,-0.06440886639965611,0.0987076831979309,1,0.163116549597587,5
work,-0.06434716527228258,0.1019719286524134,1,0.166319093924696,5
guess,-0.06399894187494509,0.1192361348614164,1,0.1832350767363615,5
future,-0.0636435492924631,0.1352303523296223,1,0.1988739016220854,5
reason,-0.0636435492924631,0.1352303523296223,1,0.1988739016220854,5
need,-0.06350727854079269,0.1679800363899763,4,0.231487314930769,17
pass,-0.06336214943987858,0.1469916683588166,1,0.2103538177986952,5
rest,-0.0633324816421745,0.1481917723891737,1,0.2115242540313482,5
rather,-0.0632050769826207,0.1532665376034473,1,0.216471614586068,5
national,-0.06317079970748002,0.1546108140414885,1,0.2177816137489685,5
website,-0.0630989349695589,0.1574014836242536,1,0.2205004185938125,5
animals,-0.06285139431674039,0.1667447869857026,1,0.229596181302443,5
figure,-0.06280446794487671,0.1684719010074631,1,0.2312763689523398,5
sort,-0.0627555928964508,0.1702566504369363,1,0.2330122433333871,5
playing,-0.06253717704575831,0.1780655339314804,1,0.2406027109772387,5
boys,-0.06253717704575831,0.1780655339314804,1,0.2406027109772387,5
shame,-0.06253717704575831,0.1780655339314804,1,0.2406027109772387,5
stories,-0.06241113082077779,0.1824552746959061,1,0.2448664055166839,5
non,-0.0623387767394869,0.1588193004961539,3,0.2211580772356408,13
looking,-0.0622074042237378,0.1244100767525769,2,0.1866174809763147,9
king,-0.062112324532219904,0.1925515581348793,1,0.2546638826670992,5
ancestors,-0.06202500701277558,0.1954253217553395,1,0.2574503287681151,5
really,-0.06193254468656789,0.1368242648557956,2,0.1987568095423635,9
songs,-0.06193125038768152,0.1984748915997329,1,0.2604061419874144,5
bodies,-0.061720320595477496,0.2052057148099754,1,0.2669260354054529,5
feel,-0.0614655318961321,0.1562526789912628,2,0.2177182108873949,9
name,-0.061450343979851996,0.1568546939653642,2,0.2183050379452162,9
else,-0.061371412591588015,0.1599563250059945,2,0.2213277375975825,9
skin,-0.06097086940550292,0.1750554028743826,2,0.2360262722798855,9
girls,-0.06087786277695939,0.1784226119702001,2,0.2393004747471595,9
proud,-0.06066926625440819,0.1858047603564353,2,0.2464740266108435,9
families,-0.0595545319244635,0.2219687601924021,2,0.2815232921168656,9
have,-0.05754853752829908,0.2544127505978315,36,0.3119612881261306,114
can,-0.056005994552843386,0.2060374558719943,12,0.2620434504248377,42
take,-0.054715294207705906,0.2008190393883608,5,0.2555343335960667,19
ireland,-0.05236698173725579,0.1329727049055025,2,0.1853396866427583,8
who,-0.052217656707996885,0.2473322684282952,17,0.2995499251362921,56
look,-0.052119092968065606,0.1711183996095087,4,0.2232374925775743,15
irish,-0.05210883578059761,0.1463063352686766,2,0.1984151710492742,8
let,-0.051771707366297104,0.1857874802982196,4,0.2375591876645167,15
know,-0.05168628428263161,0.1980179852325126,8,0.2497042695151442,28
want,-0.04850220871907668,0.1283600997961968,3,0.1768623085152735,11
free,-0.04772189423733719,0.0976559011878147,1,0.1453777954251519,4
nationalist,-0.04754495974757929,0.1103213113293789,1,0.1578662710769582,4
high,-0.04752612016487989,0.1116112181907623,1,0.1591373383556422,4
crime,-0.04745557926523798,0.1163519457282454,1,0.1638075249934834,4
pretty,-0.04744486429886899,0.1170602513090638,1,0.1645051156079328,4
until,-0.0473885969047209,0.120731448408112,1,0.1681200453128329,4
everyone,-0.04737676753398648,0.1214932470685176,1,0.1688700146025041,4
child,-0.04735248586103111,0.1230464384271103,1,0.1703989242881414,4
each,-0.04735248586103111,0.1230464384271103,1,0.1703989242881414,4
history,-0.04723152482688281,0.1305846688181157,1,0.1778161936449985,4
light,-0.0471544093078928,0.1352303523296223,1,0.1823847616375151,4
blood,-0.04713797209044132,0.1362056013466759,1,0.1833435734371172,4
100,-0.04708638158357009,0.1392339371976888,1,0.1863203187812589,4
stay,-0.047049925391573016,0.1413450250196306,1,0.1883949504112036,4
brothers,-0.04703102391429559,0.1424304572085385,1,0.1894614811228341,4
even,-0.047002603557030204,0.2346621085844964,9,0.2816647121415266,30
change,-0.046884032156098016,0.1506716419301829,1,0.1975556740862809,4
nordic,-0.046860606778133695,0.1519540008447359,1,0.1988146076228696,4
mind,-0.046860606778133695,0.1519540008447359,1,0.1988146076228696,4
info,-0.04683647600705529,0.1532665376034473,1,0.2001030136105026,4
set,-0.04681160012110391,0.1546108140414885,1,0.2014224141625924,4
wo,-0.046759436731995396,0.1574014836242536,1,0.204160920356249,4
instead,-0.04670372331451328,0.1603413215322604,1,0.2070450448467737,4
control,-0.046643989465141394,0.1634484939149016,1,0.210092483380043,4
hit,-0.04654557183009542,0.1684719010074631,1,0.2150174728375585,4
continue,-0.046510056685867385,0.1702566504369363,1,0.2167667071228037,4
door,-0.046510056685867385,0.1702566504369363,1,0.2167667071228037,4
celtic,-0.046351285350983595,0.1780655339314804,1,0.224416819282464,4
often,-0.046351285350983595,0.1780655339314804,1,0.224416819282464,4
dogs,-0.046351285350983595,0.1780655339314804,1,0.224416819282464,4
cars,-0.046209977878657216,0.1847983596268498,1,0.231008337505507,4
notice,-0.046209977878657216,0.1847983596268498,1,0.231008337505507,4
welfare,-0.04615742994650329,0.1872536620266978,1,0.2334110919732011,4
