word,npmi-bias,he-npmi,he-count,them-npmi,them-count
them,-0.45612982898461285,0.1790504480269035,10,0.6351802770115164,514
their,-0.2262454276836518,0.1185095728967177,6,0.3447550005803695,84
they,-0.1829807546299987,0.1914014632236356,21,0.3743822178536343,146
its,-0.1727812575158458,0.0578119201243179,1,0.2305931776401637,15
blacks,-0.15921473041230821,0.1120914194566537,2,0.2713061498689619,22
want,-0.15299764562054377,0.1283600997961968,3,0.2813577454167406,28
give,-0.15168723773154089,0.1556564701612703,2,0.3073437078928112,21
are,-0.1433917871973265,0.18731970956441,21,0.3307114967617365,111
there,-0.139078054416896,0.1293745577263232,7,0.2684526121432192,46
come,-0.135391006501133,0.0853510238673883,1,0.2207420303685213,10
friends,-0.13451826287065388,0.1036696241832601,1,0.238187887053914,10
guess,-0.1337107370511477,0.1192361348614164,1,0.2529468719125641,10
most,-0.1275295201147726,0.1519540781305787,3,0.2794835982453513,22
were,-0.1263774924783349,0.1451731647628367,4,0.2715506572411716,27
women,-0.1255434992940308,0.1054145089888328,1,0.2309580082828636,9
each,-0.1246934509917057,0.1230464384271103,1,0.247739889418816,9
kids,-0.12377028378870719,0.1388743673033785,3,0.2626446510920857,21
work,-0.11590029356008409,0.1019719286524134,1,0.2178722222124975,8
since,-0.11575802550833351,0.1054145089888328,1,0.2211725344971663,8
crime,-0.1152890670951726,0.1163519457282454,1,0.231641012823418,8
themselves,-0.1149165238751382,0.1246409694806751,1,0.2395574933558133,8
why,-0.11329802473857681,0.1554790789788752,3,0.268777103717452,19
whites,-0.10807414858800951,0.1544739431028826,5,0.2625480916908921,27
do,-0.10569810601352461,0.2023034769179556,15,0.3080015829314802,65
any,-0.10563300834979797,0.1504602816662984,4,0.2560932900160964,22
schools,-0.1047381230793184,0.1084355553839195,1,0.2131736784632379,7
reason,-0.10366205189628089,0.1352303523296223,1,0.2388924042259032,7
negroes,-0.10348928380990599,0.1392339371976888,1,0.2427232210075948,7
kill,-0.10273262400230887,0.1559885191897013,1,0.2587211431920102,7
numbers,-0.1019538105231334,0.1721033076466162,1,0.2740571181697496,7
feel,-0.10096863936943343,0.1562526789912628,2,0.2572213183606962,12
coming,-0.10010645991379791,0.174242902957373,2,0.2743493628711709,12
also,-0.09753687652634288,0.1489322998267673,3,0.2464691763531102,16
anyone,-0.09743542355312279,0.151270775193521,3,0.2487061987466438,16
our,-0.09696100562239551,0.1655469678569883,7,0.2625079734793838,32
such,-0.092517545162986,0.104827463167343,1,0.197345008330329,6
race,-0.09219838358791549,0.133421214939728,3,0.2256195985276435,15
until,-0.0919903930124094,0.120731448408112,1,0.2127218414205214,6
everyone,-0.0919640494831544,0.1214932470685176,1,0.213457296551672,6
stupid,-0.09176653817657979,0.1271156669545797,1,0.2188822051311595,6
blood,-0.0914357410002912,0.1362056013466759,1,0.2276413423469671,6
picture,-0.09136101438563879,0.1382067522017294,1,0.2295677665873682,6
learn,-0.09136101438563879,0.1382067522017294,1,0.2295677665873682,6
pass,-0.0910248658568201,0.1469916683588166,1,0.2380165342156367,6
which,-0.09100607694908222,0.1631455603069277,3,0.2541516372560099,15
get,-0.0907072301225483,0.2107767598371156,12,0.3014839899596639,48
phone,-0.09014750003552699,0.1684719010074631,1,0.2586194010429901,6
people,-0.08825020386564411,0.2018165227873521,13,0.2900667266529962,50
use,-0.0857063797422081,0.1452923157208958,2,0.2309986954631039,10
look,-0.08541244193315772,0.1711183996095087,4,0.2565308415426664,18
will,-0.08394041377638209,0.2309496408068444,18,0.3148900545832265,64
