word,npmi-bias,he-npmi,he-count,woman-npmi,woman-count
woman,-0.4846778185717555,0.2160162220575436,4,0.7006940406292991,75
death,-0.2477391458722366,0.1262792757529701,1,0.3740184216252067,5
2,-0.2312564428996694,0.0799721664842618,1,0.3112286093839312,4
1,-0.2309129396255244,0.0832299992270129,1,0.3141429388525373,4
looking,-0.2238473720479788,0.1244100767525769,2,0.3482574488005557,6
youtube,-0.22322001360216337,0.1403854219632466,6,0.36360543556541,12
bus,-0.2202697163248649,0.1702566504369363,1,0.3905263667618012,4
beaten,-0.21749471884977853,0.1898333100014528,1,0.4073280288512313,4
http,-0.205918694700293,0.0499457923792223,1,0.2558644870795153,3
her,-0.2015558522957495,0.2069367917689627,8,0.4084926440647122,13
women,-0.20105892060009867,0.1054145089888328,1,0.3064734295889315,3
yourself,-0.19841910350736147,0.1314847852689559,1,0.3299038887763174,3
white,-0.19701087588662897,0.2657242016696104,36,0.4627350775562394,35
aryan,-0.19487853999775281,0.1634484939149016,1,0.3583270339126544,3
dating,-0.18873782831219318,0.2130221037729962,1,0.4017599320851894,3
im,-0.18146373220758272,0.1338091862028425,2,0.3152729184104252,4
year,-0.168116525891362,0.2101220037174057,7,0.3782385296087677,9
its,-0.1675860892272462,0.0578119201243179,1,0.2253980093515641,2
men,-0.1649505819686995,0.2207500126645353,4,0.3857005946332348,6
girl,-0.1640100104868349,0.1090577837769784,1,0.2730677942638133,2
crime,-0.16344245379788508,0.1163519457282454,1,0.2797943995261305,2
u,-0.1629717685871483,0.1222648193611372,1,0.2852365879482855,2
child,-0.16290883979797802,0.1230464384271103,1,0.2859552782250883,2
goes,-0.1617409708787515,0.1371975268438515,1,0.298938497722603,2
dr,-0.16110292402499818,0.1446652913734118,1,0.30576821539841,2
posted,-0.1610032295463362,0.1458165370096662,1,0.3068197665560024,2
single,-0.1604657516864235,0.1519540008447359,1,0.3124197525311594,2
street,-0.1602299609785802,0.1546108140414885,1,0.3148407750200687,2
8,-0.1595758597516925,0.1618727247361693,1,0.3214485844878618,2
black,-0.15956146486987127,0.2599833813150044,18,0.4195448461848757,17
figure,-0.15896927754370563,0.1684719010074631,1,0.3274411785511687,2
who,-0.15846258642821182,0.2473322684282952,17,0.405794854856507,16
boys,-0.15806684447875502,0.1780655339314804,1,0.3361323784102354,2
sitting,-0.1578614098228217,0.1802139995771872,1,0.3380754094000089,2
www,-0.1577830258039033,0.0777469309490085,2,0.2355299567529118,3
rape,-0.1574189831724744,0.1847983596268498,1,0.3422173427993242,2
gang,-0.1571797491300575,0.1872536620266978,1,0.3444334111567553,2
service,-0.15637211766201542,0.1954253217553395,1,0.3517974394173549,2
michael,-0.15637211766201542,0.1954253217553395,1,0.3517974394173549,2
standing,-0.15637211766201542,0.1954253217553395,1,0.3517974394173549,2
17,-0.15606622755417252,0.1984748915997329,1,0.3545411191539054,2
apartment,-0.15606622755417252,0.1984748915997329,1,0.3545411191539054,2
victim,-0.15606622755417252,0.1984748915997329,1,0.3545411191539054,2
man,-0.15538446673624456,0.2688584579434478,10,0.4242429246796924,11
blacks,-0.15537598854701673,0.1120914194566537,2,0.2674674080036704,3
turns,-0.1545735835616827,0.2130221037729962,1,0.3675956873346789,2
com,-0.15453181153847317,0.1154258830699894,3,0.2699576946084626,4
blind,-0.15358406513643127,0.222381851321548,1,0.3759659164579793,2
want,-0.1535287692414394,0.1283600997961968,3,0.2818888690376362,4
another,-0.1528467868208194,0.1442942208639418,2,0.2971410076847612,3
pregnant,-0.1523104522889747,0.234125090348718,1,0.3864355426376927,2
find,-0.15183642813058656,0.1897398762893147,5,0.3415763044199013,6
murder,-0.1482970968949869,0.1954375076504655,2,0.3437346045454524,3
sentenced,-0.14749448905719303,0.2758851054843536,1,0.4233795945415466,2
killed,-0.14402759516665972,0.2318053121111062,3,0.3758329072777659,4
good,-0.13099716925219212,0.1880003629706798,8,0.3189975322228719,7
old,-0.13038999784217142,0.2573745810154487,12,0.3877645788576201,10
pm,-0.12475041048477689,0.2200502543866951,4,0.344800664871472,4
