word,he-pmi
the,2.500452338951676
to,2.647878884612334
i,2.241846069780721
and,2.779328307033199
a,2.890729919542693
of,2.6084513142403867
in,2.623960939110198
is,2.9140880005550454
it,2.576860989952797
that,2.7808737829609345
you,2.2120481307000674
for,2.5906309173445035
are,1.9593900266535704
have,2.532827017366549
on,2.8947024408408337
they,2.012192134165983
this,2.4973789706259577
white,2.6861918425364686
s,3.216050554734288
with,3.150179939948912
was,3.594285110182771
my,2.9580273695964463
all,2.715314459782748
be,2.8856587590345284
but,2.837596884239595
as,2.706025892164502
not,2.932781729164625
like,2.9771786626650725
t,2.540803131436558
we,2.3780027100298167
do,2.326536270459598
or,2.76589306680278
if,3.2939604970032765
there,1.5897140263969916
n,2.4783676604957656
their,1.4797084453336926
just,2.875553388922187
at,2.9255701594490646
will,2.645401270348067
so,3.2359632761610606
from,3.067596806715441
your,1.992259424401821
out,2.852195683660748
people,2.391884836193914
them,2.177662647733184
about,3.045177299845763
me,2.9634026151209536
up,3.0813552716750388
one,3.040576898607821
youtube,1.797457206384257
would,2.952076581140469
can,2.496435307254996
get,2.569194661537424
who,2.9322851519898765
here,2.418824704550072
by,2.792787550086784
what,3.1004189193719807
when,3.247022393563856
no,2.7368206650037115
our,2.1223686206043944
some,2.9629363059495293
black,3.094804081487652
more,2.698840232503628
an,3.045507459976424
see,2.884508672651291
good,2.415043981710166
m,2.3312465947597816
he,6.07348638270362
www,1.1130692059141936
has,3.5761577255902144
whites,2.077417232742128
know,2.575503830730689
how,3.271820586051913
com,1.617075514408129
go,3.236269601787594
been,2.387572161045968
time,3.007792704498022
other,2.912482524693697
think,2.692891374983855
had,3.510964478712564
were,2.00688708193629
new,2.584586545305008
her,2.721774249132641
only,3.040227980251176
then,3.3503829085550154
school,3.1345923315460644
these,2.273993756671616
should,3.627898978043108
back,3.395334296417281
any,2.092921419278093
want,1.8249638521740907
because,3.5029323070153
us,2.9477708694292573
say,3.393693606959822
than,2.8423083181609146
few,3.160762049279449
http,0.76700756914711
well,2.717075728351087
those,2.157459940415664
now,2.871660530173442
race,1.9079990807840808
many,2.623028972593534
too,3.233599373231716
old,3.3340337705534857
very,2.928568662445321
day,3.0554015336216227
his,4.687828964280422
way,2.965270029295749
