word,npmi-bias,her-npmi,her-count,him-npmi,him-count
him,-0.4197747707925591,0.2516747534271817,7,0.6714495242197408,130
he,-0.2368835064284625,0.2169650044358204,8,0.4538485108642829,38
his,-0.20907104625208092,0.246078750807768,8,0.4551497970598489,32
god,-0.17166913128192934,0.1244046486671533,1,0.2960737799490826,5
call,-0.16919390116481697,0.1521149981770965,1,0.3213088993419135,5
always,-0.1534972945152025,0.0941949760327988,1,0.2476922705480013,4
which,-0.15307300402789162,0.1005436278437333,1,0.2536166318716249,4
post,-0.1530447339245541,0.1009612133076248,1,0.2540059472321789,4
someone,-0.1523250371888948,0.1113788171579104,1,0.2637038543468052,4
3,-0.15203751106305732,0.1154323857789217,1,0.267469896841979,4
boy,-0.1491685636660898,0.1530750075925761,1,0.3022435712586659,4
you,-0.13858924528548297,0.1495712009864474,13,0.2881604462719304,24
talk,-0.1384563659718871,0.1660766117465946,2,0.3045329777184817,6
news,-0.1283893415305807,0.0846726822356001,1,0.2130620237661808,3
something,-0.127321767161519,0.1044002858460218,1,0.2317220530075408,3
really,-0.1272717442670382,0.1052888330746886,1,0.2325605773417268,3
use,-0.12677936422297031,0.1138822262377766,1,0.2406615904607469,3
bad,-0.1264667254222335,0.1192025920264494,1,0.2456693174486829,3
tell,-0.1258091635846154,0.1300779670934884,1,0.2558871306781038,3
racist,-0.1257682370001976,0.1307415753894848,1,0.2565098123896824,3
once,-0.1257682370001976,0.1307415753894848,1,0.2565098123896824,3
pm,-0.1254658709659114,0.1355988296187797,1,0.2610647005846911,3
enough,-0.1254658709659114,0.1355988296187797,1,0.2610647005846911,3
proud,-0.124206113441645,0.1550437735221895,1,0.2792498869638345,3
picture,-0.12413853268069552,0.1560537390377948,1,0.2801922717184903,3
students,-0.12406953544022406,0.1570816242423745,1,0.2811511596825986,3
gone,-0.12328670805134531,0.1685235064731637,1,0.291810214524509,3
look,-0.12325254679526862,0.1365578004814003,2,0.2598103472766689,5
happened,-0.12310540116383598,0.1711184258607827,1,0.2942238270246187,3
thousands,-0.12238079675268379,0.1812971759177526,1,0.3036779726704364,3
wife,-0.12238079675268379,0.1812971759177526,1,0.3036779726704364,3
times,-0.12150732274870482,0.1630807225866117,2,0.2845880453353165,5
why,-0.1021323591293738,0.1441608593208176,2,0.2462932184501914,4
again,-0.10050122061157979,0.173098180018062,2,0.2735994006296418,4
down,-0.0993294902693321,0.1901221893277151,4,0.2894516795970472,7
head,-0.09810907973455069,0.211764864718117,2,0.3098739444526677,4
these,-0.09476244065010539,0.0611169996924003,1,0.1558794403425057,2
most,-0.09372254296169089,0.0890919530892188,1,0.1828144960509097,2
much,-0.09370870848384281,0.089444013579755,1,0.1831527220635978,2
maybe,-0.09302929396409149,0.1061895705951916,1,0.1992188645592831,2
area,-0.09297165763292291,0.1075643403830187,1,0.2005359980159416,2
else,-0.0920469403092134,0.1287717362547365,1,0.2208186765639499,2
man,-0.0918977776772544,0.2305020738310772,5,0.3223998515083316,8
believe,-0.09166738240009109,0.1370605513380158,1,0.2287279337381069,2
guess,-0.09166738240009109,0.1370605513380158,1,0.2287279337381069,2
jewish,-0.09152593154672689,0.1400940664637845,1,0.2316199980105114,2
need,-0.0909272835520959,0.1658889373786121,3,0.256816220930708,5
