word,npmi-bias,her-npmi,her-count,himself-npmi,himself-count
these,-0.269236084795024,0.0611169996924003,1,0.3303530844874243,1
anyone,-0.2655309059464559,0.0883932335471931,1,0.353924139493649,1
stormfront,-0.26360003657893305,0.1018043563146476,1,0.3654043928935807,1
something,-0.2632180609589898,0.1044002858460218,1,0.3676183468050116,1
maybe,-0.26295323140529847,0.1061895705951916,1,0.3691428020004901,1
https,-0.2623967410074823,0.1099220210384043,1,0.3723187620458866,1
forum,-0.26140466025942855,0.1164870535995198,1,0.3778917138589484,1
bad,-0.2609893686710872,0.1192025920264494,1,0.3801919606975366,1
god,-0.2601857786287432,0.1244046486671533,1,0.3845904272958965,1
support,-0.25690927572091393,0.1449516791641152,1,0.4018609548850291,1
seems,-0.2558855934305726,0.1511704854038926,1,0.4070560788344652,1
future,-0.2555691329928079,0.1530750075925761,1,0.408644140585384,1
either,-0.254171835911737,0.1613869531948864,1,0.4155587891066234,1
page,-0.25358314814785393,0.1648429134052697,1,0.4184260615531236,1
nordic,-0.2527298529026904,0.1698059198057495,1,0.4225357727084399,1
mail,-0.2495045552397239,0.1881002564887215,1,0.4376048117284454,1
scene,-0.2495045552397239,0.1881002564887215,1,0.4376048117284454,1
drug,-0.24917236285608868,0.1899451319500906,1,0.4391174948061793,1
sign,-0.2484669755955972,0.1938395353068745,1,0.4423065109024717,1
fun,-0.2484669755955972,0.1938395353068745,1,0.4423065109024717,1
straight,-0.24769875747890638,0.1980459529545264,1,0.4457447104334328,1
ass,-0.2472873717655449,0.2002839129694801,1,0.447571284735025,1
friend,-0.2466740078039911,0.2401640992984114,3,0.4868381071024025,2
even,-0.2154097994160203,0.129124428608635,2,0.3445342280246553,1
live,-0.2139248933639717,0.1405991320269951,2,0.3545240253909668,1
reason,-0.2050342960320275,0.2036098445533565,2,0.408644140585384,1
wish,-0.20231735921234048,0.2213037055629449,2,0.4236210647752854,1
way,-0.20207572814190433,0.2194332024106831,6,0.4215089305525874,2
arrested,-0.1984399748467095,0.245551865070826,2,0.4439918399175355,1
suspect,-0.19610064971288899,0.2596733727529283,2,0.4557740224658173,1
protect,-0.19563014433983933,0.2624710872651443,2,0.4581012316049836,1
