word,npmi-bias,her-npmi,her-count,them-npmi,them-count
them,-0.4404856718710837,0.1946946051404327,9,0.6351802770115164,514
whites,-0.2139902418355566,0.0485578498553355,1,0.2625480916908921,27
most,-0.1903916451561325,0.0890919530892188,1,0.2794835982453513,22
these,-0.18796429452187788,0.0611169996924003,1,0.2490812942142782,21
they,-0.1768819661148725,0.1975002517387618,17,0.3743822178536343,146
their,-0.17468112488782822,0.1700738756925413,8,0.3447550005803695,84
much,-0.17121776496346358,0.089444013579755,1,0.2606617785432186,18
are,-0.1675883373006741,0.1631231594610624,13,0.3307114967617365,111
anyone,-0.1603129651994507,0.0883932335471931,1,0.2487061987466438,16
which,-0.15360800941227662,0.1005436278437333,1,0.2541516372560099,15
many,-0.1526864674592614,0.1232122355991378,2,0.2758987030583992,25
have,-0.1345144811895692,0.1960756758723442,17,0.3305901570619134,109
you,-0.13336294843107346,0.1495712009864474,13,0.2829341494175209,86
maybe,-0.1333157863615582,0.1061895705951916,1,0.2395053569567498,12
been,-0.131669360052509,0.1086019267651873,2,0.2402712868176963,20
coming,-0.1310610427286473,0.1432883201425236,1,0.2743493628711709,12
always,-0.12633710894529748,0.0941949760327988,1,0.2205320849780963,11
why,-0.1246162443966344,0.1441608593208176,2,0.268777103717452,19
tell,-0.12439120960812161,0.1300779670934884,1,0.25446917670161,11
our,-0.12359234020076662,0.1389156332786172,4,0.2625079734793838,32
do,-0.12030327586273312,0.1876983070687471,10,0.3080015829314802,65
look,-0.11997304106126613,0.1365578004814003,2,0.2565308415426664,18
jews,-0.11895011981551956,0.1535716414015446,2,0.2725217612170642,18
re,-0.11848310296932651,0.0853343338379676,1,0.2038174368072941,10
someone,-0.1172428858437419,0.1113788171579104,1,0.2286217030016523,10
read,-0.11716777800891101,0.112869172196503,1,0.230036950205414,10
use,-0.1171164692253273,0.1138822262377766,1,0.2309986954631039,10
guess,-0.11588632057454828,0.1370605513380158,1,0.2529468719125641,10
even,-0.1150202205144995,0.129124428608635,2,0.2441446491231345,17
there,-0.1145525623114598,0.1539000498317594,7,0.2684526121432192,46
all,-0.1092405499774507,0.1761891522847942,10,0.2854297022622449,59
im,-0.10872221770598839,0.1022299875023327,1,0.2109522052083211,9
blacks,-0.1069456211633559,0.164360528705606,3,0.2713061498689619,22
countries,-0.10632152517566068,0.1511704854038926,1,0.2574920105795533,9
not,-0.1040713592067482,0.2092292080021127,13,0.3133005672088609,71
its,-0.10349520118205452,0.1270979764581092,2,0.2305931776401637,15
people,-0.09864179177581242,0.1914249348771838,9,0.2900667266529962,50
long,-0.09849069100776059,0.1108895705505882,1,0.2093802615583488,8
start,-0.098407387946288,0.112869172196503,1,0.211276560142791,8
those,-0.0975136058499032,0.1195284478248052,2,0.2170420536747084,14
crime,-0.09746968448808782,0.1341713283353302,1,0.231641012823418,8
themselves,-0.0970838134540799,0.1424736799017334,1,0.2395574933558133,8
without,-0.09666737467021949,0.1511704854038926,1,0.2478378600741121,8
of,-0.09142205631848582,0.2797689633191215,54,0.3711910196376073,213
should,-0.0880542533225935,0.1908430964683945,5,0.278897349790988,28
want,-0.08791385410045419,0.1934438913162864,5,0.2813577454167406,28
post,-0.08789102864470201,0.1009612133076248,1,0.1888522419523268,7
your,-0.0871144304757846,0.1329303084341942,5,0.2200447389099788,27
schools,-0.0869347324181429,0.126238946045095,1,0.2131736784632379,7
else,-0.0868337618658652,0.1287717362547365,1,0.2156054981206017,7
today,-0.0867545863983255,0.1307415753894848,1,0.2174961617878103,7
once,-0.0867545863983255,0.1307415753894848,1,0.2174961617878103,7
best,-0.0865569366874232,0.1355988296187797,1,0.2221557663062029,7
cause,-0.0858591734589837,0.1521149981770965,1,0.2379741716360802,7
kill,-0.08488107797519018,0.17384006521682,1,0.2587211431920102,7
any,-0.08348068948392007,0.1726126005321763,4,0.2560932900160964,22
feel,-0.08119841290241042,0.1760229054582858,2,0.2572213183606962,12
children,-0.08113744352773972,0.1897457885997843,3,0.270883232127524,17
to,-0.08051764534689948,0.3192999623880746,81,0.3998176077349741,285
as,-0.07930976157442951,0.2246342215843322,15,0.3039439831587617,66
be,-0.07758925421492291,0.2215683311451267,15,0.2991575853600496,65
find,-0.07648157868844963,0.1690517468095208,3,0.2455333254979704,16
than,-0.0763600956756241,0.1956449068998041,5,0.2720050025754282,25
give,-0.07604406044161299,0.2312996474511982,4,0.3073437078928112,21
