word,npmi-bias,her-npmi,her-count,they-npmi,they-count
they,-0.38828506032134064,0.1975002517387618,17,0.5857853120601024,1163
re,-0.22456210373391092,0.0853343338379676,1,0.3098964375718785,74
are,-0.2166668236077892,0.1631231594610624,13,0.3797899830688516,369
whites,-0.21090191606092917,0.0485578498553355,1,0.2594597659162647,63
these,-0.1828772716994434,0.0611169996924003,1,0.2439942713918437,48
their,-0.1730115810529108,0.1700738756925413,8,0.3430854567454521,198
much,-0.14321683710680821,0.089444013579755,1,0.2326608506865632,32
do,-0.12986396930927638,0.1876983070687471,10,0.3175622763780235,168
have,-0.1297729315903532,0.1960756758723442,17,0.3258486074626974,252
themselves,-0.1285982921972286,0.1424736799017334,1,0.271071972098962,28
them,-0.12196082408772077,0.1946946051404327,9,0.3166554292281535,146
all,-0.11968317420718039,0.1761891522847942,10,0.2958723264919746,154
those,-0.11787397237721,0.1195284478248052,2,0.2374024202020152,42
most,-0.1062014674493266,0.0890919530892188,1,0.1952934205385454,21
maybe,-0.1056147150775309,0.1061895705951916,1,0.2118042856727225,21
been,-0.103747962669115,0.1086019267651873,2,0.2123498894343023,36
always,-0.10189461154813378,0.0941949760327988,1,0.1960895875809326,20
our,-0.10085590385784682,0.1389156332786172,4,0.239771537136464,62
schools,-0.1007708274052127,0.126238946045095,1,0.2270097734503077,20
which,-0.09737905581597331,0.1005436278437333,1,0.1979226836597066,19
long,-0.0970436028532625,0.1108895705505882,1,0.2079331734038507,19
something,-0.09275488165512251,0.1044002858460218,1,0.1971551675011443,18
really,-0.09272782763825131,0.1052888330746886,1,0.1980166607129399,18
even,-0.092140231827745,0.129124428608635,2,0.22126466043638,32
different,-0.091642074042186,0.1378048062092565,1,0.2294468802514425,18
be,-0.08936657838894968,0.2215683311451267,15,0.3109349095340764,171
why,-0.08872749702332791,0.1441608593208176,2,0.2328883563441455,31
anyone,-0.0884674713878665,0.0883932335471931,1,0.1768607049350596,17
racist,-0.0872234210592284,0.1307415753894848,1,0.2179649964487132,17
many,-0.08647635121653391,0.1232122355991378,2,0.2096885868156717,30
look,-0.08604182242521982,0.1365578004814003,2,0.2225996229066201,30
blacks,-0.0847641534767016,0.164360528705606,3,0.2491246821823076,42
people,-0.08429953699850098,0.1914249348771838,9,0.2757244718756848,106
start,-0.08283347110071601,0.112869172196503,1,0.195702643297219,16
what,-0.0780222555869981,0.1887423200975542,7,0.2667645756845523,81
you,-0.07767299606162728,0.1495712009864474,13,0.2272441970480747,135
group,-0.0773470940471028,0.1226225068581927,1,0.1999696009052955,15
least,-0.07682318520342749,0.1408768564518783,1,0.2177000416553058,15
because,-0.07652073797895378,0.2245523690333376,7,0.3010731070122914,81
learn,-0.0763502406389508,0.1560537390377948,1,0.2324039796767456,15
same,-0.0752103214415342,0.1684073831379902,3,0.2436177045795244,38
there,-0.07374291516021769,0.1539000498317594,7,0.2276429649919771,77
want,-0.07293271192251419,0.1934438913162864,5,0.2663766032388006,58
news,-0.07268628417222131,0.0846726822356001,1,0.1573589664078214,14
god,-0.0717859850077283,0.1244046486671533,1,0.1961906336748816,14
know,-0.07168581768742113,0.1792804113036016,5,0.2509662289910227,57
tell,-0.0716397133291812,0.1300779670934884,1,0.2017176804226696,14
today,-0.07162231561761079,0.1307415753894848,1,0.2023638910070956,14
money,-0.07160466745752292,0.1314123968800611,1,0.203017064337584,14
believe,-0.07145362972130709,0.1370605513380158,1,0.2085141810593229,14
started,-0.07071882235419241,0.1625157901949896,1,0.233234612549182,14
think,-0.06977223621597062,0.2031402211473919,6,0.2729124573633625,66
should,-0.06950805285997111,0.1908430964683945,5,0.2603511493283656,56
im,-0.0664023724912072,0.1022299875023327,1,0.1686323599935399,13
use,-0.06615728891727461,0.1138822262377766,1,0.1800395151550512,13
men,-0.0656369890905241,0.1363253028740517,1,0.2019622919645758,13
so,-0.06424670027075238,0.2172135406059457,12,0.2814602408766981,115
not,-0.06422879284361088,0.2092292080021127,13,0.2734580008457236,123
if,-0.0639677124061939,0.2317570480406652,15,0.2957247604468591,140
non,-0.062332783304782785,0.1475359625240293,2,0.2098687458288121,23
how,-0.06171391807163823,0.2105301524840293,7,0.2722440705556675,70
only,-0.060294528509015316,0.1883334799558229,5,0.2486280084648382,51
someone,-0.0599112859972947,0.1113788171579104,1,0.1712901031552051,12
bad,-0.0597573290167904,0.1192025920264494,1,0.1789599210432398,12
coming,-0.05923963739023941,0.1432883201425236,1,0.202527957532763,12
media,-0.059099542667789495,0.14932586688606,1,0.2084254095538495,12
ones,-0.058861673284269805,0.159193982916155,1,0.2180556562004248,12
talking,-0.058779122678014994,0.1625157901949896,1,0.2212949128730046,12
were,-0.05870683631592771,0.2306932147345473,8,0.289400051050475,77
country,-0.05868234894029639,0.1402530492752893,2,0.1989353982155857,22
better,-0.05772522238719971,0.179092432985179,2,0.2368176553723787,22
doing,-0.05729023508710107,0.1948103575568244,2,0.2521005926439255,22
say,-0.0561675573647934,0.1951498491105269,5,0.2513174064753203,49
your,-0.05565170333341948,0.1329303084341942,5,0.1885820117676137,48
as,-0.0552259723557523,0.2246342215843322,15,0.2798601939400845,130
its,-0.05496722990008482,0.1270979764581092,2,0.182065206358194,21
find,-0.05354787609709932,0.1690517468095208,3,0.2225996229066201,30
take,-0.053274055443770174,0.1802964274758775,3,0.2335704829196477,30
else,-0.052828932456971484,0.1287717362547365,1,0.181600668711708,11
end,-0.0524236234248365,0.14932586688606,1,0.2017494903108965,11
without,-0.0523851754347264,0.1511704854038926,1,0.203555660838619,11
cause,-0.05236535657976668,0.1521149981770965,1,0.2044803547568632,11
yeah,-0.05236535657976668,0.1521149981770965,1,0.2044803547568632,11
cant,-0.0522370857957056,0.1581281258449573,1,0.2103652116406629,11
mixed,-0.05216605588857709,0.1613869531948864,1,0.2135530090834635,11
hand,-0.0520351423906433,0.1672697443381548,1,0.2193048867287981,11
wo,-0.05185195802277051,0.1752527038261407,1,0.2271046618489112,11
race,-0.05082138497734748,0.1545100694407363,3,0.2053314544180838,29
just,-0.05061040348697851,0.2236869708845268,13,0.2742973743715053,110
ll,-0.050342993075989495,0.1762150958889765,3,0.226558088964966,29
jews,-0.0502897982335028,0.1535716414015446,2,0.2038614396350474,20
or,-0.047612116086662076,0.2161485541888016,13,0.2637606702754637,107
going,-0.04741961859689692,0.1668225483905066,3,0.2142421669874035,28
read,-0.04578772602841549,0.112869172196503,1,0.1586568982249185,10
than,-0.04572371842345471,0.1956449068998041,5,0.2413686253232588,44
such,-0.045640427736236,0.1226225068581927,1,0.1682629345944287,10
brown,-0.04554333504710309,0.1287717362547365,1,0.1743150713018396,10
once,-0.04551154202179239,0.1307415753894848,1,0.1762531174112772,10
crime,-0.045455387043980805,0.1341713283353302,1,0.179626715379311,10
fight,-0.045342667240587387,0.1408768564518783,1,0.1862195236924657,10
asian,-0.04517877328720901,0.1502409417951759,1,0.1954197150823849,10
past,-0.0447596487143771,0.1724625802584892,1,0.2172222289728663,10
up,-0.04452453007361229,0.2130470667970571,10,0.2575715968706694,82
over,-0.0442682700826412,0.1625699970445923,3,0.2068382671272335,27
need,-0.04420466524251071,0.1658889373786121,3,0.2100936026211228,27
to,-0.04118788426203718,0.3192999623880746,81,0.3604878466501118,550
of,-0.04113031512468052,0.2797689633191215,54,0.320899278443802,377
dont,-0.04062246765702002,0.179158279183511,3,0.219780746840531,26
the,-0.04020096188150579,0.3060938797833475,91,0.3462948416648533,607
more,-0.040042335945629004,0.2053860976432341,8,0.2454284335888631,64
t,-0.03913129305924748,0.2499058218246277,18,0.2890371148838752,135
n,-0.039047087196533325,0.2532382179918742,18,0.2922853051884075,135
city,-0.0376348951651555,0.1256215153397414,1,0.1632564105048969,9
nationalist,-0.03760186806261609,0.1281288008006838,1,0.1657306688632999,9
