word,her-pmi
the,2.1880077702657617
to,2.435897902382623
i,2.37267068220576
and,2.799917468561661
a,2.5963052681019074
of,2.3321759813052783
in,2.7435203452323003
is,2.7178553752934733
it,2.460671072364762
that,2.569715507482687
you,1.5568617123793451
for,2.5090181331535546
are,1.7254170734091516
have,2.0281215499841228
on,2.734837459750137
they,2.046483167516244
this,2.774727795958005
white,2.8140089338975525
s,2.663142985533984
with,2.912928295242795
was,3.294658186716916
my,2.8389843830260046
all,2.005403141772779
be,2.4381117054920503
but,2.5842058451380745
as,2.4816223899362337
not,2.342133831981474
like,2.711953165916549
t,2.732336037183749
we,2.559064315909713
do,2.1666712893689013
or,2.4409483353526342
if,2.5840491789933075
there,1.835314153414459
n,2.7811262013531817
their,2.0129906448029407
just,2.550608657472041
at,2.988848729672578
will,2.773218361709151
so,2.5007341501668017
from,2.907731825624744
your,1.6500728865171692
out,2.886486717011008
people,2.269760183086064
them,2.3179022590928247
about,2.863333412036291
me,2.852327798199689
up,2.538498038328236
one,2.544239680895912
youtube,2.197208013228983
would,2.6511330017898667
can,2.822078141946
get,2.814794788554892
who,2.9096212924126648
here,2.559064315909713
by,3.1719190697287734
what,2.3474902162783207
when,3.174168789462789
no,2.720056527553688
our,1.808352959686439
some,2.920854360515216
black,3.089089780224213
more,2.5389752514129307
an,2.3102783339821653
see,3.130108799668758
good,2.660644108727633
m,2.017230933841826
he,2.721774249132641
www,2.457281621599771
has,2.8834882140147515
whites,0.7135794473254948
know,2.351100328502421
how,2.6907421398849127
com,2.555822821985542
go,2.8532610693826874
been,1.5345599993953252
time,3.1580826517111644
other,2.9349391003969547
think,2.650809429549542
had,3.264088120632237
were,2.9456343895137027
new,1.982888811935272
her,6.155790993533601
only,2.497370746904373
then,3.4528821919318093
school,2.9747273504553675
these,0.9101559712549828
should,2.538498038328236
back,3.571941551947797
any,2.3385215462955604
want,2.581389602957549
because,2.9218538608483
say,2.6096743167961307
than,2.6179048159326466
few,3.205691480834765
http,2.6220456085986776
well,2.808525175541296
those,1.7099128868731863
now,2.424113476630964
race,2.1535992078015487
many,1.770016810942892
too,2.6907421398849127
old,3.867315970022734
very,2.704165160217053
day,2.4900714444227616
his,3.2062081432074057
way,2.923188083861436
its,1.8339655355431648
kids,3.3427710735153853
year,3.630453145967166
years,2.541364738810312
she,5.270740414127226
around,3.23930809163375
where,3.1057766990092275
even,1.8675418310767693
never,2.7936365630475457
over,2.2877492209221373
into,3.135047081309341
got,3.144997412162509
blacks,2.3179022590928247
am,1.922693651151849
down,2.6314255627284933
could,3.036890670836657
every,3.036890670836657
need,2.343743490276712
ve,2.636674918614637
video,3.2068728158805966
going,2.3595749554933927
great,1.970195985136853
same,2.386530765481921
news,1.293397942578437
find,2.3975198870575163
look,1.992054778949352
re,1.3044477787650222
did,3.255928972869791
also,2.925058991797248
make,2.925058991797248
anyone,1.3557410731525723
watch,3.307516341660284
country,2.054753373164916
live,2.0606530952921043
most,1.3675059147321589
own,3.670091007726204
last,3.159265383960214
much,1.3734406502519734
being,2.9948547537327896
first,3.3495645779037835
hope,2.796102655542739
ll,2.520843103089516
why,2.1216476079949462
looking,2.1216476079949462
him,3.3934587714610087
always,1.4539795127359858
off,3.6576766045778224
world,2.160113888822742
dont,2.572136397477066
home,3.878020065638679
show,3.271884262068363
non,2.1799165161189222
right,3.096207247993077
take,2.5920706123778827
thread,1.506972042876496
2,2.9000923690667864
ever,2.9138856911991224
two,3.3333370412820265
let,3.635203748725764
which,1.5629306965245406
post,1.5701509444980275
1,2.6687632331661373
ireland,2.2705708843870527
thing,3.3765092131472354
stormfront,1.5847497439191804
jews,2.285277031776749
im,1.5921298512168032
come,3.216493413867579
man,3.224040619502962
before,3.000897068188752
said,4.107113956242081
put,3.0085016675739715
something,1.62987017919965
ago,3.717033766973396
really,1.6453743657356152
little,3.607032871759068
does,3.4528821919318093
maybe,1.6611227227037544
children,2.759735011371864
after,3.063417425170086
area,1.685220274282815
anything,3.104575497663593
https,1.7267200051895677
long,1.7438144385488676
someone,1.7524725012919824
nothing,3.138766862411873
d,3.3619104137260827
saw,3.138766862411873
times,2.454353361820682
start,1.7789057583601378
read,1.7789057583601378
seen,3.3883436707942383
another,3.165200119480029
thank,1.7878744283428982
use,1.796924263862816
went,3.876365805542652
talk,2.508420583090958
3,1.824575795193326
still,2.5177229757532715
free,2.923188083861436
place,2.923188083861436
while,3.7798756845984784
forum,1.843444279497709
_,1.85301373051386
try,3.4624516429479604
negro,3.654435110653652
site,2.555822821985542
eyes,3.80858579048091
found,4.069656393707181
person,3.4818697288050617
bad,1.892234443667141
work,2.595431960080588
friends,3.3193507993072866
heard,3.552965650488792
again,2.636674918614637
please,1.943527738054692
anti,2.636674918614637
town,2.636674918614637
such,1.9541098473852283
group,1.9541098473852283
women,3.063417425170086
jew,3.574243048936077
tv,2.6687632331661373
give,3.372839484258273
god,1.9865451231383824
actually,2.679692303698328
guy,3.607032871759068
feel,2.6907421398849127
name,4.088209801602928
next,3.6182061723571928
city,2.0087682599230927
house,3.811827284405081
ca,3.1186801038451355
schools,2.020067815177026
part,2.0314965110006487
girl,4.670553840615908
love,3.640934423434749
must,2.73620451396167
family,3.652495245835825
5,2.73620451396167
thanks,2.054753373164916
better,2.747900553724861
hair,3.664191285599016
nationalist,2.054753373164916
else,2.0665878308119185
brown,2.0665878308119185
away,3.4528821919318093
big,2.759735011371864
may,3.177176310526744
far,3.177176310526744
high,2.0785640218586345
trying,3.189297671059089
tell,2.0906853823909795
lot,2.783832562950925
american,2.0906853823909795
thought,3.4892498361026845
today,2.1029554749827937
racist,2.1029554749827937
once,2.1029554749827937
life,3.501672356101241
woman,4.680327352442888
story,3.724815907415451
days,3.724815907415451
money,2.1153779949813507
used,3.9071374642094057
together,2.8211039577481563
looks,3.226569065856321
came,3.526990164085531
left,2.846746388361494
week,3.2522114964696582
hell,3.539893568921439
crime,2.1666712893689013
probably,2.873063696678867
4,2.1799165161189222
meet,2.1799165161189222
check,2.873063696678867
0,2.1799165161189222
enough,2.1933395364510626
pm,2.1933395364510626
best,2.1933395364510626
help,3.2919518251191726
men,2.2069451885068414
police,4.286386730186678
believe,2.220738510639177
guess,2.220738510639177
europe,2.234724752613917
different,2.234724752613917
until,2.942056568165819
etc,2.942056568165819
half,2.9564453056179185
link,2.277896924479126
soon,2.971044105039071
says,3.3765092131472354
u,2.277896924479126
jewish,2.277896924479126
fight,2.292712010264266
least,2.292712010264266
hear,3.902149922698367
child,4.084471479492321
problem,2.292712010264266
college,2.3077498876288067
called,3.000897068188752
small,3.0161645403195405
88,2.323017359759595
hard,2.323017359759595
themselves,2.323017359759595
yet,3.0161645403195405
told,4.736416819093931
coming,2.3385215462955604
doing,3.047417083823645
skin,3.74056426438359
color,3.047417083823645
death,3.9637078156978
support,2.3702702446101407
stupid,3.979708157044241
makes,3.0796779460418664
done,3.485143054150031
6,3.0796779460418664
beautiful,3.772825126601812
10,3.485143054150031
getting,3.0796779460418664
attack,3.0796779460418664
kid,3.485143054150031
point,3.1130143663094585
girls,3.5184794744176227
message,2.419867185749513
parents,3.535573907776923
history,3.130108799668758
front,3.823255980228704
night,3.535573907776923
media,2.454353361820682
care,3.1475005423806275
end,2.454353361820682
both,3.552965650488792
young,3.858347300039974
german,3.165200119480029
asian,2.472052938920083
whole,2.472052938920083
fact,3.5706652275881927
seems,2.4900714444227616
move,2.4900714444227616
london,2.4900714444227616
v,3.1832186249827066
wait,3.1832186249827066
countries,2.4900714444227616
without,2.4900714444227616
yeah,2.508420583090958
weeks,3.2015677636509032
cause,2.508420583090958
call,2.508420583090958
under,2.508420583090958
000,2.508420583090958
light,2.5271127161031104
reason,3.220259896663056
kind,3.220259896663056
join,2.5271127161031104
future,2.5271127161031104
boy,2.5271127161031104
guys,2.5271127161031104
america,2.5271127161031104
open,3.220259896663056
teacher,3.220259896663056
others,3.23930809163375
racial,3.644773199741915
stuff,3.23930809163375
blood,2.546160911073805
goes,3.258726177490852
proud,2.565578996930906
mother,4.51148914598622
european,3.664191285599016
almost,2.565578996930906
community,3.258726177490852
blue,3.258726177490852
remember,3.971675985346977
sorry,4.1948195366611865
speak,2.5853816242270864
learn,2.5853816242270864
everything,2.5853816242270864
picture,2.5853816242270864
lots,2.5853816242270864
html,2.5853816242270864
videos,2.605584331544606
students,2.605584331544606
food,2.605584331544606
friend,3.724815907415451
cant,2.6262036187473417
wrong,2.6262036187473417
pride,2.6262036187473417
job,2.647257027945174
county,3.340404208505119
gets,2.647257027945174
leave,3.340404208505119
st,3.340404208505119
happy,2.647257027945174
ones,2.647257027945174
line,3.3619104137260827
behind,4.278201145600238
gun,2.6687632331661373
along,3.3619104137260827
shows,2.6687632331661373
class,3.3619104137260827
face,3.3619104137260827
brothers,2.6687632331661373
9,2.6907421398849127
pictures,2.6907421398849127
