word,npmi-bias,him-npmi,him-count,man-npmi,man-count
man,-0.3663879117401617,0.3223998515083316,8,0.6887877632484933,122
woman,-0.22497256298868382,0.1695829205174291,1,0.3945554835061129,11
youtube,-0.20114047080318542,0.1137997681646556,2,0.314940238967841,13
been,-0.19931974770516303,0.0966227136103723,1,0.2959424613155353,8
m,-0.17982153469954407,0.1385443094307083,2,0.3183658441302524,11
am,-0.15029475581770957,0.1201737720433838,1,0.2704685278610934,5
every,-0.1502361319248484,0.1210938016496663,1,0.2713299335745147,5
another,-0.1481693822577352,0.151483321581016,1,0.2996527038387512,5
men,-0.14644673646544912,0.1743756369789151,1,0.3208223734443642,5
more,-0.1350151739316738,0.1626607499389189,3,0.2976759238705927,10
black,-0.1339429447046116,0.2567999014870634,8,0.390742846191675,22
http,-0.1298110389213046,0.1071640257403024,1,0.236975064661607,4
re,-0.1289148890733925,0.1245779700802191,1,0.2534928591536116,4
two,-0.1281616296158183,0.1382349766352128,1,0.2663966062510311,4
brown,-0.12643068339841793,0.1670064019505885,1,0.2934370853490064,4
murder,-0.12405218720146302,0.2021736636650511,1,0.3262258508665141,4
charged,-0.12263074646077418,0.2214018483365587,1,0.3440325947973329,4
bus,-0.1223694412055604,0.2248164958641349,1,0.3471859370696953,4
white,-0.12037617674281542,0.3024393613720301,22,0.4228155381148455,44
friday,-0.12017676204101396,0.2522110832706662,1,0.3723878453116802,4
accused,-0.11898238741924405,0.2663042096598264,1,0.3852865970790704,4
young,-0.1090868465018803,0.2412838516826669,2,0.3503706981845472,6
whites,-0.10406989798178631,0.0885876115387064,1,0.1926575095204927,3
than,-0.10341609285035298,0.1069119607676887,1,0.2103280536180417,3
eyes,-0.1013465830687238,0.156062857334212,1,0.2574094404029358,3
meet,-0.10052939625358809,0.1729666944645749,1,0.273496090718163,3
hey,-0.1004943842916565,0.1736670061958214,1,0.2741613904874779,3
there,-0.10022150450045711,0.1724211451078306,5,0.2726426496082877,11
stupid,-0.10002998489265519,0.1827882896283735,1,0.2828182745210287,3
6,-0.09998704873088038,0.1836164726598154,1,0.2836035213906958,3
true,-0.09971271440219531,0.1888508978078608,1,0.2885636122100561,3
cause,-0.09966393581265356,0.1897715316462358,1,0.2894354674588894,3
sorry,-0.0994588438893626,0.1936102521370312,1,0.2930690960263938,3
30,-0.09911650512078407,0.1999066614978504,1,0.2990231666186345,3
rest,-0.0989265645975761,0.2033429362266468,1,0.3022695008242229,3
force,-0.09808038582099912,0.2181957363774679,1,0.316276122198467,3
beat,-0.09798804479982942,0.2197744408685104,1,0.3177624856683398,3
within,-0.09789237305047757,0.2214018483365587,1,0.3192942213870363,3
mail,-0.09769004386751509,0.2248164958641349,1,0.32250653973165,3
fun,-0.09735455031495469,0.2304003126663697,1,0.3277548629813244,3
gang,-0.0966814701581997,0.2413264334907196,1,0.3380079036489193,3
beaten,-0.09652416939407502,0.2438297615194369,1,0.3403539309135119,3
way,-0.0958689378556131,0.1691292544834133,2,0.2649981923390264,5
wiggers,-0.09578472750667671,0.2553613880073394,1,0.3511461155140161,3
dating,-0.09506055689335813,0.2663042096598264,1,0.3613647665531845,3
year,-0.09458834151644158,0.2045727456292547,3,0.2991610871456963,7
caught,-0.09008611403346689,0.2723034740636727,2,0.3623895880971396,5
an,-0.08009031931056401,0.2317170440227769,6,0.3118073633333409,11
police,-0.0763045442508401,0.2617455264941375,3,0.3380500707449776,6
has,-0.07534087418216179,0.2242031001817263,5,0.2995439743638881,9
last,-0.07415385937373001,0.1828144960509097,2,0.2569683554246397,4
non,-0.073895808032658,0.1895581286728637,2,0.2634539367055217,4
1,-0.07371428345628642,0.194207130084023,2,0.2679214135403094,4
night,-0.07178901794857409,0.2395552664325908,2,0.3113442843811649,4
shot,-0.0707137166511152,0.262394685500368,2,0.3331084021514832,4
www,-0.06992643930353332,0.2018450452465826,4,0.2717714845501159,7
old,-0.06888608425119588,0.2274732232698586,4,0.2963593075210545,7
us,-0.06807361634727421,0.1061611260340441,1,0.1742347423813183,2
many,-0.06795647617902091,0.1110577222319198,1,0.1790141984109407,2
country,-0.06753060970974561,0.1279093359927187,1,0.1954399457024643,2
live,-0.067521591845843,0.1282517467031396,1,0.1957733385489826,2
world,-0.06736846922267448,0.1339840866625283,1,0.2013525558852028,2
https,-0.06695952958195048,0.1486052182409655,1,0.215564747822916,2
seen,-0.0668759257623189,0.151483321581016,1,0.2183592473433349,2
city,-0.0665025611188304,0.1639322803392204,1,0.2304348414580508,2
ca,-0.06648400604736521,0.1645348318983235,1,0.2310188379456887,2
hard,-0.0659803325895982,0.1803720347855271,1,0.2463523673751253,2
london,-0.06569804351148029,0.1888508978078608,1,0.2545489413193411,2
goes,-0.06556952818668568,0.1926260016676364,1,0.2581955298543221,2
already,-0.06550122270105671,0.1946119178981561,1,0.2601131405992128,2
20,-0.06546596095462803,0.1956316753021441,1,0.2610976362567721,2
march,-0.06523672818010959,0.2021736636650511,1,0.2674103918451607,2
month,-0.06501783922369891,0.2082858089721149,1,0.2733036481958138,2
case,-0.0649703717263429,0.2095947365464051,1,0.274565108272748,2
kill,-0.06492151378548092,0.2109360351157493,1,0.2758575489012302,2
o,-0.0648711847230519,0.2123114733877132,1,0.2771826581107651,2
alot,-0.06453276686199791,0.2214018483365587,1,0.2859346151985566,2
telling,-0.06433428988962622,0.2266115631967702,1,0.2909458530863964,2
grow,-0.0642626475251494,0.2284711101463647,1,0.2927337576715141,2
hitler,-0.06402780961317267,0.2344918305773595,1,0.2985196401905322,2
hall,-0.06271412085769712,0.2663042096598264,1,0.3290183305175235,2
walked,-0.06271412085769712,0.2663042096598264,1,0.3290183305175235,2
stood,-0.06252698428644532,0.2706086587789285,1,0.3331356430653738,2
boyfriend,-0.06231777410505707,0.2753612228189775,1,0.3376789969240346,2
officers,-0.06231777410505707,0.2753612228189775,1,0.3376789969240346,2
never,-0.06114072638577428,0.2068096930983887,3,0.267950419484163,5
rob,-0.06108911402237727,0.3021214586608924,1,0.3632105726832697,2
like,-0.060674875813402696,0.2867819943902773,15,0.34745687020368,21
fugitive,-0.060581877684641794,0.3126563396819113,1,0.3732382173665531,2
bautista,-0.060581877684641794,0.3126563396819113,1,0.3732382173665531,2
gunfire,-0.05987117376433071,0.326975622735601,1,0.3868467964999317,2
in,-0.05899589286773793,0.3113532887371724,36,0.3703491816049103,45
me,-0.05862783335640931,0.2123035189495584,6,0.2709313523059677,9
here,-0.0547269453872804,0.1826600502209034,4,0.2373869956081838,6
this,-0.054353202829028,0.2590682578196043,16,0.3134214606486323,21
day,-0.053337051625804904,0.2279958913121705,4,0.2813329429379754,6
