word,npmi-bias,him-npmi,him-count,straight-npmi,straight-count
straight,-0.5103816397743912,0.2344918305773595,1,0.7448734703517508,21
eyes,-0.2400527594906629,0.156062857334212,1,0.3961156168248749,2
left,-0.23781630159886158,0.1715902054386163,1,0.4094065070374779,2
either,-0.23366182473370078,0.198806898300194,1,0.4324687230338948,2
them,-0.210757313394974,0.1402851172824357,3,0.3510424306774097,3
more,-0.20815917180853297,0.1626607499389189,3,0.3708199217474519,3
there,-0.2018726963971594,0.1724211451078306,5,0.37429384150499,4
nothing,-0.18673432367126852,0.2041890814637321,2,0.3909234051350006,2
point,-0.1823580160431541,0.2387103448369428,2,0.4210683608800969,2
into,-0.17667226580652348,0.2328912250798966,4,0.4095634908864201,3
ran,-0.17350738555304124,0.3009359335882614,2,0.4744433191413026,2
us,-0.173051013049411,0.1061611260340441,1,0.2792121390834551,1
than,-0.17299578950780087,0.1069119607676887,1,0.2799077502754896,1
world,-0.170888841887547,0.1339840866625283,1,0.3048729285500753,1
two,-0.1705376445623024,0.1382349766352128,1,0.3087726211975152,1
thing,-0.1703335173883333,0.1406756683673469,1,0.3110091857556802,1
https,-0.1696578549106646,0.1486052182409655,1,0.3182630731516301,1
seen,-0.16940790848304468,0.151483321581016,1,0.3208912300640607,1
ca,-0.168243114218897,0.1645348318983235,1,0.3327779461172205,1
5,-0.1681313193048229,0.1657580764486699,1,0.3338893957534928,1
trying,-0.1678993320594788,0.1682809443703697,1,0.3361802764298485,1
woman,-0.1677788644140091,0.1695829205174291,1,0.3373617849314382,1
half,-0.16705463000802628,0.1772978022154399,1,0.3443524322234662,1
getting,-0.1664482397743332,0.1836164726598154,1,0.3500647124341486,1
wait,-0.16593691165455648,0.1888508978078608,1,0.3547878094624173,1
run,-0.16593691165455648,0.1888508978078608,1,0.3547878094624173,1
open,-0.1657536222181346,0.1907072283148148,1,0.3564608505329494,1
local,-0.1649419483645056,0.198806898300194,1,0.3637488466646996,1
pass,-0.164598862324722,0.2021736636650511,1,0.3667725259897731,1
green,-0.1636903034661142,0.2109360351157493,1,0.3746263385818635,1
force,-0.1629204917182784,0.2181957363774679,1,0.3811162280957463,1
their,-0.16278508321367333,0.1274082602174431,3,0.2901933434311164,2
security,-0.1620088105564013,0.2266115631967702,1,0.3886203737531715,1
add,-0.1620088105564013,0.2266115631967702,1,0.3886203737531715,1
forward,-0.1613692244596961,0.2324050111406903,1,0.3937742356003864,1
floor,-0.15910925789728309,0.2522110832706662,1,0.4113203411679493,1
tall,-0.15910925789728309,0.2522110832706662,1,0.4113203411679493,1
blonde,-0.15834019061381382,0.2587342944276961,1,0.4170744850415099,1
bag,-0.15834019061381382,0.2587342944276961,1,0.4170744850415099,1
negroid,-0.157432438534771,0.2663042096598264,1,0.4237366481945974,1
positive,-0.1549037745117422,0.2867129454680772,1,0.4416167199798194,1
fell,-0.15400775284324758,0.2937249036291447,1,0.4477326564723923,1
saw,-0.1526201778415789,0.2383032272934217,3,0.3909234051350006,2
people,-0.1525438457165999,0.2327213268216019,8,0.3852651725382018,4
person,-0.1519367121733964,0.2446343038436076,3,0.396571016017004,2
sexuality,-0.1495710501622895,0.326975622735601,1,0.4765466728978905,1
sicilian,-0.1463015993122368,0.3501203596120513,1,0.4964219589242881,1
