word,npmi-bias,him-npmi,him-count,their-npmi,their-count
their,-0.4959637586089972,0.1274082602174431,3,0.6233720188264403,599
them,-0.1936119215305196,0.1402851172824357,3,0.3338970388129553,84
whites,-0.19350923452977062,0.0885876115387064,1,0.282096846068477,39
children,-0.1752926470407409,0.144959639290806,1,0.3202522863315469,34
those,-0.1548581689448674,0.1074169956695065,1,0.2622751646143739,27
are,-0.15212123350254703,0.1923335595234686,10,0.3444547930260156,146
own,-0.1511696227793471,0.2172493143846898,3,0.3684189371640369,62
many,-0.15096178321228632,0.1110577222319198,1,0.2620195054442061,26
they,-0.1417213150893727,0.2520456130388453,16,0.393766928128218,198
parents,-0.1387858436447582,0.1861743809540315,1,0.3249602245987897,24
country,-0.13827291561902888,0.1279093359927187,1,0.2661822516117476,23
were,-0.13092163697768538,0.098163922986449,1,0.2290855599641344,21
every,-0.12540478069936,0.1210938016496663,1,0.2464985823490263,20
been,-0.1215143151686542,0.0966227136103723,1,0.2181370287790265,19
than,-0.12115970057711199,0.1069119607676887,1,0.2280716613448007,19
kids,-0.11967077825612979,0.1699605316686892,2,0.289631309924819,33
us,-0.1161550727749095,0.1061611260340441,1,0.2223161988089536,18
only,-0.10386208329622848,0.1545253284405032,2,0.2583874117367317,28
these,-0.1038096610030991,0.1558794403425057,2,0.2596891013456048,28
re,-0.0928341285718506,0.1245779700802191,1,0.2174120986520697,14
also,-0.09281639495818311,0.1252311838145944,1,0.2180475787727775,14
thing,-0.0923727396215922,0.1406756683673469,1,0.2330484079889391,14
people,-0.08099318052775778,0.2327213268216019,8,0.3137145073493597,73
even,-0.07542122211208091,0.2062434900294457,3,0.2816647121415266,30
most,-0.07509865392274259,0.1828144960509097,2,0.2579131499736523,21
http,-0.07214138218011731,0.1071640257403024,1,0.1793054079204197,11
way,-0.07088809704139842,0.1691292544834133,2,0.2400173515248117,20
liberal,-0.06989572630014881,0.2045375326424109,1,0.2744332589425597,11
more,-0.0697077394924065,0.1626607499389189,3,0.2323684894313254,28
take,-0.0656012773992442,0.1899330561968225,2,0.2555343335960667,19
am,-0.0638168368165574,0.1201737720433838,1,0.1839906088599412,10
world,-0.06360436856798049,0.1339840866625283,1,0.1975884552305088,10
trying,-0.06296141327463312,0.1682809443703697,1,0.2312423576450028,10
money,-0.0629337776505475,0.1695829205174291,1,0.2325166981679766,10
two,-0.0547574340557537,0.1382349766352128,1,0.1929924106909665,9
seen,-0.054569198898185706,0.151483321581016,1,0.2060525204792017,9
there,-0.054538749454102586,0.1724211451078306,5,0.2269598945619332,38
eyes,-0.0544991365362866,0.156062857334212,1,0.2105619938704986,9
