word,npmi-bias,him-npmi,him-count,they-npmi,they-count
they,-0.3337396990212571,0.2520456130388453,16,0.5857853120601024,1163
their,-0.215677196528009,0.1274082602174431,3,0.3430854567454521,198
were,-0.191236128064026,0.098163922986449,1,0.289400051050475,77
are,-0.187456423545383,0.1923335595234686,10,0.3797899830688516,369
re,-0.18531846749165942,0.1245779700802191,1,0.3098964375718785,74
them,-0.17637031194571778,0.1402851172824357,3,0.3166554292281535,146
whites,-0.1708721543775583,0.0885876115387064,1,0.2594597659162647,63
us,-0.146895066793573,0.1061611260340441,1,0.2530561928276171,50
than,-0.1344566645555701,0.1069119607676887,1,0.2413686253232588,44
those,-0.12998542453250872,0.1074169956695065,1,0.2374024202020152,42
been,-0.11572717582393001,0.0966227136103723,1,0.2123498894343023,36
every,-0.1124640158257221,0.1210938016496663,1,0.2335578174753884,35
many,-0.0986308645837519,0.1110577222319198,1,0.2096885868156717,30
only,-0.094102680024335,0.1545253284405032,2,0.2486280084648382,51
these,-0.08811483104933801,0.1558794403425057,2,0.2439942713918437,48
kids,-0.08775644265892371,0.1699605316686892,2,0.2577169743276129,48
do,-0.08614289674613099,0.2314193796318925,9,0.3175622763780235,168
more,-0.08276768364994419,0.1626607499389189,3,0.2454284335888631,64
want,-0.07200803045958667,0.1943685727792139,3,0.2663766032388006,58
country,-0.071026062222867,0.1279093359927187,1,0.1989353982155857,22
thing,-0.07085910356216948,0.1406756683673469,1,0.2115347719295164,22
will,-0.06952346151762412,0.2139581321178905,7,0.2834815936355146,118
ever,-0.06693894210303031,0.137441303610992,1,0.2043802457140223,21
children,-0.0668446463819165,0.144959639290806,1,0.2118042856727225,21
because,-0.059616154071605004,0.2414569529406864,5,0.3010731070122914,81
t,-0.05912193737439059,0.2299151775094846,9,0.2890371148838752,135
n,-0.0590603846481535,0.233224920540254,9,0.2922853051884075,135
also,-0.0585881831890577,0.1252311838145944,1,0.1838193670036521,19
long,-0.05838302988687291,0.1495501435169778,1,0.2079331734038507,19
there,-0.055221819884146484,0.1724211451078306,5,0.2276429649919771,77
way,-0.05518678248639872,0.1691292544834133,2,0.224316036969812,34
irish,-0.05385984382505701,0.1534775600421959,1,0.2073374038672529,18
government,-0.05361937261411279,0.1765536466798592,1,0.230173019293972,18
our,-0.0532342262271433,0.1865373109093207,4,0.239771537136464,62
much,-0.049508128622965386,0.1831527220635978,2,0.2326608506865632,32
two,-0.04924707822624319,0.1382349766352128,1,0.187482054861456,17
anything,-0.04919230065023,0.1481379701536512,1,0.1973302708038812,17
left,-0.049012659332622804,0.1715902054386163,1,0.2206028647712391,17
no,-0.047665502046814884,0.2074761707059429,5,0.2551416727527578,72
have,-0.046854440719768076,0.2789941667429293,20,0.3258486074626974,252
live,-0.04429344982205019,0.1282517467031396,1,0.1725451965251898,16
world,-0.044281076943354786,0.1339840866625283,1,0.1782651636058831,16
funny,-0.04382503992298331,0.2033429362266468,1,0.2471679761496301,16
any,-0.043820081904699715,0.1584311033276715,2,0.2022511852323712,30
take,-0.043637426722825196,0.1899330561968225,2,0.2335704829196477,30
people,-0.04300314505408287,0.2327213268216019,8,0.2757244718756848,106
what,-0.04237057983407841,0.2243939958504739,6,0.2667645756845523,81
group,-0.038964307279618804,0.1610052936256767,1,0.1999696009052955,15
least,-0.03888519187265288,0.1788148497826529,1,0.2177000416553058,15
think,-0.038324703874901306,0.2345877534884612,5,0.2729124573633625,66
all,-0.03399146162332811,0.2618808648686465,13,0.2958723264919746,154
ca,-0.0334432895333093,0.1645348318983235,1,0.1979781214316328,14
trying,-0.03343673605229991,0.1682809443703697,1,0.2017176804226696,14
today,-0.03343546719843138,0.1689284238086642,1,0.2023638910070956,14
money,-0.033434143820154916,0.1695829205174291,1,0.203017064337584,14
through,-0.0334313267565694,0.1709136359926697,1,0.2043449627492391,14
am,-0.03341852033799632,0.1201737720433838,1,0.1535922923813801,14
until,-0.03341750691163789,0.1765536466798592,1,0.2099711535914971,14
each,-0.033411112176435775,0.1788148497826529,1,0.2122259619590887,14
started,-0.0333279510513316,0.1999066614978504,1,0.233234612549182,14
come,-0.02834304670082874,0.2304848125420995,3,0.2588278592429282,37
men,-0.027586654985660708,0.1743756369789151,1,0.2019622919645758,13
stupid,-0.027583539000741286,0.1827882896283735,1,0.2103718286291148,13
actually,-0.027581206499312505,0.1627446869052752,1,0.1903258934045877,13
turn,-0.027565463097623977,0.1966702417957716,1,0.2242357048933956,13
another,-0.027565127925515798,0.151483321581016,1,0.1790484495065318,13
im,-0.0275408482960246,0.1410915116975153,1,0.1686323599935399,13
can,-0.025708914164814828,0.24468746548148,8,0.2703963796462948,91
that,-0.0233078284702935,0.2892306071997221,25,0.3125384356700156,263
own,-0.023253131770546803,0.2172493143846898,3,0.2405024461552366,35
be,-0.02247871805966506,0.2884561914744113,16,0.3109349095340764,171
act,-0.021388321328637383,0.2214018483365587,1,0.2427901696651961,12
media,-0.021372613361223702,0.1870527961926258,1,0.2084254095538495,12
might,-0.021366452710803202,0.1836164726598154,1,0.2049829253706186,12
coming,-0.0213615497659759,0.1811664077667871,1,0.202527957532763,12
stop,-0.021330693413033175,0.1689284238086642,1,0.1902591172216974,12
friends,-0.021301024355576875,0.1598723978269654,1,0.1811734221825423,12
http,-0.021012642729383607,0.1071640257403024,1,0.128176668469686,12
non,-0.020310617155948396,0.1895581286728637,2,0.2098687458288121,23
years,-0.0202365472767429,0.1705203699199446,2,0.1907569171966875,23
well,-0.01779133702383609,0.1970277971799087,3,0.2148191342037448,33
better,-0.016612898539523913,0.2202047568328548,2,0.2368176553723787,22
ve,-0.016422040998181398,0.1760816314024591,2,0.1925036724006405,22
