word,npmi-bias,himself-npmi,himself-count,his-npmi,his-count
his,-0.33244543264679777,0.3420226729240841,1,0.6744681055708819,199
on,-0.11295499000243911,0.2219475752335968,1,0.3349025652360359,42
and,-0.07225804858869572,0.3279399215096387,4,0.4001979700983344,104
white,-0.0713570623075496,0.2321591817360644,1,0.303516244043614,31
s,-0.038667765085724115,0.2335287865742856,1,0.2721965516600097,24
he,-0.03469916818948926,0.3963642610234274,2,0.4310634292129167,45
have,-0.03346868744528336,0.2209419484581273,1,0.2544106359034107,23
is,-0.026895013901766907,0.2726847912611772,2,0.2995798051629441,42
if,0.002388345661007929,0.2684059093425819,1,0.266017563681574,17
with,0.00595879815321243,0.3311783886637134,2,0.325219590510501,33
him,0.008088607408300252,0.4366755076356669,2,0.4285869002273667,32
up,0.008913859417490289,0.2912248940604061,1,0.2823110346429158,16
or,0.009276383010827893,0.2684059093425819,1,0.259129526331754,16
t,0.009312130337580882,0.2661717946213722,1,0.2568596642837913,16
you,0.010298916215252002,0.205580727883141,1,0.195281811667889,16
the,0.0230592197823839,0.3905958054933838,7,0.3675365857109999,107
out,0.02390916921209657,0.2798260792023133,1,0.2559169099902167,14
n,0.02416338971699389,0.2693702698528619,1,0.245206880135868,14
my,0.024597304482664062,0.2512675258103578,1,0.2266702213276937,14
to,0.024889678986626695,0.3916079943314874,6,0.3667183153448607,90
not,0.04117877013508592,0.2618815796826141,1,0.2207028095475282,12
a,0.04509908435832061,0.4042602380713353,6,0.3591611537130147,80
for,0.05142507637799848,0.3554248393656444,3,0.3039997629876459,36
be,0.05655322172630839,0.3431076649113255,2,0.2865544431850171,22
would,0.05920546382510378,0.2922874508343848,1,0.233081987009281,10
of,0.06000572364981921,0.4149799409649638,6,0.3549742173151446,73
they,0.06397666667543708,0.3085494639410857,2,0.2445727972656486,21
negro,0.0651344340250849,0.3788004256195708,1,0.3136659915944859,9
into,0.067115837559376,0.3453077468697635,1,0.2781919093103875,9
all,0.06803702098708958,0.3413723566180032,2,0.2733353356309136,20
from,0.0728393497058254,0.3608659054428824,2,0.288026555737057,19
so,0.07284537406631952,0.3607737233691789,2,0.2879283493028594,19
in,0.0730310891221519,0.4291969586445036,6,0.3561658695223517,67
i,0.0759280708637583,0.3937876639937875,6,0.3178595931300292,67
because,0.07928302720113861,0.333940838198078,1,0.2546578109969394,8
being,0.09056422525090252,0.3554351624630274,1,0.2648709372121249,7
where,0.09140994044812861,0.343770156870354,1,0.2523602164222254,7
these,0.09234992620771187,0.3303530844874243,1,0.2380031582797124,7
it,0.09270923312469803,0.3796146110184662,4,0.2869053778937682,37
know,0.0929854993676493,0.3209855094363343,1,0.228000010068685,7
that,0.0938013935538693,0.4250147084592657,5,0.3312133149053964,47
me,0.09497736015641689,0.2898313752371921,1,0.1948540150807752,7
this,0.0981427806196879,0.3712764294271908,3,0.2731336488075029,25
killed,0.0987201302729066,0.4236210647752854,1,0.3249009345023788,6
after,0.10365191143398211,0.3699204349915832,1,0.2662685235576011,6
said,0.10388003052573247,0.3672434372532052,1,0.2633634067274727,6
home,0.10447136561837223,0.3602105552189666,1,0.2557391896005944,6
even,0.10574802606497496,0.3445342280246553,1,0.2387862019596803,6
day,0.10604345220398678,0.340803473690107,1,0.2347600214861202,6
too,0.10613749091255378,0.3396072995408529,1,0.2334698086282991,6
were,0.10703784435111433,0.3279339202081211,1,0.2208960758570068,6
m,0.10802161934643531,0.314685562484159,1,0.2066639431377237,6
youtube,0.10960129564851859,0.2921686342294594,1,0.1825673385809408,6
there,0.11108848478152092,0.2692821160500044,1,0.1581936312684835,6
are,0.11180043677623122,0.3048127100279323,2,0.1930122732517011,14
get,0.11365584816652824,0.379124438522813,2,0.2654685903562848,13
one,0.1141393532851559,0.3740761974010825,2,0.2599368441159266,13
people,0.1150693026233994,0.36416702995922,2,0.2490977273358206,13
was,0.11520122536504501,0.4666660471195994,5,0.3514648217545544,39
guy,0.1185370449884704,0.3851016879367483,1,0.2665646429482779,5
god,0.11858794281099888,0.3845904272958965,1,0.2660024844848976,5
while,0.119291872435008,0.3774428496519358,1,0.2581509772169278,5
saw,0.11966861018152258,0.3735568716692449,1,0.2538882614877223,5
any,0.12338070009362909,0.3326518904910585,1,0.2092711903974294,5
just,0.13341318149334547,0.3589537136315811,2,0.2255405321382356,11
used,0.1372221351402479,0.3904990235269153,1,0.2532768883866674,4
jew,0.13799686955887988,0.3835820623019155,1,0.2455851927430356,4
bad,0.13837076009844798,0.3801919606975366,1,0.2418212005990886,4
maybe,0.1395628804848885,0.3691428020004901,1,0.2295799215156016,4
than,0.14292587986014188,0.3357003369771204,1,0.1927744571169785,4
by,0.1435600116919878,0.4359243480562185,3,0.2923643363642307,16
www,0.14467694793907218,0.3166658899553392,1,0.171988942016267,4
protect,0.15165960758922842,0.4581012316049836,1,0.3064416240157552,3
ass,0.1532643877177679,0.447571284735025,1,0.2943068970172571,3
arrested,0.1537994148807828,0.4439918399175355,1,0.2901924250367527,3
set,0.15658746211052849,0.4247318541129861,1,0.2681443920024576,3
did,0.1567540139719663,0.430176060255964,2,0.2734220462839977,8
support,0.1597009843791243,0.4018609548850291,1,0.2421599705059048,3
everyone,0.1603166316687996,0.3971446174559424,1,0.2368279857871428,3
story,0.1611688818654436,0.3904990235269153,1,0.2293301416614717,3
more,0.1627301120791263,0.3863960505065221,2,0.2236659384273958,8
forum,0.16273692114034427,0.3778917138589484,1,0.2151547927186041,3
who,0.1666143565668664,0.4330017289130046,3,0.2663873723461382,13
new,0.16822817781543997,0.3289311258979525,1,0.1607029480825125,3
think,0.16837053506913832,0.3275392160315305,1,0.1591686809623922,3
suspect,0.18298459633250058,0.4557740224658173,1,0.2727894261333167,2
way,0.18516732546969783,0.4215089305525874,2,0.2363416050828896,6
but,0.18960214788352833,0.3991900301082231,3,0.2095878822246948,11
lol,0.1919539207421181,0.4004688922664861,1,0.208514971524368,2
couple,0.1923487934398819,0.3977926477519722,1,0.2054438543120903,2
police,0.1928108334827977,0.3946300137447628,1,0.2018191802619651,2
trying,0.1935675164539444,0.3893753639885989,1,0.1958078475346545,2
org,0.19498563358591417,0.3792604058314157,1,0.1842747722455015,2
something,0.1965555480524453,0.3676183468050116,1,0.1710627987525663,2
find,0.19868065077910613,0.3510104423708422,1,0.1523297915917361,2
friend,0.20859633155542012,0.4868381071024025,2,0.2782417755469824,4
cheering,0.21253291641421063,0.5405416191615336,1,0.328008702747323,1
overdosed,0.21253291641421063,0.5405416191615336,1,0.328008702747323,1
chatroom,0.21253291641421063,0.5405416191615336,1,0.328008702747323,1
digital,0.21738990801249286,0.5219256320123388,1,0.3045357239998459,1
shoots,0.22400283663917298,0.4948704473088791,1,0.2708676106697061,1
devil,0.22647927786924898,0.4841504660179657,1,0.2576711881487167,1
reminds,0.22746824272040828,0.4797689778904557,1,0.2523007351700474,1
allen,0.22746824272040828,0.4797689778904557,1,0.2523007351700474,1
camera,0.2291279378293439,0.4722785906164142,1,0.2431506527870703,1
morning,0.2357035787740073,0.440683318492337,1,0.2049797397183297,1
moment,0.2357035787740073,0.440683318492337,1,0.2049797397183297,1
third,0.23601178881638268,0.4391174948061793,1,0.2031057059897966,1
mail,0.2363079695668553,0.4376048117284454,1,0.2012968421615901,1
wish,0.23897328641056528,0.4236210647752854,1,0.1846477783647201,1
nordic,0.2391746847662141,0.4225357727084399,1,0.1833610879422258,1
either,0.24045074631194613,0.4155587891066234,1,0.1751080427946773,1
e,0.2406164924821456,0.4146394211534098,1,0.1740229286712642,1
reason,0.2416836724914261,0.408644140585384,1,0.1669604680939579,1
having,0.2416836724914261,0.408644140585384,1,0.1669604680939579,1
