word,npmi-bias,himself-npmi,himself-count,she-npmi,she-count
is,-0.0888549978049683,0.2726847912611772,2,0.3615397890661455,57
my,-0.055693848876630536,0.2512675258103578,1,0.3069613746869883,25
white,-0.04490415085195229,0.2321591817360644,1,0.2770633325880167,23
and,-0.04393821088917271,0.3279399215096387,4,0.3718781323988114,80
s,-0.03923786655827349,0.2335287865742856,1,0.2727666531325591,22
on,-0.03909349804363113,0.2219475752335968,1,0.2610410732772279,22
n,-0.03378139085498222,0.2693702698528619,1,0.3031516607078441,21
if,-0.027786439208611402,0.2684059093425819,1,0.2961923485511933,20
t,-0.02775638739782199,0.2661717946213722,1,0.2939281820191942,20
out,-0.021741683242840926,0.2798260792023133,1,0.3015677624451542,19
not,-0.014902934173549598,0.2618815796826141,1,0.2767845138561637,18
or,0.006419771236372718,0.2684059093425819,1,0.2619861381062092,15
because,0.028584719410411796,0.333940838198078,1,0.3053561187876662,12
you,0.03480962782599831,0.205580727883141,1,0.1707711000571427,12
a,0.05010439747708434,0.4042602380713353,6,0.354155840594251,70
would,0.050267449646645285,0.2922874508343848,1,0.2420200011877395,10
me,0.050413087743045204,0.2898313752371921,1,0.2394182874941469,10
from,0.05542284154603888,0.3608659054428824,2,0.3054430638968435,20
think,0.05903033423938581,0.3275392160315305,1,0.2685088817921447,9
the,0.06370787486369228,0.3905958054933838,7,0.3268879306296915,78
where,0.069748772431311,0.343770156870354,1,0.274021384439043,8
i,0.07788025486133471,0.3937876639937875,6,0.3159074091324528,60
said,0.08087810772626769,0.3672434372532052,1,0.2863653295269375,7
to,0.08098746976854343,0.3916079943314874,6,0.310620524562944,59
just,0.08213369344782895,0.3589537136315811,2,0.2768200201837521,16
too,0.08323774165572201,0.3396072995408529,1,0.2563695578851309,7
was,0.08341805152316539,0.4666660471195994,5,0.383247995596434,44
with,0.0846465273297039,0.3311783886637134,2,0.2465318613340095,16
there,0.0888179242159981,0.2692821160500044,1,0.1804641918340063,7
for,0.0932297211604054,0.3554248393656444,3,0.262195118205239,24
something,0.09546121068299529,0.3676183468050116,1,0.2721571361220163,6
so,0.09733599203579302,0.3607737233691789,2,0.2634377313333859,14
but,0.09957625691866895,0.3991900301082231,3,0.2996137731895542,22
know,0.09979927999546562,0.3209855094363343,1,0.2211862294408687,6
up,0.10238399939494389,0.2912248940604061,1,0.1888408946654622,6
this,0.10277134558011453,0.3712764294271908,3,0.2685050838470763,22
get,0.1037114735329343,0.379124438522813,2,0.2754129649898787,13
have,0.10792580880810701,0.2209419484581273,1,0.1130161396500203,6
it,0.10902899417427414,0.3796146110184662,4,0.2705856168441921,30
used,0.1098139388204471,0.3904990235269153,1,0.2806850847064682,5
while,0.11126029406232402,0.3774428496519358,1,0.2661825555896118,5
in,0.11324978579764589,0.4291969586445036,6,0.3159471728468577,47
day,0.1151288244224479,0.340803473690107,1,0.2256746492676591,5
were,0.11642142255039933,0.3279339202081211,1,0.2115124976577218,5
be,0.1165825300230407,0.3431076649113255,2,0.2265251348882848,12
m,0.11771631703618021,0.314685562484159,1,0.1969692454479788,5
