word,npmi-bias,himself-npmi,himself-count,straight-npmi,straight-count
straight,-0.299128759918318,0.4457447104334328,1,0.7448734703517508,21
you,-0.10873953870924621,0.205580727883141,1,0.3143202665923872,4
on,-0.10787290454174389,0.2219475752335968,1,0.3298204797753407,4
white,-0.10730011116366892,0.2321591817360644,1,0.3394592928997333,4
there,-0.1050117254549856,0.2692821160500044,1,0.37429384150499,4
and,-0.1013698397312125,0.3279399215096387,4,0.4293097612408512,12
s,-0.06875289531897077,0.2335287865742856,1,0.3022816818932564,3
out,-0.06713307275634911,0.2798260792023133,1,0.3469591519586624,3
into,-0.06425574401665657,0.3453077468697635,1,0.4095634908864201,3
the,-0.061889974572386486,0.3905958054933838,7,0.4524857800657703,16
is,-0.054355475345324034,0.2726847912611772,2,0.3270402666065012,5
with,-0.05256083838356518,0.3311783886637134,2,0.3837392270472786,5
all,-0.021332979130336716,0.3413723566180032,2,0.3627053357483399,4
people,-0.021098142578981793,0.36416702995922,2,0.3852651725382018,4
have,-0.018149299532656676,0.2209419484581273,1,0.239091247990784,2
my,-0.018103708413044317,0.2512675258103578,1,0.2693712342234021,2
t,-0.018061251310891424,0.2661717946213722,1,0.2842330459322636,2
if,-0.018053749873296276,0.2684059093425819,1,0.2864596592158782,2
or,-0.018053749873296276,0.2684059093425819,1,0.2864596592158782,2
n,-0.018050420299046188,0.2693702698528619,1,0.2874206901519081,2
me,-0.017966771475704912,0.2898313752371921,1,0.307798146712897,2
up,-0.017960171714811624,0.2912248940604061,1,0.3091850657752177,2
saw,-0.01736653346575573,0.3735568716692449,1,0.3909234051350006,2
god,-0.017256620694526936,0.3845904272958965,1,0.4018470479904234,2
either,-0.01690993392727136,0.4155587891066234,1,0.4324687230338948,2
it,-0.004624601665104366,0.3796146110184662,4,0.3842392126835706,7
more,0.015576128759070218,0.3863960505065221,2,0.3708199217474519,3
just,0.016142500144814498,0.3589537136315811,2,0.3428112134867666,3
a,0.022424141661884445,0.4042602380713353,6,0.3818360964094509,9
for,0.035071475256540585,0.3554248393656444,3,0.3203533641091038,4
devoid,0.04411966023724556,0.5405416191615336,1,0.4964219589242881,1
meaningless,0.04537895911444828,0.5219256320123388,1,0.4765466728978905,1
divine,0.04537895911444828,0.5219256320123388,1,0.4765466728978905,1
ass,0.050010617021316595,0.447571284735025,1,0.3975606677137084,1
reason,0.052183290052434605,0.408644140585384,1,0.3564608505329494,1
trying,0.05319508755875041,0.3893753639885989,1,0.3361802764298485,1
guy,0.05341380374610871,0.3851016879367483,1,0.3316878841906396,1
https,0.05405568889425649,0.3723187620458866,1,0.3182630731516301,1
something,0.05428708112623082,0.3676183468050116,1,0.3133312656787808,1
said,0.05430542995739446,0.3672434372532052,1,0.3129380072958107,1
anyone,0.054947034475952505,0.353924139493649,1,0.2989771050176965,1
find,0.05508472984525864,0.3510104423708422,1,0.2959257125255836,1
day,0.055559567995687786,0.340803473690107,1,0.2852439056944192,1
than,0.055792586701630786,0.3357003369771204,1,0.2799077502754896,1
any,0.05593039138053796,0.3326518904910585,1,0.2767214991105205,1
www,0.05663600082116299,0.3166658899553392,1,0.2600298891341762,1
not,0.058837926477377095,0.2618815796826141,1,0.203043653205237,1
get,0.06424202441559385,0.379124438522813,2,0.3148824141072192,2
one,0.0645403218393889,0.3740761974010825,2,0.3095358755616936,2
from,0.06530450937009369,0.3608659054428824,2,0.2955613960727887,2
to,0.06661720298245632,0.3916079943314874,6,0.3249907913490311,7
they,0.06809886294353168,0.3085494639410857,2,0.240450600997554,2
are,0.06828433756734242,0.3048127100279323,2,0.2365283724605899,2
who,0.06874930463649631,0.4330017289130046,3,0.3642524242765083,3
of,0.09005760260127421,0.4149799409649638,6,0.3249223383636896,6
i,0.0919358969351694,0.3937876639937875,6,0.3018517670586181,6
in,0.1168783261578446,0.4291969586445036,6,0.312318632486659,5
this,0.12381723495229391,0.3712764294271908,3,0.2474591944748969,2
him,0.13282473263460814,0.4366755076356669,2,0.3038507750010588,1
did,0.13365169814974898,0.430176060255964,2,0.296524362106215,1
he,0.13771817177868284,0.3963642610234274,2,0.2586460892447446,1
here,0.1394438737885409,0.3809325094870698,2,0.2414886356985289,1
be,0.1433330702810574,0.3431076649113255,2,0.1997745946302681,1
was,0.14817540432173681,0.4666660471195994,5,0.3184906427978626,3
by,0.1920966138683842,0.4359243480562185,3,0.2438277341878343,1
that,0.2059246896327651,0.4250147084592657,5,0.2190900188265006,2
himself,0.3328377048910087,0.7499121899325186,12,0.4170744850415099,1
