word,npmi-bias,himself-npmi,himself-count,their-npmi,their-count
have,-0.0910193396680033,0.2209419484581273,1,0.3119612881261306,114
they,-0.08521746418713233,0.3085494639410857,2,0.393766928128218,198
on,-0.07456266541409992,0.2219475752335968,1,0.2965102406476967,101
and,-0.05154395295671621,0.3279399215096387,4,0.3794838744663549,294
white,-0.04246969362011141,0.2321591817360644,1,0.2746288753561758,79
are,-0.039642082998083306,0.3048127100279323,2,0.3444547930260156,146
you,-0.0305977663898368,0.205580727883141,1,0.2361784942729778,72
s,-0.029097247811076477,0.2335287865742856,1,0.2626260343853621,71
is,-0.02709557317350575,0.2726847912611772,2,0.2997803644346829,134
not,-0.022236843532539075,0.2618815796826141,1,0.2841184232151532,67
or,-0.00520732009584729,0.2684059093425819,1,0.2736132294384292,58
t,0.0031411338435590186,0.2661717946213722,1,0.2630306607778132,54
n,0.011876346283402284,0.2693702698528619,1,0.2574939235694596,50
up,0.01352702156417479,0.2912248940604061,1,0.2776978724962313,49
if,0.014197373596165519,0.2684059093425819,1,0.2542085357464164,49
with,0.016288311178124404,0.3311783886637134,2,0.314890077485589,97
to,0.028856206834552534,0.3916079943314874,6,0.3627517874969349,279
the,0.03675890811295318,0.3905958054933838,7,0.3538368973804306,316
because,0.03936179057425393,0.333940838198078,1,0.2945790476238241,38
out,0.04184972624471178,0.2798260792023133,1,0.2379763529576015,38
there,0.042322221488071216,0.2692821160500044,1,0.2269598945619332,38
people,0.05045252260986033,0.36416702995922,2,0.3137145073493597,73
for,0.05343497003581199,0.3554248393656444,3,0.3019898693298324,113
of,0.05385267410413963,0.4149799409649638,6,0.3611272668608242,240
all,0.055237002562970205,0.3413723566180032,2,0.286135354055033,71
would,0.05939662011073099,0.2922874508343848,1,0.2328908307236538,32
my,0.06159571811628828,0.2512675258103578,1,0.1896718076940695,32
even,0.06286951588312867,0.3445342280246553,1,0.2816647121415266,30
these,0.07066398314181949,0.3303530844874243,1,0.2596891013456048,28
know,0.07128123992119009,0.3209855094363343,1,0.2497042695151442,28
so,0.07596956655863091,0.3607737233691789,2,0.284804156810548,59
be,0.0773406635468663,0.3431076649113255,2,0.2657670013644592,59
think,0.07819268872505863,0.3275392160315305,1,0.2493465273064719,26
in,0.08367812958204568,0.4291969586445036,6,0.3455188290624579,199
home,0.08755140400316563,0.3602105552189666,1,0.272659151215801,23
it,0.09273175514777782,0.3796146110184662,4,0.2868828558706884,118
were,0.09884836024398672,0.3279339202081211,1,0.2290855599641344,21
that,0.10017868883177922,0.4250147084592657,5,0.3248360196274865,143
than,0.10762867563231968,0.3357003369771204,1,0.2280716613448007,19
just,0.10946018667787427,0.3589537136315811,2,0.2494935269537068,44
into,0.1117760799288324,0.3453077468697635,1,0.2335316669409311,18
a,0.11368380696385061,0.4042602380713353,6,0.2905764311074847,168
from,0.11439402757759509,0.3608659054428824,2,0.2464718778652873,42
me,0.11659002012628181,0.2898313752371921,1,0.1732413551109103,18
get,0.12324769810420505,0.379124438522813,2,0.255876740418608,38
i,0.1266835865633011,0.3937876639937875,6,0.2671040774304864,156
this,0.1314755241849348,0.3712764294271908,3,0.239800905242256,61
maybe,0.1319417491036909,0.3691428020004901,1,0.2372010528967992,14
being,0.1334411993734241,0.3554351624630274,1,0.2219939630896033,14
who,0.1334518037767125,0.4330017289130046,3,0.2995499251362921,56
anyone,0.1336032222717725,0.353924139493649,1,0.2203209172218765,14
but,0.13400493483717085,0.3991900301082231,3,0.2651850952710523,58
find,0.1404416654230667,0.3510104423708422,1,0.2105687769477755,13
where,0.1412260897470531,0.343770156870354,1,0.2025440671233009,13
any,0.14240008179630448,0.3326518904910585,1,0.190251808694754,13
m,0.14421926934054882,0.314685562484159,1,0.1704662931436102,13
said,0.15297085566062,0.3672434372532052,1,0.2142725815925852,11
more,0.1540275610751967,0.3863960505065221,2,0.2323684894313254,28
day,0.1560718932624611,0.340803473690107,1,0.1847315804276459,11
trying,0.1581330063435961,0.3893753639885989,1,0.2312423576450028,10
www,0.15869624687923117,0.3166658899553392,1,0.157969643076108,11
god,0.158769446130826,0.3845904272958965,1,0.2258209811650705,10
after,0.16066824156969853,0.3699204349915832,1,0.2092521934218847,10
one,0.1631366681861783,0.3740761974010825,2,0.2109395292149042,26
by,0.167548469419476,0.4359243480562185,3,0.2683758786367425,41
bad,0.16805096918224718,0.3801919606975366,1,0.2121409915152894,9
while,0.1684205880091823,0.3774428496519358,1,0.2090222616427535,9
saw,0.16893801015936238,0.3735568716692449,1,0.2046188615098825,9
too,0.1732086628748484,0.3396072995408529,1,0.1663986366660045,9
seems,0.1737298474507323,0.4070560788344652,1,0.2333262313837329,8
here,0.1786912648459899,0.3809325094870698,2,0.2022412446410799,22
show,0.1803435219467662,0.3602105552189666,1,0.1798670332722004,8
way,0.1814915790277757,0.4215089305525874,2,0.2400173515248117,20
funny,0.18229275276318438,0.4194209129529767,1,0.2371281601897923,7
having,0.18401844777164442,0.408644140585384,1,0.2246256928137396,7
jew,0.1878263591618335,0.3835820623019155,1,0.195755703140082,7
negro,0.1885205200745972,0.3788004256195708,1,0.1902799055449736,7
live,0.19188652346975,0.3545240253909668,1,0.1626375019212168,7
his,0.19351756928113673,0.3420226729240841,1,0.1485051036429474,7
support,0.1970534967642837,0.4018609548850291,1,0.2048074581207454,6
something,0.2022684496909968,0.3676183468050116,1,0.1653498971140148,6
members,0.2082437592596023,0.4174513250388897,1,0.2092075657792874,5
either,0.20857530540119842,0.4155587891066234,1,0.206983483705425,5
reason,0.2097702389632986,0.408644140585384,1,0.1988739016220854,5
future,0.2097702389632986,0.408644140585384,1,0.1988739016220854,5
might,0.21079848840276938,0.4025714180635226,1,0.1917729296607532,5
couple,0.21159376694629412,0.3977926477519722,1,0.1861988808056781,5
police,0.2121133908114123,0.3946300137447628,1,0.1825166229333505,5
guy,0.21364678040676532,0.3851016879367483,1,0.171454907529983,5
forum,0.21477516426136137,0.3778917138589484,1,0.163116549597587,5
d,0.21544040999943248,0.3735568716692449,1,0.1581164616698124,5
before,0.2164471535126543,0.3668709390186548,1,0.1504237855060005,5
new,0.22172114492184497,0.3289311258979525,1,0.1072099809761075,5
set,0.22330943995039368,0.4247318541129861,1,0.2014224141625924,4
nordic,0.2237211650855703,0.4225357727084399,1,0.1988146076228696,4
100,0.2256601763954201,0.411980495176679,1,0.1863203187812589,4
everyone,0.22827460285343829,0.3971446174559424,1,0.1688700146025041,4
story,0.2294040051279967,0.3904990235269153,1,0.1610950183989186,4
used,0.2294040051279967,0.3904990235269153,1,0.1610950183989186,4
superiority,0.23277650819477222,0.4758419842921146,1,0.2430654760973424,3
false,0.23679009673306592,0.4581012316049836,1,0.2213111348719177,3
russian,0.240183391949365,0.4423065109024717,1,0.2021231189531067,3
sign,0.240183391949365,0.4423065109024717,1,0.2021231189531067,3
immigration,0.24230409816473691,0.4320157480588263,1,0.1897116498940894,3
youtube,0.24318699234425797,0.2921686342294594,1,0.0489816418852014,4
page,0.24499686623619832,0.4184260615531236,1,0.1734291953169253,3
suicide,0.25070160031084354,0.510319685506992,1,0.2596180851961485,2
process,0.254870820189644,0.4948704473088791,1,0.2399996271192351,2
was,0.2567016032980876,0.4666660471195994,5,0.2099644438215118,39
despite,0.257651230855051,0.4841504660179657,1,0.2264992351629147,2
entertainment,0.2597434410266556,0.4758419842921146,1,0.216098543265459,2
protect,0.2640295774823122,0.4581012316049836,1,0.1940716541226714,2
suspect,0.26457367107441937,0.4557740224658173,1,0.1912003513913979,2
trouble,0.2650851860410024,0.4535696646876842,1,0.1884844786466818,2
ass,0.2664581603586667,0.447571284735025,1,0.1811131243763583,2
straight,0.26687076402298937,0.4457447104334328,1,0.1788739464104434,2
drug,0.2683463878953456,0.4391174948061793,1,0.1707711069108337,2
mail,0.2686785165131652,0.4376048117284454,1,0.1689262952152802,2
killed,0.2716668993437555,0.4236210647752854,1,0.1519541654315299,2
wish,0.2716668993437555,0.4236210647752854,1,0.1519541654315299,2
tried,0.27211256117738747,0.4214747368165805,1,0.149362175639193,2
e,0.2735089214306507,0.4146394211534098,1,0.1411304997227591,2
org,0.2801863668386518,0.3792604058314157,1,0.0990740389927639,2
https,0.2813899717998589,0.3723187620458866,1,0.0909287902460277,2
did,0.2831094727270662,0.430176060255964,2,0.1470665875288978,6
accusations,0.28973550185035657,0.5219256320123388,1,0.2321901301619822,1
he,0.29016884535627263,0.3963642610234274,2,0.1061954156671548,6
moments,0.2933292148572205,0.510319685506992,1,0.2169904706497715,1
apologize,0.29790786385928747,0.4948704473088791,1,0.1969625834495916,1
devil,0.3009491901175137,0.4841504660179657,1,0.183201275900452,1
camera,0.3041893878742097,0.4722785906164142,1,0.1680892027422045,1
islam,0.30657988191749186,0.4631910127477455,1,0.1566111308302536,1
avoid,0.307255732160326,0.4605671502639468,1,0.1533114181036208,1
gotten,0.30847382791563704,0.4557740224658173,1,0.1473001945501802,1
racism,0.3095482993898483,0.4514749232260029,1,0.1419266238361546,1
arrested,0.3113780212211139,0.4439918399175355,1,0.1326138186964216,1
fun,0.3117830420822493,0.4423065109024717,1,0.1305234688202224,1
russia,0.3117830420822493,0.4423065109024717,1,0.1305234688202224,1
moment,0.31217068394147773,0.440683318492337,1,0.1285126345508593,1
