word,npmi-bias,himself-npmi,himself-count,them-npmi,them-count
have,-0.1096482086037861,0.2209419484581273,1,0.3305901570619134,109
on,-0.0801110612847146,0.2219475752335968,1,0.3020586365183114,88
you,-0.07735342153437988,0.205580727883141,1,0.2829341494175209,86
they,-0.06583275391254861,0.3085494639410857,2,0.3743822178536343,146
and,-0.06159234409958109,0.3279399215096387,4,0.3895322656092198,260
not,-0.051418987526246795,0.2618815796826141,1,0.3133005672088609,71
white,-0.042444787723262406,0.2321591817360644,1,0.2746039694593268,66
if,-0.03259954998173947,0.2684059093425819,1,0.3010054593243214,61
out,-0.02856402216026721,0.2798260792023133,1,0.3083901013625805,59
are,-0.02589878673380419,0.3048127100279323,2,0.3307114967617365,111
or,-0.015722056966018305,0.2684059093425819,1,0.2841279663086002,53
is,-0.014991631449300435,0.2726847912611772,2,0.2876764227104776,103
to,-0.008209613403486693,0.3916079943314874,6,0.3998176077349741,285
there,0.0008295039067852117,0.2692821160500044,1,0.2684526121432192,46
t,0.003426040063035485,0.2661717946213722,1,0.2627457545583367,45
s,0.006764959997004216,0.2335287865742856,1,0.2267638265772814,44
with,0.008627485076137809,0.3311783886637134,2,0.3225509035875756,86
would,0.013355871735307778,0.2922874508343848,1,0.278931579099077,41
up,0.013384023919648658,0.2912248940604061,1,0.2778408701407574,41
n,0.013968485045590284,0.2693702698528619,1,0.2554017848072716,41
my,0.014460452042667576,0.2512675258103578,1,0.2368070737676902,41
of,0.04378892132735651,0.4149799409649638,6,0.3711910196376073,213
be,0.04395007955127589,0.3431076649113255,2,0.2991575853600496,65
for,0.04418027882236619,0.3554248393656444,3,0.3112445605432782,101
i,0.04853996839915753,0.3937876639937875,6,0.34524769559463,209
the,0.049032934624257174,0.3905958054933838,7,0.3415628708691266,248
because,0.052354951609675626,0.333940838198078,1,0.2815858865884024,28
all,0.05594265435575829,0.3413723566180032,2,0.2854297022622449,59
were,0.05638326296694951,0.3279339202081211,1,0.2715506572411716,27
think,0.060233037465950046,0.3275392160315305,1,0.2673061785655805,26
than,0.06369533440169217,0.3357003369771204,1,0.2720050025754282,25
a,0.06963850664813931,0.4042602380713353,6,0.334621731423196,184
so,0.0697667750517253,0.3607737233691789,2,0.2910069483174536,52
know,0.072932655467746,0.3209855094363343,1,0.2480528539685883,23
people,0.0741003033062238,0.36416702995922,2,0.2900667266529962,50
just,0.0744915250226173,0.3589537136315811,2,0.2844621886089638,50
me,0.07486432373786461,0.2898313752371921,1,0.2149670514993275,23
any,0.0765586004749621,0.3326518904910585,1,0.2560932900160964,22
get,0.07764044856314911,0.379124438522813,2,0.3014839899596639,48
