word,npmi-bias,his-npmi,his-count,man-npmi,man-count
man,-0.3775074699479568,0.3112802933005365,10,0.6887877632484933,122
woman,-0.24882663445923792,0.145728849046875,1,0.3945554835061129,11
am,-0.1743005419713552,0.0961679858897382,1,0.2704685278610934,5
women,-0.1713151676706896,0.1376915645866314,1,0.309006732257321,5
brown,-0.1502961015590532,0.1431409837899532,1,0.2934370853490064,4
online,-0.1475447245775139,0.1808748356275218,1,0.3284195602050357,4
friday,-0.14346576105299969,0.2289220842586805,1,0.3723878453116802,4
here,-0.1430030245937844,0.0943839710143994,2,0.2373869956081838,6
police,-0.1362308904830125,0.2018191802619651,2,0.3380500707449776,6
youtube,-0.13237290038690022,0.1825673385809408,6,0.314940238967841,13
great,-0.126791218850133,0.0989711314114519,1,0.2257623502615849,3
eyes,-0.12525597875943167,0.1321534616435041,1,0.2574094404029358,3
stupid,-0.12381995767136389,0.1589983168496648,1,0.2828182745210287,3
makes,-0.12377266989166119,0.1598308514990346,1,0.2836035213906958,3
10,-0.12377266989166119,0.1598308514990346,1,0.2836035213906958,3
asian,-0.1235228088095329,0.1641825735674944,1,0.2877053823770273,3
reason,-0.12336095747111173,0.1669604680939579,1,0.2903214255650696,3
sorry,-0.1231888654913626,0.1698802305350312,1,0.2930690960263938,3
force,-0.12164932931629122,0.1946267928821758,1,0.316276122198467,3
within,-0.12143776141620857,0.1978564599708277,1,0.3192942213870363,3
killing,-0.12143776141620857,0.1978564599708277,1,0.3192942213870363,3
mail,-0.1212096975700599,0.2012968421615901,1,0.32250653973165,3
21,-0.12069277046046159,0.208944940834249,1,0.3296377112947106,3
y,-0.1200672691274152,0.2179406345215041,1,0.3380079036489193,3
beaten,-0.11988830773711182,0.2204656231764001,1,0.3403539309135119,3
white,-0.11929929407123152,0.303516244043614,31,0.4228155381148455,44
wiggers,-0.11904444080269289,0.2321016747113232,1,0.3511461155140161,3
men,-0.1190031931823991,0.2018191802619651,2,0.3208223734443642,5
ex,-0.11750516263532196,0.2523007351700474,1,0.3698058978053694,3
caught,-0.11584857088247472,0.2465410172146649,2,0.3623895880971396,5
there,-0.11444901833980423,0.1581936312684835,6,0.2726426496082877,11
m,-0.11170190099252866,0.2066639431377237,6,0.3183658441302524,11
black,-0.10241274081068097,0.288330105380994,15,0.390742846191675,22
http,-0.10154692962268372,0.1354281350389233,2,0.236975064661607,4
re,-0.10084251921731069,0.1526503399363009,2,0.2534928591536116,4
last,-0.100686555529901,0.1562817998947387,2,0.2569683554246397,4
looking,-0.10053453650365779,0.1597649247686504,2,0.2602994612723082,4
non,-0.10038828851418999,0.1630656481913317,2,0.2634539367055217,4
1,-0.10017735166194161,0.1677440618783678,2,0.2679214135403094,4
www,-0.09978254253384891,0.171988942016267,4,0.2717714845501159,7
been,-0.09327377888360672,0.2026686824319286,5,0.2959424613155353,8
accused,-0.09301191202776043,0.29227468505131,2,0.3852865970790704,4
blacks,-0.092143412773113,0.2247427206400196,5,0.3168861334131326,8
same,-0.0916423349907354,0.0996101154811819,1,0.1912524504719173,2
anyone,-0.09153148221207369,0.1035767519359182,1,0.1951082341479919,2
live,-0.0915120687013414,0.1042612698476412,1,0.1957733385489826,2
much,-0.0915022552342396,0.1046061761149776,1,0.1961084313492172,2
https,-0.09089498589078569,0.1246697619321303,1,0.215564747822916,2
d,-0.0908490588474439,0.1260972045514652,1,0.2169462633989091,2
try,-0.0906677740583382,0.1316258466579557,1,0.2222936207162939,2
love,-0.09033860771175792,0.1412700002006859,1,0.2316086079124438,2
hair,-0.09029506187485473,0.1425109111772649,1,0.2328059730521196,2
week,-0.09010839300469409,0.1477452361499221,1,0.2378536291546162,2
hard,-0.08978277762074871,0.1565695897543766,1,0.2463523673751253,2
girls,-0.08959363610093093,0.1615325247909105,1,0.2511261608918414,2
london,-0.08945525483631017,0.1650936864830309,1,0.2545489413193411,2
never,-0.08942625612309829,0.1785241633610647,3,0.267950419484163,5
stuff,-0.08934395792682537,0.1679171999906489,1,0.2572611579174743,2
goes,-0.08930527885353559,0.1688902510007865,1,0.2581955298543221,2
almost,-0.08930527885353559,0.1688902510007865,1,0.2581955298543221,2
dark,-0.08896228921582522,0.1773435288647765,1,0.2663058180806017,2
nordic,-0.08871052284588601,0.1833610879422258,1,0.2720716107881118,2
month,-0.08865586983109372,0.1846477783647201,1,0.2733036481958138,2
brother,-0.08865586983109372,0.1846477783647201,1,0.2733036481958138,2
national,-0.0885995992870639,0.1859655089856841,1,0.274565108272748,2
o,-0.08848182827326309,0.188700829837502,1,0.2771826581107651,2
15,-0.08848182827326309,0.188700829837502,1,0.2771826581107651,2
alot,-0.08807815522772891,0.1978564599708277,1,0.2859346151985566,2
morning,-0.08775401795318441,0.2049797397183297,1,0.2927337576715141,2
eating,-0.08747091599195539,0.2110487241985768,1,0.2985196401905322,2
soul,-0.0871416988424242,0.2179406345215041,1,0.3050823333639283,2
2010,-0.0871416988424242,0.2179406345215041,1,0.3050823333639283,2
attacked,-0.08660018626666643,0.2289220842586805,1,0.3155222705253469,2
walked,-0.0858676777304532,0.2431506527870703,1,0.3290183305175235,2
hall,-0.0858676777304532,0.2431506527870703,1,0.3290183305175235,2
published,-0.0856368972665888,0.247498745798785,1,0.3331356430653738,2
hated,-0.0856368972665888,0.247498745798785,1,0.3331356430653738,2
officers,-0.08537826175398716,0.2523007351700474,1,0.3376789969240346,2
girlfriend,-0.08508433504385221,0.2576711881487167,1,0.3427555231925689,2
like,-0.0850612248948463,0.2623956453088337,17,0.34745687020368,21
rob,-0.08384702609825528,0.2793635465850144,1,0.3632105726832697,2
me,-0.0760773372251925,0.1948540150807752,7,0.2709313523059677,9
she,-0.07489834104222351,0.1442048579066492,2,0.2191031989488727,3
find,-0.07466218621787252,0.1523297915917361,2,0.2269919778096086,3
really,-0.0740530055731835,0.1719200792097435,2,0.245973084782927,3
more,-0.07400998544319692,0.2236659384273958,8,0.2976759238705927,10
3,-0.0737278494268662,0.1817015799134404,2,0.2554294293403066,3
place,-0.0737278494268662,0.1817015799134404,2,0.2554294293403066,3
came,-0.07314039566058442,0.1984047493337888,2,0.2715451449943732,3
meet,-0.07306642381932621,0.2004296668988368,2,0.273496090718163,3
hey,-0.07304105716811218,0.2011203333193657,2,0.2741613904874779,3
6,-0.07267329587140459,0.2109302255192912,2,0.2836035213906958,3
cause,-0.07243890459045607,0.2169965628684333,2,0.2894354674588894,3
between,-0.07225089176007607,0.2217659023733082,2,0.2940167941333843,3
30,-0.07204152182136078,0.2269816447972737,2,0.2990231666186345,3
gang,-0.07027078767977729,0.267737115969142,2,0.3380079036489193,3
dating,-0.06909008150187451,0.29227468505131,2,0.3613647665531845,3
times,-0.06719173097948969,0.2107646166876627,3,0.2779563476671524,4
another,-0.06378518679214701,0.2358675170466042,4,0.2996527038387512,5
some,-0.0628294895823541,0.2091633742119344,7,0.2719928637942885,8
old,-0.06211833298641278,0.2342409745346417,6,0.2963593075210545,7
an,-0.05232944619591151,0.2594779171374294,11,0.3118073633333409,11
s,-0.05150375011601366,0.2721965516600097,24,0.3237003017760234,22
day,-0.04657292145185518,0.2347600214861202,6,0.2813329429379754,6
video,-0.04633657385229428,0.2436643488471018,6,0.2900009226993961,6
com,-0.04577259408777262,0.1979943450564096,5,0.2437669391441822,5
always,-0.043414799513095514,0.2182673286731891,4,0.2616821281862846,4
against,-0.04289755630824199,0.2402773005902316,4,0.2831748568984736,4
you,-0.04247941924426871,0.195281811667889,16,0.2377612309121577,14
whites,-0.04244687812656062,0.1502106313939321,3,0.1926575095204927,3
watch,-0.04178359190471048,0.1887138134617603,3,0.2304974053664708,3
charged,-0.041197409459176215,0.3028351853381567,4,0.3440325947973329,4
work,-0.04119069153167529,0.2182660623459615,3,0.2594567538776368,3
away,-0.04100543478660898,0.2268246267988885,3,0.2678300615854975,3
tell,-0.04097810099550511,0.2280641380300756,3,0.2690422390255807,3
story,-0.040950051520116715,0.2293301416614717,3,0.2702801931815884,3
attack,-0.04063956787511619,0.2429639535155796,3,0.2836035213906958,3
full,-0.04051995346679971,0.2480436587432564,3,0.2885636122100561,3
this,-0.040287811841129395,0.2731336488075029,25,0.3134214606486323,21
rest,-0.040178058630021274,0.2620914421942016,3,0.3022695008242229,3
race,-0.039751683648656,0.1379723589744194,2,0.1777240426230754,2
world,-0.03940574217739018,0.1619468137078126,2,0.2013525558852028,2
sure,-0.03900644624872501,0.1864134512942623,2,0.2254198975429873,2
city,-0.03891726919604718,0.1915175722620036,2,0.2304348414580508,2
made,-0.038874386687904716,0.1939315863642149,2,0.2328059730521196,2
may,-0.038852106028090305,0.1951758836859893,2,0.2340279897140796,2
racist,-0.038829228872617694,0.1964465557347658,2,0.2352757846073835,2
hell,-0.0387815616467847,0.1990720675078315,2,0.2378536291546162,2
are,-0.03866202394573251,0.1930122732517011,14,0.2316742971974336,12
lol,-0.038605695238089516,0.208514971524368,2,0.2471206667624575,2
students,-0.038347238225904606,0.2217659023733082,2,0.2601131405992128,2
20,-0.03832708754447833,0.2227705487122938,2,0.2610976362567721,2
son,-0.038097065886255804,0.233974544901856,2,0.2720716107881118,2
street,-0.03804341637903749,0.2365216918937105,2,0.274565108272748,2
chinese,-0.037792289484685215,0.2481423257138714,2,0.2859346151985566,2
telling,-0.037678212942582,0.2532676401438144,2,0.2909458530863964,2
sitting,-0.03750186258145538,0.2610177776090768,2,0.2985196401905322,2
stood,-0.03663537528808991,0.2965002677772839,2,0.3331356430653738,2
show,-0.03593521229762771,0.1107612970673562,1,0.1466965093649839,1
take,-0.035927532695074704,0.1115246285774332,1,0.1474521612725079,1
ever,-0.035907747199712986,0.1134727512181701,1,0.1493804984178831,1
stormfront,-0.035874215246996896,0.1167159749010332,1,0.1525901901480301,1
area,-0.035814098811756595,0.1223596231201606,1,0.1581737219319172,1
start,-0.035756746623673424,0.1275575475318947,1,0.1633142941555681,1
irish,-0.0357341588848899,0.1295587714357038,1,0.1652929303205937,1
no,-0.03573404645548922,0.2210277109663506,8,0.2567617574218398,7
group,-0.035646333475598396,0.1371149144550645,1,0.1727612479306629,1
such,-0.035646333475598396,0.1371149144550645,1,0.1727612479306629,1
things,-0.0356037590444416,0.1406588848825807,1,0.1762626439270223,1
high,-0.03556556255911181,0.143777660422248,1,0.1793432229813598,1
american,-0.03555759726095539,0.1444210918396717,1,0.1799786891006271,1
stop,-0.035549516863427805,0.1450714341471468,1,0.1806209510105746,1
money,-0.0355413184013737,0.145728849046875,1,0.1812701674482487,1
bautista,-0.03550705449587521,0.3377311628706779,2,0.3732382173665531,2
0,-0.03549844304312391,0.1491280997867173,1,0.1846265428298412,1
until,-0.03545209834541441,0.1527321712006887,1,0.1881842695461031,1
u,-0.03543247358726159,0.1542373386158663,1,0.1896698122031279,1
small,-0.0354017511535272,0.1565695897543766,1,0.1919713409079038,1
coming,-0.0353911457846334,0.1573680263684885,1,0.1927591721531219,1
beautiful,-0.0353581512497132,0.1598308514990346,1,0.1951890027487478,1
move,-0.03528621960573208,0.1650936864830309,1,0.200379906088763,1
v,-0.03528621960573208,0.1650936864830309,1,0.200379906088763,1
guys,-0.035260238308206904,0.1669604680939579,1,0.2022207064021648,1
mother,-0.035233123515162806,0.1688902510007865,1,0.2041233745159493,1
job,-0.03517510884761049,0.1729583851784586,1,0.2081334940260691,1
one,-0.03516695016383159,0.2599368441159266,13,0.2951037942797582,11
e,-0.0351597363416713,0.1740229286712642,1,0.2091826650129355,1
wanted,-0.035143985131356914,0.1751080427946773,1,0.2102520279260342,1
9,-0.035143985131356914,0.1751080427946773,1,0.2102520279260342,1
band,-0.035143985131356914,0.1751080427946773,1,0.2102520279260342,1
either,-0.035143985131356914,0.1751080427946773,1,0.2102520279260342,1
comes,-0.03512783777978498,0.1762145995545227,1,0.2113424373343077,1
pass,-0.035094278716021304,0.1784958238477738,1,0.2135901025637951,1
song,-0.035094278716021304,0.1784958238477738,1,0.2135901025637951,1
stand,-0.03505889318934499,0.1808748356275218,1,0.2159337288168668,1
thats,-0.03505889318934499,0.1808748356275218,1,0.2159337288168668,1
university,-0.03504045672767711,0.1821039117181611,1,0.2171443684458382,1
b,-0.03504045672767711,0.1821039117181611,1,0.2171443684458382,1
50,-0.0350019623908398,0.1846477783647201,1,0.2196497407555599,1
dirty,-0.03498184427405002,0.1859655089856841,1,0.2209473532597341,1
12,-0.034939695886261196,0.188700829837502,1,0.2236405257237632,1
website,-0.034939695886261196,0.188700829837502,1,0.2236405257237632,1
a,-0.03492139688251328,0.3591611537130147,80,0.394082550595528,60
words,-0.03491758833824718,0.1901221511447543,1,0.2250397394830015,1
sometimes,-0.03489473439416929,0.1915820093199644,1,0.2264767437141337,1
play,-0.034871085768224314,0.1930827138120451,1,0.2279537995802694,1
sounds,-0.03482118675173432,0.196217022462994,1,0.2310382092147283,1
id,-0.03482118675173432,0.196217022462994,1,0.2310382092147283,1
act,-0.03479481314573829,0.1978564599708277,1,0.232651273116566,1
early,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
body,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
large,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
evil,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
built,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
phone,-0.03476739675614621,0.1995484841321675,1,0.2343158808883137,1
whatever,-0.0347388575842037,0.2012968421615901,1,0.2360356997457938,1
movement,-0.0347388575842037,0.2012968421615901,1,0.2360356997457938,1
