word,npmi-bias,his-npmi,his-count,straight-npmi,straight-count
eyes,-0.2639621551813708,0.1321534616435041,1,0.3961156168248749,2
either,-0.2573606802392175,0.1751080427946773,1,0.4324687230338948,2
male,-0.2566111199873009,0.1796725467590287,1,0.4362836667463296,2
there,-0.21610021023650652,0.1581936312684835,6,0.37429384150499,4
them,-0.214371025685763,0.1366714049916467,4,0.3510424306774097,3
point,-0.20846969544556743,0.2125986654345295,2,0.4210683608800969,2
anyone,-0.19540035308177828,0.1035767519359182,1,0.2989771050176965,1
much,-0.1953158263984642,0.1046061761149776,1,0.2999220025134418,1
thing,-0.194293210854647,0.1167159749010332,1,0.3110091857556802,1
https,-0.1935933112194998,0.1246697619321303,1,0.3182630731516301,1
love,-0.1920609400758085,0.1412700002006859,1,0.3333309402764944,1
hair,-0.1919425205576319,0.1425109111772649,1,0.3344534317348968,1
woman,-0.1916329358845632,0.145728849046875,1,0.3373617849314382,1
run,-0.18969412297938637,0.1650936864830309,1,0.3547878094624173,1
reason,-0.1895003824389915,0.1669604680939579,1,0.3564608505329494,1
open,-0.1895003824389915,0.1669604680939579,1,0.3564608505329494,1
almost,-0.1892988450488504,0.1688902510007865,1,0.3581890960496369,1
community,-0.1892988450488504,0.1688902510007865,1,0.3581890960496369,1
job,-0.1888698037961085,0.1729583851784586,1,0.3618281889745671,1
band,-0.1886408038700223,0.1751080427946773,1,0.3637488466646996,1
pass,-0.18827670214199932,0.1784958238477738,1,0.3667725259897731,1
stand,-0.1880186766034572,0.1808748356275218,1,0.368893512230979,1
texas,-0.1874600707584297,0.1859655089856841,1,0.3734255797441138,1
groups,-0.1873104085749842,0.1873159300068793,1,0.3746263385818635,1
green,-0.1873104085749842,0.1873159300068793,1,0.3746263385818635,1
force,-0.1864894352135705,0.1946267928821758,1,0.3811162280957463,1
fear,-0.1863084648532441,0.196217022462994,1,0.3825254873162381,1
summer,-0.18592657140450788,0.1995484841321675,1,0.3854750555366754,1
event,-0.1857246552739653,0.2012968421615901,1,0.3870214974355554,1
ground,-0.1857246552739653,0.2012968421615901,1,0.3870214974355554,1
throw,-0.18482929476613738,0.208944940834249,1,0.3937742356003864,1
stopped,-0.18375107324386328,0.2179406345215041,1,0.4016917077653674,1
tall,-0.1823982569092688,0.2289220842586805,1,0.4113203411679493,1
became,-0.1815679169285354,0.2355065681129745,1,0.4170744850415099,1
himself,-0.1815679169285354,0.2355065681129745,1,0.4170744850415099,1
appreciate,-0.1815679169285354,0.2355065681129745,1,0.4170744850415099,1
blonde,-0.1815679169285354,0.2355065681129745,1,0.4170744850415099,1
broke,-0.18109924466658398,0.2391738097227509,1,0.4202730543893349,1
nothing,-0.1806279114789877,0.2102954936560129,3,0.3909234051350006,2
28,-0.1805859954075271,0.2431506527870703,1,0.4237366481945974,1
negroid,-0.1805859954075271,0.2431506527870703,1,0.4237366481945974,1
deviant,-0.1741470299699162,0.2900288689065727,1,0.4641758988764889,1
sexuality,-0.17201094889804458,0.3045357239998459,1,0.4765466728978905,1
ran,-0.1680016951255474,0.3064416240157552,3,0.4744433191413026,2
do,-0.16539048873624476,0.2073556853924073,10,0.3727461741286521,4
person,-0.15578344125324892,0.2407875747637551,4,0.396571016017004,2
left,-0.15420206385447788,0.255204443183,4,0.4094065070374779,2
face,-0.15131384636149364,0.2802466110443367,4,0.4315604574058303,2
more,-0.14715398332005608,0.2236659384273958,8,0.3708199217474519,3
here,-0.14710466468412953,0.0943839710143994,2,0.2414886356985289,1
its,-0.1442168451434457,0.1430796204764128,2,0.2872964656198585,1
find,-0.1435959209338475,0.1523297915917361,2,0.2959257125255836,1
looking,-0.14308024252896212,0.1597649247686504,2,0.3028451672976125,1
world,-0.1429261148422627,0.1619468137078126,2,0.3048729285500753,1
something,-0.14226846692621448,0.1710627987525663,2,0.3133312656787808,1
com,-0.14203513888093441,0.1979943450564096,5,0.340029483937344,2
town,-0.1409828439223414,0.188067820702218,2,0.3290506646245594,1
trying,-0.140372428895194,0.1958078475346545,2,0.3361802764298485,1
half,-0.13965168663948757,0.2047007455839786,2,0.3443524322234662,1
getting,-0.1391344869148574,0.2109302255192912,2,0.3500647124341486,1
weeks,-0.13862110700652777,0.2169965628684333,2,0.3556176698749611,1
local,-0.1378504453654623,0.2258984012992373,2,0.3637488466646996,1
power,-0.1373511926442953,0.2315423195866837,2,0.368893512230979,1
saw,-0.1370351436472783,0.2538882614877223,5,0.3909234051350006,2
knew,-0.13653409098537872,0.240585485955433,2,0.3771195769408117,1
people,-0.1361674452023812,0.2490977273358206,13,0.3852651725382018,4
god,-0.13584456350552582,0.2660024844848976,5,0.4018470479904234,2
security,-0.13535273360935707,0.2532676401438144,2,0.3886203737531715,1
attention,-0.1351789462289567,0.255096747165777,2,0.3902756933947337,1
forward,-0.1348085281413296,0.2589657074590568,2,0.3937742356003864,1
road,-0.1337115256318293,0.2701976676506882,2,0.4039091932825175,1
into,-0.13137158157603257,0.2781919093103875,9,0.4095634908864201,3
