word,npmi-bias,his-npmi,his-count,them-npmi,them-count
them,-0.49850887201986965,0.1366714049916467,4,0.6351802770115164,514
their,-0.16862689421383392,0.1761281063665356,7,0.3447550005803695,84
much,-0.15605560242824099,0.1046061761149776,1,0.2606617785432186,18
anyone,-0.1451294468107256,0.1035767519359182,1,0.2487061987466438,16
are,-0.1376992235100354,0.1930122732517011,14,0.3307114967617365,111
they,-0.1298094205879857,0.2445727972656486,21,0.3743822178536343,146
same,-0.1263749740951026,0.0996101154811819,1,0.2259850895762845,13
coming,-0.11698133650268239,0.1573680263684885,1,0.2743493628711709,12
whites,-0.11233746029696001,0.1502106313939321,3,0.2625480916908921,27
here,-0.11123018926642152,0.0943839710143994,2,0.2056141602808209,19
there,-0.11025898087473571,0.1581936312684835,6,0.2684526121432192,46
stop,-0.1100227522137398,0.1450714341471468,1,0.2550941863608866,11
think,-0.10813749760318828,0.1591686809623922,3,0.2673061785655805,26
many,-0.10366435185446471,0.1722343512039345,3,0.2758987030583992,25
show,-0.10297000283113829,0.1107612970673562,1,0.2137312998984945,10
take,-0.1029490427179551,0.1115246285774332,1,0.2144736712953883,10
ever,-0.10289497221426819,0.1134727512181701,1,0.2163677234324383,10
thing,-0.10280311634158738,0.1167159749010332,1,0.2195190912426206,10
try,-0.10235132699465299,0.1316258466579557,1,0.2339771736526087,10
do,-0.10064589753907291,0.2073556853924073,10,0.3080015829314802,65
im,-0.09381920481368389,0.1171330003946372,1,0.2109522052083211,9
women,-0.09326644369623222,0.1376915645866314,1,0.2309580082828636,9
find,-0.09320353390623431,0.1523297915917361,2,0.2455333254979704,16
etc,-0.0928084609506738,0.1527321712006887,1,0.2455406321513625,9
each,-0.0927353459844174,0.1550045434343986,1,0.247739889418816,9
not,-0.09259775766133271,0.2207028095475282,12,0.3133005672088609,71
care,-0.09246020725358561,0.1632856492502448,1,0.2557458565038304,9
countries,-0.09239832409652238,0.1650936864830309,1,0.2574920105795533,9
you,-0.08765233774963188,0.195281811667889,16,0.2829341494175209,86
race,-0.0876472395532241,0.1379723589744194,2,0.2256195985276435,15
its,-0.08751355716375092,0.1430796204764128,2,0.2305931776401637,15
give,-0.08466497948575849,0.2226787284070527,3,0.3073437078928112,21
am,-0.084337556737086,0.0961679858897382,1,0.1805055426268242,8
before,-0.08391804316030921,0.1184004455662416,1,0.2023184887265508,8
start,-0.08371901261089632,0.1275575475318947,1,0.211276560142791,8
themselves,-0.08298790360143671,0.1565695897543766,1,0.2395574933558133,8
makes,-0.08289620090015082,0.1598308514990346,1,0.2427270523991854,8
put,-0.0807932694286729,0.2032316118764955,3,0.2840248813051684,20
than,-0.07923054545844971,0.1927744571169785,4,0.2720050025754282,25
have,-0.07617952115850274,0.2544106359034107,23,0.3305901570619134,109
few,-0.07444108559665058,0.2125803933647556,5,0.2870214789614062,29
love,-0.0725025059505647,0.1412700002006859,1,0.2137725061512506,7
today,-0.07242472764066352,0.1450714341471468,1,0.2174961617878103,7
probably,-0.07233917618371091,0.1491280997867173,1,0.2214672759704282,7
send,-0.07222768318823838,0.1542373386158663,1,0.2264650218041047,7
teachers,-0.0720812560066938,0.1606754599717273,1,0.2327567159784211,7
reason,-0.07193193613194529,0.1669604680939579,1,0.2388924042259032,7
took,-0.07164152210957692,0.1784958238477738,1,0.2501373459573507,7
numbers,-0.07095141217995299,0.2031057059897966,1,0.2740571181697496,7
never,-0.0661784112712249,0.1785241633610647,3,0.2447025746322896,17
also,-0.06037223404213518,0.186096942310975,3,0.2464691763531102,16
such,-0.06023009387526451,0.1371149144550645,1,0.197345008330329,6
until,-0.0599896702198327,0.1527321712006887,1,0.2127218414205214,6
hard,-0.05992552119111,0.1565695897543766,1,0.2164951109454866,6
stupid,-0.059883888281494685,0.1589983168496648,1,0.2188822051311595,6
