word,npmi-bias,his-npmi,his-count,they-npmi,they-count
they,-0.3412125147944538,0.2445727972656486,21,0.5857853120601024,1163
are,-0.1867777098171505,0.1930122732517011,14,0.3797899830688516,369
them,-0.17998402423650678,0.1366714049916467,4,0.3166554292281535,146
their,-0.1669573503789165,0.1761281063665356,7,0.3430854567454521,198
re,-0.15724609763557762,0.1526503399363009,2,0.3098964375718785,74
same,-0.1440075890983425,0.0996101154811819,1,0.2436177045795244,38
show,-0.13065814043889679,0.1107612970673562,1,0.241419437506253,33
much,-0.1280546745715856,0.1046061761149776,1,0.2326608506865632,32
take,-0.12204585434221449,0.1115246285774332,1,0.2335704829196477,30
themselves,-0.1145023823445854,0.1565695897543766,1,0.271071972098962,28
think,-0.1137437764009703,0.1591686809623922,3,0.2729124573633625,66
do,-0.11020659098561617,0.2073556853924073,10,0.3175622763780235,168
whites,-0.10924913452233259,0.1502106313939321,3,0.2594597659162647,63
here,-0.1024720639420225,0.0943839710143994,2,0.1968560349564219,42
thing,-0.09481879702848318,0.1167159749010332,1,0.2115347719295164,22
ever,-0.0909074944958522,0.1134727512181701,1,0.2043802457140223,21
women,-0.0864048771467057,0.1376915645866314,1,0.2240964417333371,20
try,-0.0822305928085548,0.1316258466579557,1,0.2138564394665105,19
before,-0.07790457122462649,0.1184004455662416,1,0.1963050167908681,18
irish,-0.07777863243154912,0.1295587714357038,1,0.2073374038672529,18
things,-0.07762964722235291,0.1406588848825807,1,0.2182885321049336,18
anyone,-0.0732839529991414,0.1035767519359182,1,0.1768607049350596,17
ireland,-0.07319774263257119,0.1163016147355962,1,0.1894993573681674,17
d,-0.0731111513210313,0.1260972045514652,1,0.1992083558724965,17
have,-0.07143797155928672,0.2544106359034107,23,0.3258486074626974,252
find,-0.07026983131488401,0.1523297915917361,2,0.2225996229066201,30
there,-0.0694493337234936,0.1581936312684835,6,0.2276429649919771,77
were,-0.06850397519346821,0.2208960758570068,6,0.289400051050475,77
live,-0.0682839266775486,0.1042612698476412,1,0.1725451965251898,16
start,-0.06814509576532432,0.1275575475318947,1,0.195702643297219,16
must,-0.0680130256115184,0.1418872969149454,1,0.2099003225264638,16
probably,-0.06793282293047481,0.1491280997867173,1,0.2170609227171921,16
makes,-0.06779776075649921,0.1598308514990346,1,0.2276286122555338,16
race,-0.06735909544366439,0.1379723589744194,2,0.2053314544180838,29
ll,-0.0671498671735937,0.1594082217913723,2,0.226558088964966,29
group,-0.06285468645023101,0.1371149144550645,1,0.1999696009052955,15
but,-0.06110476567337561,0.2095878822246948,11,0.2706926478980704,122
us,-0.061010379072584,0.1920458137550331,4,0.2530561928276171,50
great,-0.057426576647421304,0.0989711314114519,1,0.1563977080588732,14
am,-0.057424306491641916,0.0961679858897382,1,0.1535922923813801,14
today,-0.0572924568599488,0.1450714341471468,1,0.2023638910070956,14
money,-0.057288215290709016,0.145728849046875,1,0.203017064337584,14
until,-0.05723898239080841,0.1527321712006887,1,0.2099711535914971,14
each,-0.05722141852469009,0.1550045434343986,1,0.2122259619590887,14
started,-0.05702001299465931,0.1762145995545227,1,0.233234612549182,14
not,-0.05275519129819539,0.2207028095475282,12,0.2734580008457236,123
im,-0.0514993595989027,0.1171330003946372,1,0.1686323599935399,13
thought,-0.0514425034394404,0.1450714341471468,1,0.1965139375865872,13
stupid,-0.05137351177944999,0.1589983168496648,1,0.2103718286291148,13
care,-0.0513468461729957,0.1632856492502448,1,0.2146324954232405,13
just,-0.048756842233269704,0.2255405321382356,11,0.2742973743715053,110
than,-0.04859416820628032,0.1927744571169785,4,0.2413686253232588,44
n,-0.04707842505253951,0.245206880135868,14,0.2922853051884075,135
non,-0.04680309763748039,0.1630656481913317,2,0.2098687458288121,23
because,-0.04641529601535199,0.2546578109969394,8,0.3010731070122914,81
well,-0.04614931148986559,0.1686698227138792,3,0.2148191342037448,33
stop,-0.045187683074550594,0.1450714341471468,1,0.1902591172216974,12
etc,-0.045172640871059905,0.1527321712006887,1,0.1979048120717486,12
coming,-0.0451599311642745,0.1573680263684885,1,0.202527957532763,12
girls,-0.04514619719039231,0.1615325247909105,1,0.2066787219813028,12
ones,-0.0450972710219662,0.1729583851784586,1,0.2180556562004248,12
act,-0.044933709694368384,0.1978564599708277,1,0.2427901696651961,12
those,-0.044137905516985126,0.1932645146850301,4,0.2374024202020152,42
