word,npmi-bias,man-npmi,man-count,she-npmi,she-count
she,-0.4509388344315333,0.2191031989488727,3,0.670042033380406,167
her,-0.25041778161134076,0.2510615076621747,5,0.5014792892735155,61
think,-0.15855889054673683,0.1099499912454079,1,0.2685088817921447,9
teacher,-0.141795154627157,0.2022207064021648,1,0.3440158610293218,8
other,-0.133357364547181,0.1097307045949827,1,0.2430880691421637,7
hope,-0.1321907418606716,0.1426891952367204,1,0.274879937097392,7
says,-0.11565746720204079,0.1896698122031279,1,0.3053272794051687,6
then,-0.1024697724260343,0.1677396492528944,2,0.2702094216789287,9
school,-0.10245686534949741,0.1681842162275222,2,0.2706410815770196,9
them,-0.10158180593533779,0.0619233226139667,1,0.1635051285493045,5
were,-0.10112190902180779,0.110390588635914,1,0.2115124976577218,5
used,-0.09941491725821949,0.1812701674482487,1,0.2806850847064682,5
beautiful,-0.09893774986103732,0.1951890027487478,1,0.2941267526097851,5
mother,-0.09860718620640058,0.2041233745159493,1,0.3027305607223499,5
sister,-0.0975665440299203,0.2294733822718664,1,0.3270399263017867,5
how,-0.0907279391002507,0.158992041684454,2,0.2497199807847047,8
if,-0.09061580711598752,0.2055765414352058,6,0.2961923485511933,20
off,-0.0896715972490218,0.2009894874088886,2,0.2906610846579104,8
own,-0.08036217222483472,0.1402602123541095,1,0.2206223845789442,4
hate,-0.07989367509473641,0.1694494079794657,1,0.2493430830742021,4
next,-0.07977166294590551,0.1756649095534583,1,0.2554365724993638,4
had,-0.07929351349136038,0.2284097164251913,4,0.3077032299165517,13
remember,-0.0790884577858495,0.2050993429060553,1,0.2841878006919048,4
gets,-0.07900817594436502,0.2081334940260691,1,0.2871416699704341,4
class,-0.07897998836931361,0.2091826650129355,1,0.2881626533822491,4
not,-0.0780054012608595,0.1987791125953042,6,0.2767845138561637,18
daughter,-0.077865270286082,0.2456244844309026,1,0.3234897547169846,4
too,-0.07709439873301038,0.1792751591521205,2,0.2563695578851309,7
said,-0.0764576548587384,0.2099076746681991,2,0.2863653295269375,7
told,-0.07543246821906788,0.2471206667624575,2,0.3225531349815254,7
my,-0.07539419004537282,0.2315671846416155,9,0.3069613746869883,25
but,-0.07200594967366078,0.2276078235158934,8,0.2996137731895542,22
when,-0.0711997853898563,0.1999092768101535,4,0.2711090622000098,12
back,-0.07056570962305486,0.2323349239564345,4,0.3029006335794894,12
about,-0.066821297023477,0.2057472703731162,5,0.2725685673965932,14
was,-0.06275373486286362,0.3204942607335704,19,0.383247995596434,44
know,-0.06239002266733318,0.1587962067735355,2,0.2211862294408687,6
ago,-0.06182549070492077,0.210745547060108,2,0.2725710377650288,6
does,-0.06180577373328311,0.2120236008884998,2,0.2738293746217829,6
name,-0.0614908713452392,0.2304348414580508,2,0.29192571280329,6
hair,-0.06144612814242159,0.2328059730521196,2,0.2942521011945412,6
looks,-0.06137352568132948,0.2365505654754853,2,0.2979240911568148,6
get,-0.05837580133525322,0.2170371636546255,5,0.2754129649898787,13
is,-0.055701168728929884,0.3058386203372156,27,0.3615397890661455,57
why,-0.05527507141834129,0.1437581220156572,1,0.1990331934339985,3
2,-0.05525970856931811,0.1486022987883279,1,0.203862007357646,3
ever,-0.05525690445038062,0.1493804984178831,1,0.2046374028682637,3
maybe,-0.05522530328602718,0.1568412468933061,1,0.2120665501793333,3
anything,-0.05520937825590108,0.1599949857732677,1,0.2152043640291688,3
saw,-0.05519918649213709,0.1618702561797252,1,0.2170694426718623,3
found,-0.0551596039252375,0.1683838768580342,1,0.2235434807832717,3
person,-0.0551596039252375,0.1683838768580342,1,0.2235434807832717,3
