word,npmi-bias,man-npmi,man-count,their-npmi,their-count
their,-0.45438387975413314,0.1689881390723072,4,0.6233720188264403,599
them,-0.2719737161989886,0.0619233226139667,1,0.3338970388129553,84
own,-0.2281587248099274,0.1402602123541095,1,0.3684189371640369,62
they,-0.16850977760561162,0.2252571505226064,11,0.393766928128218,198
those,-0.14269720397221738,0.1195779606421565,1,0.2622751646143739,27
think,-0.139396536061064,0.1099499912454079,1,0.2493465273064719,26
other,-0.1231634667650867,0.1097307045949827,1,0.2328941713600694,22
were,-0.1186949713282204,0.110390588635914,1,0.2290855599641344,21
are,-0.11278049582858202,0.2316742971974336,12,0.3444547930260156,146
take,-0.1080821723235588,0.1474521612725079,1,0.2555343335960667,19
into,-0.1036665207493177,0.1298651461916134,1,0.2335316669409311,18
which,-0.10299148718185852,0.1513678189684296,1,0.2543593061502881,18
how,-0.10116691284578591,0.158992041684454,2,0.2601589545302399,31
race,-0.09720639126217112,0.1777240426230754,2,0.2749304338852465,30
even,-0.09694954257549002,0.1847151695660366,2,0.2816647121415266,30
school,-0.09413710863619582,0.1681842162275222,2,0.262321324863718,29
know,-0.0909080627416087,0.1587962067735355,2,0.2497042695151442,28
culture,-0.0908390456557018,0.196867630223957,1,0.2877066758796588,16
these,-0.0906072725717415,0.1690818287738633,2,0.2596891013456048,28
whites,-0.0894393365479843,0.1926575095204927,3,0.282096846068477,39
have,-0.08807723796397601,0.2238840501621546,11,0.3119612881261306,114
not,-0.08533931061984898,0.1987791125953042,6,0.2841184232151532,67
many,-0.08300530703326539,0.1790141984109407,2,0.2620195054442061,26
why,-0.08065204700915249,0.1437581220156572,1,0.2244101690248097,14
maybe,-0.0803598060034931,0.1568412468933061,1,0.2372010528967992,14
about,-0.07780922532335693,0.2057472703731162,5,0.2835564956964731,54
what,-0.0755772263610405,0.1730796907983768,3,0.2486569171594173,34
off,-0.0746515669567775,0.2009894874088886,2,0.2756410543656661,24
over,-0.0743817800670723,0.1298651461916134,1,0.2042469262586857,13
then,-0.0713626495558187,0.1677396492528944,2,0.2391022988087131,23
country,-0.07074230590928327,0.1954399457024643,2,0.2661822516117476,23
home,-0.07057428987159939,0.2020848613442016,2,0.272659151215801,23
give,-0.0666578238353541,0.1744867950468171,1,0.2411446188821712,12
use,-0.059455955170648,0.1642957890367795,1,0.2237517442074275,11
lives,-0.058067901832445507,0.2343158808883137,1,0.2923837827207592,11
do,-0.05585570542383972,0.2209385979667487,7,0.2767943033905884,60
only,-0.055187809189516296,0.2031996025472154,3,0.2583874117367317,28
its,-0.051783998596967584,0.1270058022887942,1,0.1787898008857618,10
when,-0.051781760354674994,0.1999092768101535,4,0.2516910371648285,35
god,-0.05133418611825338,0.1744867950468171,1,0.2258209811650705,10
english,-0.051272023603627315,0.1793432229813598,1,0.2306152465849871,10
trying,-0.05126366854437572,0.1799786891006271,1,0.2312423576450028,10
money,-0.0512465307197279,0.1812701674482487,1,0.2325166981679766,10
can,-0.049671641949893264,0.2123718084749444,5,0.2620434504248377,42
if,-0.0486319943112106,0.2055765414352058,6,0.2542085357464164,49
us,-0.04808145642763528,0.1742347423813183,2,0.2223161988089536,18
who,-0.047311475629792266,0.2522384495064998,7,0.2995499251362921,56
good,-0.04418574537551928,0.1844652914513192,3,0.2286510368268385,25
well,-0.04279782355701331,0.1754608520632581,2,0.2182586756202714,17
saw,-0.04274860533015731,0.1618702561797252,1,0.2046188615098825,9
yes,-0.042734661136530294,0.1638031189977771,1,0.2065377801343074,9
bad,-0.042691583535823696,0.1694494079794657,1,0.2121409915152894,9
need,-0.04268642634830028,0.1888008885824687,2,0.231487314930769,17
friends,-0.042673952688888184,0.1716373467041744,1,0.2143112993930626,9
life,-0.0425901025685157,0.1812701674482487,1,0.2238602700167644,9
would,-0.042529946320465584,0.1903608844031882,4,0.2328908307236538,32
learn,-0.04233915909394578,0.2050993429060553,1,0.2474385020000011,9
people,-0.0400212780308975,0.2736932293184622,10,0.3137145073493597,73
so,-0.03940808234804699,0.245396074462501,8,0.284804156810548,59
get,-0.038839576763982475,0.2170371636546255,5,0.255876740418608,38
but,-0.037577271755158875,0.2276078235158934,8,0.2651850952710523,58
much,-0.03712901533489649,0.1961084313492172,2,0.2332374466841137,16
we,-0.036174113861785984,0.1852752383668359,5,0.2214493522286219,37
hope,-0.03317683895644488,0.1426891952367204,1,0.1758660341931653,8
show,-0.033170523907216504,0.1466965093649839,1,0.1798670332722004,8
irish,-0.0331222407286805,0.1652929303205937,1,0.1984151710492742,8
person,-0.033111192605591505,0.1683838768580342,1,0.2014950694636257,8
again,-0.03309637851120378,0.1721967210976735,1,0.2052930996088773,8
faces,-0.032424072420330186,0.257490555772244,1,0.2899146281925742,8
right,-0.0313102692959257,0.2024541493902271,2,0.2337644186861528,15
let,-0.03129068177982,0.2062685058846967,2,0.2375591876645167,15
little,-0.03125867707546409,0.2120236008884998,2,0.2432822779639639,15
to,-0.028804118623940278,0.3339476688729946,46,0.3627517874969349,279
will,-0.0277351490746221,0.2300948209261543,7,0.2578299700007764,47
most,-0.02708753177234699,0.2308256182013053,3,0.2579131499736523,21
be,-0.0265852154487633,0.2391817859156959,9,0.2657670013644592,59
all,-0.025980178011767274,0.2601551760432657,11,0.286135354055033,71
very,-0.02522561320275951,0.1800640475029921,2,0.2052896607057516,14
anyone,-0.025212683073884606,0.1951082341479919,2,0.2203209172218765,14
at,-0.022645411956415396,0.2439028168880399,8,0.2665482288444553,51
around,-0.022545594106092692,0.2191031989488727,3,0.2416487930549654,20
make,-0.022531868007353323,0.2279295332447571,3,0.2504614012521104,20
things,-0.0224252681365793,0.1762626439270223,1,0.1986879120636016,7
left,-0.022424320436995604,0.1832612193849688,1,0.2056855398219644,7
best,-0.022423405415228276,0.1853211633112339,1,0.2077445687264622,7
negro,-0.0224219906033514,0.1678579149416222,1,0.1902799055449736,7
says,-0.022420524209873616,0.1896698122031279,1,0.2120903364130015,7
point,-0.022412924881801383,0.196867630223957,1,0.2192805551057584,7
area,-0.022412234084269206,0.1581737219319172,1,0.1805859560161864,7
front,-0.02241178364117391,0.1977256929881952,1,0.2201374766293691,7
media,-0.022410573790276694,0.198596799761629,1,0.2210073735519057,7
immigrants,-0.022361883372184782,0.2209473532597341,1,0.2433092366319189,7
because,-0.020453077679284892,0.2741259699445392,6,0.2945790476238241,38
any,-0.018640883137581887,0.1716109255571721,2,0.190251808694754,13
it,-0.0178341576974837,0.2690486981732047,20,0.2868828558706884,118
than,-0.01774360772675901,0.2103280536180417,3,0.2280716613448007,19
that,-0.01462122010480249,0.310214799522684,25,0.3248360196274865,143
our,-0.014147890651235617,0.2228684040353039,5,0.2370162946865395,30
of,-0.013550157134525564,0.3475771097262986,43,0.3611272668608242,240
had,-0.013526557786874976,0.2284097164251913,4,0.2419362742120663,24
few,-0.0116291424754911,0.1749678083709206,2,0.1865969508464117,12
evil,-0.010571559015792709,0.2343158808883137,1,0.2448874399041064,6
power,-0.010519484115747907,0.2159337288168668,1,0.2264532129326147,6
face,-0.010496696809378092,0.2091826650129355,1,0.2196793618223136,6
leave,-0.01049297874088051,0.2081334940260691,1,0.2186264727669496,6
getting,-0.010443192269029317,0.1951890027487478,1,0.2056321950177771,6
yet,-0.010429692674812308,0.1919713409079038,1,0.2024010335827161,6
called,-0.01042636436860539,0.1911940339076309,1,0.2016203982762363,6
least,-0.01042305423179149,0.1904269528504495,1,0.200850007082241,6
stop,-0.010378496562611389,0.1806209510105746,1,0.190999447573186,6
better,-0.010366330675775692,0.17809207035919,1,0.1884584010349657,6
family,-0.0103633254222249,0.1774760928310359,1,0.1878394182532608,6
such,-0.010339778455696225,0.1727612479306629,1,0.1831010263863591,6
group,-0.010339778455696225,0.1727612479306629,1,0.1831010263863591,6
town,-0.010336894569279387,0.1721967210976735,1,0.1825336156669529,6
found,-0.010317055280704812,0.1683838768580342,1,0.178700932138739,6
nothing,-0.010281706430792209,0.1618702561797252,1,0.1721519626105174,6
anything,-0.010271188725585606,0.1599949857732677,1,0.1702661744988533,6
ever,-0.010208782974057418,0.1493804984178831,1,0.1595892813919405,6
just,-0.006082309863358615,0.2434112170903482,8,0.2494935269537068,44
sure,-0.004474327722621796,0.2254198975429873,2,0.2298942252656091,11
t,-0.004420989432596889,0.2586096713452163,10,0.2630306607778132,54
said,-0.004364906924386097,0.2099076746681991,2,0.2142725815925852,11
want,-0.004070944555150696,0.1727913639601228,2,0.1768623085152735,11
say,-0.001893991643174081,0.2098453571922226,3,0.2117393488353967,16
or,-0.0018536545456664943,0.2717595748927627,11,0.2736132294384292,58
and,-0.0006762387063595221,0.3788076357599954,57,0.3794838744663549,294
your,0.0013949984945134108,0.2327368407654514,7,0.231341842270938,36
you,0.0015827366391799047,0.2377612309121577,14,0.2361784942729778,72
songs,0.002775564572364997,0.2631817065597794,1,0.2604061419874144,5
stories,0.002914920787861902,0.2477813263045458,1,0.2448664055166839,5
boys,0.0029537365036390872,0.2435564474808778,1,0.2406027109772387,5
website,0.003140107129950692,0.2236405257237632,1,0.2205004185938125,5
article,0.0031902451259296916,0.2183825773776606,1,0.2151923322517309,5
hand,0.003213729819730199,0.2159337288168668,1,0.2127199989971366,5
pass,0.003236284765099906,0.2135901025637951,1,0.2103538177986952,5
talking,0.0032579890903150777,0.2113424373343077,1,0.2080844482439926,5
either,0.0032685442206092097,0.2102520279260342,1,0.206983483705425,5
local,0.0032685442206092097,0.2102520279260342,1,0.206983483705425,5
job,0.0032890995955275892,0.2081334940260691,1,0.2048443944305415,5
pride,0.0032991141034041938,0.2071037124393521,1,0.2038045983359479,5
mother,0.0033281819929626977,0.2041233745159493,1,0.2007951925229866,5
guys,0.0033468047800793987,0.2022207064021648,1,0.1988739016220854,5
state,0.0033910039357555044,0.1977256929881952,1,0.1943346890524397,5
couple,0.0034709313974498057,0.1896698122031279,1,0.1861988808056781,5
next,0.0036120666980915817,0.1756649095534583,1,0.1720528428553667,5
hate,0.0036755923454737105,0.1694494079794657,1,0.165773815633992,5
come,0.003679469951714115,0.2090807572403551,2,0.205401287288641,10
forum,0.003702639063889096,0.1668191886614761,1,0.163116549597587,5
look,0.0037544852320343103,0.2269919778096086,3,0.2232374925775743,15
world,0.003764100654693986,0.2013525558852028,2,0.1975884552305088,10
down,0.0037891946329657866,0.2239598395479679,3,0.2201706449150021,15
same,0.003876134994535513,0.1912524504719173,2,0.1873763154773818,10
2,0.0038926503781933908,0.1486022987883279,1,0.1447096484101345,5
years,0.003962189597764204,0.1835918388184204,2,0.1796296492206562,10
see,0.0040962170188175995,0.2317516537427252,5,0.2276554367239076,25
the,0.005032652859850273,0.3588695502402809,63,0.3538368973804306,316
is,0.006058255902532672,0.3058386203372156,27,0.2997803644346829,134
should,0.0078028693941278315,0.2534524396191282,5,0.2456495702250004,24
