word,npmi-bias,she-npmi,she-count,them-npmi,them-count
them,-0.47167514846221187,0.1635051285493045,5,0.6351802770115164,514
have,-0.2175740174118931,0.1130161396500203,6,0.3305901570619134,109
they,-0.195867452713378,0.1785147651402563,11,0.3743822178536343,146
their,-0.1942320748903023,0.1505229256900672,5,0.3447550005803695,84
most,-0.1709174190345246,0.1085661792108267,1,0.2794835982453513,22
these,-0.16835666298561647,0.0807246312286617,1,0.2490812942142782,21
been,-0.163882505947919,0.0763887808697773,1,0.2402712868176963,20
are,-0.1465123544042891,0.1841991423574474,12,0.3307114967617365,111
want,-0.14311805537591699,0.1382396900408236,2,0.2813577454167406,28
also,-0.14097642790198678,0.1054927484511234,1,0.2464691763531102,16
whites,-0.14049706362310072,0.1220510280677914,2,0.2625480916908921,27
its,-0.13561278540959731,0.0949803922305664,1,0.2305931776401637,15
need,-0.1352692197968071,0.1012831222046979,1,0.236552342001505,15
which,-0.13419651088624962,0.1199551263697603,1,0.2541516372560099,15
all,-0.1337247141128774,0.1517049881493675,6,0.2854297022622449,59
than,-0.1315254268017256,0.1404795757737026,2,0.2720050025754282,25
we,-0.1287972829445769,0.1623654183592564,6,0.2911627013038333,57
our,-0.12521488509823941,0.1372930883811444,3,0.2625079734793838,32
any,-0.11906838717955168,0.1370249028365447,2,0.2560932900160964,22
far,-0.1127081712647312,0.148653812126681,1,0.2613619833914122,12
you,-0.11216304936037819,0.1707711000571427,12,0.2829341494175209,86
give,-0.11091859094708068,0.1964251169457305,2,0.3073437078928112,21
should,-0.10935706198023701,0.169540287810751,3,0.278897349790988,28
always,-0.10689025297912819,0.1136418319989681,1,0.2205320849780963,11
us,-0.10470073414561282,0.1397251256064451,2,0.2444258597520579,19
re,-0.09898932120123521,0.1048281156060589,1,0.2038174368072941,10
into,-0.09896920082688221,0.1513929311194262,2,0.2503621319463084,18
much,-0.09841789929030048,0.1622438792529181,2,0.2606617785432186,18
seen,-0.0978290578734812,0.1322078923319328,1,0.230036950205414,10
friends,-0.0974412817564429,0.1407466052974711,1,0.238187887053914,10
help,-0.09677686532362367,0.1547890383752764,1,0.2515659036989001,10
guess,-0.09670629664391409,0.15624057526865,1,0.2529468719125641,10
of,-0.09650046237906651,0.2746905572585408,40,0.3711910196376073,213
im,-0.08932035440354288,0.1216318508047782,1,0.2109522052083211,9
to,-0.08919708317203012,0.310620524562944,59,0.3998176077349741,285
up,-0.08899997547529523,0.1888408946654622,6,0.2778408701407574,41
women,-0.08847360525229422,0.1424844030305694,1,0.2309580082828636,9
there,-0.08798842030921289,0.1804641918340063,7,0.2684526121432192,46
soon,-0.08774477545620549,0.1592527093468557,1,0.2469974848030612,9
real,-0.0875272742782687,0.1640753972215385,1,0.2516026714998072,9
anyone,-0.08749232862827558,0.1612138701183682,2,0.2487061987466438,16
few,-0.08735128619388247,0.1996701927675237,4,0.2870214789614062,29
care,-0.0873284443133476,0.1684174121904828,1,0.2557458565038304,9
countries,-0.0872437528120659,0.1702482577674874,1,0.2574920105795533,9
blacks,-0.0843684224674541,0.1869377274015078,3,0.2713061498689619,22
do,-0.08174939823821023,0.22625218469327,11,0.3080015829314802,65
am,-0.0801584880637887,0.1003470545630355,1,0.1805055426268242,8
will,-0.07931803682377081,0.2355720177594557,11,0.3148900545832265,64
nothing,-0.0791223538445674,0.1307266273022058,1,0.2098489811467732,8
still,-0.07897565496674999,0.1347552857975803,1,0.2137309407643303,8
since,-0.07868813146659692,0.1424844030305694,1,0.2211725344971663,8
wonder,-0.0784277409232565,0.1493059523327048,1,0.2277336932559613,8
crime,-0.0782696032859525,0.1533714095374655,1,0.231641012823418,8
