word,she-pmi
the,2.305790805922145
to,2.390919907099545
i,2.4348838667073327
and,2.7810489842572785
a,2.722285070962469
of,2.3040051043385823
in,2.6609090430350344
is,3.043856312047391
it,2.4702405233809124
that,2.499899929244272
you,1.7487527201894504
for,2.525018474499996
are,1.9173080812192569
have,1.2586013906396034
on,2.571453103975933
they,1.88309881174204
this,2.6719680620002366
white,2.755700962510617
s,2.730282288371612
with,2.590154902979744
was,3.661902082004882
my,3.110918098509646
all,1.76651123349043
be,2.4869018696614824
but,3.113968669923816
as,2.6104552617792023
not,2.939489947899744
like,3.138037561227449
t,3.1096302683252177
we,1.9147072995192
do,2.533915184656868
or,2.8559828944769494
if,3.14366496692873
there,2.1072478688981007
n,3.2072105966640816
their,1.814920731040847
just,3.0301817377339275
at,2.9731003727044385
will,2.670458627751382
so,2.9268185454777016
from,3.285026056766212
your,1.922006602000811
out,3.269646067604874
people,2.5416938985697057
them,2.0020493096743475
about,3.066274256032981
me,2.7877892770621178
up,2.299606130045887
one,2.7108128807217264
youtube,1.909525940777202
would,2.827756537469184
can,2.6085040416479406
get,3.166771211712069
who,2.408365119662825
here,2.5796836031124486
by,2.75070560465247
what,2.2829516951407496
when,3.15842043249465
no,2.9919902430373297
our,1.7926046027182996
some,2.905106003547077
black,3.1198614388909665
more,2.523226894444792
an,2.582212049465807
see,3.0343177350270825
good,2.644895751759494
m,2.5123082006396777
he,2.7060258921645017
www,2.323750228975248
has,3.5231467096237106
whites,1.678660343369082
know,2.805355600780017
how,3.096207247993077
com,2.1346093569092384
go,2.9916633922418066
been,1.1133465343190216
time,2.736869186634861
other,3.073341423256074
think,3.328208253141348
had,3.703075920779045
were,2.747564475751609
new,1.8493574193107487
her,5.270740414127226
only,2.951626019181969
then,3.357091127290134
school,3.3644441015953928
these,1.1820896867386246
should,2.299606130045887
back,3.689724587604181
any,1.9173080812192569
want,1.937032586567036
because,3.732784077064628
us,1.9612273151540924
say,3.218080268900985
than,1.973547799542133
few,2.6666949801020783
http,2.383153700316329
well,2.898137334230983
now,3.1015123002227702
race,2.42553292328519
too,3.299148091989767
old,3.66924605626064
very,2.976098875700695
day,2.985148711220613
his,2.0918474975711563
way,3.012800242551123
its,1.4127520704668617
kids,3.363390360718121
year,3.2092396808908625
years,2.8132984542939536
she,6.549794077854311
