word,npmi-bias,straight-npmi,straight-count,their-npmi,their-count
their,-0.3331786753953239,0.2901933434311164,2,0.6233720188264403,599
they,-0.153316327130664,0.240450600997554,2,0.393766928128218,198
are,-0.10792642056542573,0.2365283724605899,2,0.3444547930260156,146
that,-0.1057460008009859,0.2190900188265006,2,0.3248360196274865,143
not,-0.08107477000991617,0.203043653205237,1,0.2841184232151532,67
have,-0.07287004013534662,0.239091247990784,2,0.3119612881261306,114
own,-0.0688134783898689,0.299605458774168,1,0.3684189371640369,62
be,-0.0659924067341911,0.1997745946302681,1,0.2657670013644592,59
will,-0.0396419543052563,0.2181880156955201,1,0.2578299700007764,47
to,-0.03776099614790379,0.3249907913490311,7,0.3627517874969349,279
of,-0.03620492849713458,0.3249223383636896,6,0.3611272668608242,240
in,-0.033200196575798924,0.312318632486659,5,0.3455188290624579,199
by,-0.02454814444890821,0.2438277341878343,1,0.2683758786367425,41
your,-0.010502942899694195,0.2208388993712438,1,0.231341842270938,36
kids,-0.002073692955005202,0.2875576169698138,1,0.289631309924819,33
this,0.007658289232640891,0.2474591944748969,2,0.239800905242256,61
or,0.012846429777448987,0.2864596592158782,2,0.2736132294384292,58
only,0.014656783176003996,0.2730441949127357,1,0.2583874117367317,28
them,0.017145391864454407,0.3510424306774097,3,0.3338970388129553,84
for,0.018363494779271405,0.3203533641091038,4,0.3019898693298324,113
about,0.02066423435917175,0.3042207300556449,2,0.2835564956964731,54
t,0.021202385154450443,0.2842330459322636,2,0.2630306607778132,54
good,0.026322263318224487,0.254973300145063,1,0.2286510368268385,25
see,0.02634793241288702,0.2540033691367946,1,0.2276554367239076,25
is,0.027259902171818284,0.3270402666065012,5,0.2997803644346829,134
off,0.028889280993108113,0.3045303353587742,1,0.2756410543656661,24
n,0.029926766582448472,0.2874206901519081,2,0.2574939235694596,50
has,0.030159529233940996,0.2612632407232195,1,0.2311037114892785,24
up,0.031487193278986414,0.3091850657752177,2,0.2776978724962313,49
if,0.032251123469461795,0.2864596592158782,2,0.2542085357464164,49
on,0.03331023912764397,0.3298204797753407,4,0.2965102406476967,101
i,0.034747689628131684,0.3018517670586181,6,0.2671040774304864,156
here,0.03924739105744901,0.2414886356985289,1,0.2022412446410799,22
s,0.0396556475078943,0.3022816818932564,3,0.2626260343853621,71
around,0.04669860297873202,0.2883473960336974,1,0.2416487930549654,20
from,0.049089518207501404,0.2955613960727887,2,0.2464718778652873,42
and,0.049825886774496286,0.4293097612408512,12,0.3794838744663549,294
than,0.05183608893068889,0.2799077502754896,1,0.2280716613448007,19
us,0.05689594027450151,0.2792121390834551,1,0.2223161988089536,18
time,0.05724131637808502,0.2711748383857545,1,0.2139335220076695,18
get,0.059005673688611204,0.3148824141072192,2,0.255876740418608,38
who,0.0647024991402162,0.3642524242765083,3,0.2995499251362921,56
white,0.0648304175435575,0.3394592928997333,4,0.2746288753561758,79
much,0.06668455582932811,0.2999220025134418,1,0.2332374466841137,16
say,0.0677038586708597,0.2794432075062564,1,0.2117393488353967,16
go,0.0683254799106024,0.2664245873463892,1,0.1980991074357868,16
with,0.06884914956168958,0.3837392270472786,5,0.314890077485589,97
what,0.0705091009302552,0.3191660180896725,2,0.2486569171594173,34
people,0.07155066518884212,0.3852651725382018,4,0.3137145073493597,73
look,0.07268821994800928,0.2959257125255836,1,0.2232374925775743,15
as,0.07321922607422737,0.3294514313220935,3,0.2562322052478661,53
black,0.07344635549202602,0.3220308491295764,2,0.2485844936375504,33
all,0.07656998169330692,0.3627053357483399,4,0.286135354055033,71
at,0.07672304425441162,0.3432712730988669,3,0.2665482288444553,51
thing,0.0779607777667411,0.3110091857556802,1,0.2330484079889391,14
you,0.07814177231940941,0.3143202665923872,4,0.2361784942729778,72
anyone,0.07865618779581998,0.2989771050176965,1,0.2203209172218765,14
now,0.07962441499737949,0.2815595710108756,1,0.2019351560134961,14
my,0.0796994265293326,0.2693712342234021,2,0.1896718076940695,32
like,0.08433647966902211,0.3325229695409958,3,0.2481864898719737,48
find,0.08535693557780807,0.2959257125255836,1,0.2105687769477755,13
news,0.085374622537404,0.2956284857600729,1,0.2102538632226689,13
could,0.08552957771328898,0.2930138944332218,1,0.2074843167199328,13
over,0.08570935367563157,0.2899562799343173,1,0.2042469262586857,13
any,0.08646969041576652,0.2767214991105205,1,0.190251808694754,13
a,0.09125966530196616,0.3818360964094509,9,0.2905764311074847,168
few,0.09331079942907788,0.2799077502754896,1,0.1865969508464117,12
just,0.09331768653305977,0.3428112134867666,3,0.2494935269537068,44
no,0.09405748545021128,0.3201082871906635,2,0.2260508017404522,27
do,0.09595187073806366,0.3727461741286521,4,0.2767943033905884,60
can,0.09711067613599333,0.359154126560831,3,0.2620434504248377,42
it,0.09735635681288218,0.3842392126835706,7,0.2868828558706884,118
one,0.0985963463467894,0.3095358755616936,2,0.2109395292149042,26
the,0.09864888268533967,0.4524857800657703,16,0.3538368973804306,316
said,0.09866542570322553,0.3129380072958107,1,0.2142725815925852,11
day,0.10051232526677331,0.2852439056944192,1,0.1847315804276459,11
www,0.10206024605806818,0.2600298891341762,1,0.157969643076108,11
should,0.10345898156358829,0.3491085517885887,2,0.2456495702250004,24
trying,0.10493791878484568,0.3361802764298485,1,0.2312423576450028,10
world,0.1072844733195665,0.3048729285500753,1,0.1975884552305088,10
then,0.1077666464794872,0.3468689452882003,2,0.2391022988087131,23
years,0.1084534235951026,0.2880830728157588,1,0.1796296492206562,10
its,0.1085066647340967,0.2872964656198585,1,0.1787898008857618,10
was,0.1085261989763508,0.3184906427978626,3,0.2099644438215118,39
out,0.10898279900106089,0.3469591519586624,3,0.2379763529576015,38
without,0.11201412970971397,0.3547878094624173,1,0.2427736797527033,9
life,0.1135015149146738,0.3373617849314382,1,0.2238602700167644,9
seen,0.11483870958485898,0.3208912300640607,1,0.2060525204792017,9
two,0.11578021050654869,0.3087726211975152,1,0.1929924106909665,9
when,0.11583229466801581,0.3675233318328443,3,0.2516910371648285,35
looking,0.11622768632129782,0.3028451672976125,1,0.1866174809763147,9
fear,0.1187850819319517,0.3825254873162381,1,0.2637404053842864,8
an,0.1229725995871494,0.3260393466080933,2,0.2030667470209439,20
keep,0.12380152119990598,0.328537501709687,1,0.204735980509781,8
her,0.1281386571382871,0.2730441949127357,1,0.1449055377744486,8
me,0.13455679160198672,0.307798146712897,2,0.1732413551109103,18
more,0.13845143231612647,0.3708199217474519,3,0.2323684894313254,28
force,0.1410835906362673,0.3811162280957463,1,0.240032637459479,6
power,0.1424402992983643,0.368893512230979,1,0.2264532129326147,6
getting,0.1444325174163715,0.3500647124341486,1,0.2056321950177771,6
problem,0.1448749694299339,0.3457249765121749,1,0.200850007082241,6
down,0.14565027311851347,0.3658209180335156,2,0.2201706449150021,15
wonder,0.1458261543262327,0.3361802764298485,1,0.1903541221036158,6
hair,0.14599503069993108,0.3344534317348968,1,0.1884584010349657,6
town,0.1465170489576065,0.3290506646245594,1,0.1825336156669529,6
there,0.14733394694305682,0.37429384150499,4,0.2269598945619332,38
ago,0.14794548711500802,0.3137271056866605,1,0.1657816185716525,6
something,0.14798136856476599,0.3133312656787808,1,0.1653498971140148,6
did,0.1494577745773172,0.296524362106215,1,0.1470665875288978,6
old,0.15043829762178282,0.2847406307772543,1,0.1343023331554715,6
he,0.1524506735775898,0.2586460892447446,1,0.1061954156671548,6
language,0.15381245290783768,0.3886203737531715,1,0.2348079208453338,5
pass,0.15641870819107792,0.3667725259897731,1,0.2103538177986952,5
local,0.1567653629592746,0.3637488466646996,1,0.206983483705425,5
job,0.15698379454402558,0.3618281889745671,1,0.2048443944305415,5
reason,0.157586948910864,0.3564608505329494,1,0.1988739016220854,5
open,0.157586948910864,0.3564608505329494,1,0.1988739016220854,5
wait,0.15777277408938528,0.3547878094624173,1,0.197015035373032,5
got,0.15861578381555339,0.3634399340190368,2,0.2048241502034834,13
looks,0.1595841667623487,0.3379620473320846,1,0.1783778805697359,5
woman,0.1596468640024568,0.3373617849314382,1,0.1777149209289814,5
love,0.1600644622729603,0.3333309402764944,1,0.1732664780035341,5
ca,0.1601212885277467,0.3327779461172205,1,0.1726566575894738,5
guy,0.1602329766606566,0.3316878841906396,1,0.171454907529983,5
year,0.16439213572535022,0.2875576169698138,1,0.1231654812444636,5
security,0.17004405917015758,0.3886203737531715,1,0.2185763145830139,4
summer,0.17045758269911687,0.3854750555366754,1,0.2150174728375585,4
groups,0.1718518833914256,0.3746263385818635,1,0.2027744551904379,4
