word,npmi-bias,straight-npmi,straight-count,them-npmi,them-count
them,-0.28413784633410666,0.3510424306774097,3,0.6351802770115164,514
they,-0.1339316168560803,0.240450600997554,2,0.3743822178536343,146
not,-0.11025691400362389,0.203043653205237,1,0.3133005672088609,71
be,-0.09938299072978152,0.1997745946302681,1,0.2991575853600496,65
will,-0.0967020388877064,0.2181880156955201,1,0.3148900545832265,64
are,-0.09418312430114661,0.2365283724605899,2,0.3307114967617365,111
have,-0.09149890907112943,0.239091247990784,2,0.3305901570619134,109
that,-0.08564138840449509,0.2190900188265006,2,0.3047314072309957,104
to,-0.07482681638594302,0.3249907913490311,7,0.3998176077349741,285
their,-0.054561657149253096,0.2901933434311164,2,0.3447550005803695,84
of,-0.0462686812739177,0.3249223383636896,6,0.3711910196376073,213
i,-0.043395928536011874,0.3018517670586181,6,0.34524769559463,209
if,-0.014545800108443196,0.2864596592158782,2,0.3010054593243214,61
in,-0.012343135068614008,0.312318632486659,5,0.324661767555273,146
few,-0.007113728685916587,0.2799077502754896,1,0.2870214789614062,29
your,0.0007941604612649866,0.2208388993712438,1,0.2200447389099788,27
or,0.0023316929072779713,0.2864596592158782,2,0.2841279663086002,53
than,0.007902747700061385,0.2799077502754896,1,0.2720050025754282,25
go,0.008100645217296698,0.2664245873463892,1,0.2583239421290925,25
see,0.008284586332264504,0.2540033691367946,1,0.2457187828045301,25
for,0.009108803565825607,0.3203533641091038,4,0.3112445605432782,101
get,0.013398424147555266,0.3148824141072192,2,0.3014839899596639,48
any,0.020628209094424144,0.2767214991105205,1,0.2560932900160964,22
by,0.021339406235017094,0.2438277341878343,1,0.2224883279528172,22
t,0.02148729137392691,0.2842330459322636,2,0.2627457545583367,45
own,0.024612677543735806,0.299605458774168,1,0.2749927812304322,21
kids,0.02491296587772812,0.2875576169698138,1,0.2626446510920857,21
this,0.025007834874953394,0.2474591944748969,2,0.2224513595999435,44
as,0.02550744816333178,0.3294514313220935,3,0.3039439831587617,66
about,0.02614731866986658,0.3042207300556449,2,0.2780734113857783,43
on,0.027761843257029295,0.3298204797753407,4,0.3020586365183114,88
around,0.029600783594387836,0.2883473960336974,1,0.2587466124393096,20
only,0.030016782063199382,0.2730441949127357,1,0.2430274128495363,20
up,0.03134419563446028,0.3091850657752177,2,0.2778408701407574,41
you,0.031386117174866335,0.3143202665923872,4,0.2829341494175209,86
n,0.03201890534463647,0.2874206901519081,2,0.2554017848072716,41
my,0.032564160455711894,0.2693712342234021,2,0.2368070737676902,41
us,0.03478627933139719,0.2792121390834551,1,0.2444258597520579,19
has,0.035312965513972006,0.2612632407232195,1,0.2259502752092475,19
here,0.035874475417707996,0.2414886356985289,1,0.2056141602808209,19
out,0.0385690505960819,0.3469591519586624,3,0.3083901013625805,59
much,0.03926022397022322,0.2999220025134418,1,0.2606617785432186,18
is,0.0393638438960236,0.3270402666065012,5,0.2876764227104776,103
look,0.03939487098291716,0.2959257125255836,1,0.2565308415426664,18
and,0.03977749563163141,0.4293097612408512,12,0.3895322656092198,260
good,0.04619143828113759,0.254973300145063,1,0.2087818618639254,17
from,0.046230799555019186,0.2955613960727887,2,0.2493305965177695,36
a,0.047214364986254864,0.3818360964094509,9,0.334621731423196,184
one,0.04874175103155359,0.3095358755616936,2,0.26079412453014,35
anyone,0.050270906271052684,0.2989771050176965,1,0.2487061987466438,16
find,0.05039238702761317,0.2959257125255836,1,0.2455333254979704,16
black,0.05451808735991981,0.3220308491295764,2,0.2675127617696566,33
off,0.05596452193004062,0.3045303353587742,1,0.2485658134287336,15
its,0.05670328797969479,0.2872964656198585,1,0.2305931776401637,15
just,0.0583490248778028,0.3428112134867666,3,0.2844621886089638,50
with,0.06118832345970299,0.3837392270472786,5,0.3225509035875756,86
now,0.0632808989350894,0.2815595710108756,1,0.2182786720757862,14
do,0.06474459119717185,0.3727461741286521,4,0.3080015829314802,65
white,0.06485532344040651,0.3394592928997333,4,0.2746039694593268,66
at,0.06798073915579361,0.3432712730988669,3,0.2752905339430733,46
no,0.0682556509184929,0.3201082871906635,2,0.2518526362721706,29
say,0.0701171043724475,0.2794432075062564,1,0.2093261031338089,13
should,0.07021120199760067,0.3491085517885887,2,0.278897349790988,28
time,0.07050433958646712,0.2711748383857545,1,0.2006704987992874,13
what,0.07196472371732829,0.3191660180896725,2,0.2472012943723442,28
like,0.07373445188245142,0.3325229695409958,3,0.2587885176585444,44
then,0.07405371486851137,0.3468689452882003,2,0.2728152304196889,27
when,0.07408382398596641,0.3675233318328443,3,0.2934395078468779,43
