word,their-count
the,316
to,279
i,156
and,294
a,168
of,240
in,199
is,134
it,118
that,143
you,72
for,113
are,146
have,114
on,101
they,198
this,61
white,79
s,71
with,97
was,39
my,32
all,71
be,59
but,58
as,53
not,67
like,48
t,54
we,37
do,60
or,58
if,49
there,38
n,50
their,599
just,44
at,51
will,47
so,59
from,42
your,36
out,38
people,73
them,84
about,54
me,18
up,49
one,26
youtube,4
would,32
can,42
get,38
who,56
here,22
by,41
what,34
when,35
no,27
our,30
some,34
black,33
more,28
an,20
see,25
good,25
m,13
he,6
www,11
has,24
whites,39
know,28
how,31
com,10
go,16
been,19
time,18
other,22
think,26
had,24
were,21
new,5
her,8
only,28
then,23
school,29
these,28
should,24
back,18
any,13
want,11
because,38
us,18
say,16
than,19
few,12
http,11
well,17
those,27
now,14
race,30
many,26
too,9
old,6
very,14
day,11
his,7
way,20
its,10
kids,33
year,5
years,10
she,5
around,20
where,13
even,30
never,15
over,13
into,18
got,13
blacks,28
am,10
down,15
could,13
every,20
need,17
ve,8
video,4
going,12
great,11
same,10
news,13
find,13
look,15
re,14
did,6
also,14
make,20
anyone,14
watch,11
country,23
live,7
most,21
own,62
last,8
much,16
being,14
first,9
hope,8
ll,9
why,14
looking,9
him,3
always,13
off,24
world,10
dont,11
home,23
show,8
non,13
right,15
take,19
thread,3
2,5
ever,6
two,9
let,15
which,18
post,2
1,3
ireland,8
thing,14
stormfront,1
jews,22
im,5
come,10
man,4
before,5
said,11
put,11
something,6
ago,6
really,9
little,15
does,8
maybe,14
children,34
after,10
area,7
anything,6
https,2
long,4
someone,13
nothing,6
d,5
saw,9
times,7
start,3
read,8
seen,9
another,5
thank,0
yes,9
use,11
went,5
irish,8
talk,3
3,4
still,8
free,4
place,6
while,9
forum,5
_,1
try,7
negro,7
site,9
against,9
eyes,9
found,6
person,8
org,2
bad,9
hate,5
work,5
sure,11
friends,9
keep,8
heard,7
again,8
please,2
anti,7
town,6
such,6
group,6
women,9
jew,7
since,3
tv,1
give,12
god,10
actually,8
guy,5
feel,9
name,9
next,5
city,4
house,4
things,7
ca,5
schools,13
part,2
girl,6
love,5
must,6
family,6
5,1
thanks,1
africa,8
better,6
hair,6
nationalist,4
welcome,1
made,2
else,9
brown,3
away,8
big,5
may,5
english,10
far,3
high,4
trying,10
tell,11
lot,3
wonder,6
american,4
thought,8
today,6
stop,6
racist,7
once,4
life,9
woman,5
story,4
days,2
money,10
used,4
music,3
together,5
looks,5
through,6
came,5
left,7
week,0
hell,3
crime,4
probably,2
4,3
pretty,4
meet,2
check,1
0,0
enough,4
pm,2
best,7
hey,0
help,9
men,3
police,5
believe,7
guess,5
europe,2
different,5
government,9
until,4
public,7
etc,6
though,7
half,2
nice,4
everyone,4
living,3
link,3
send,4
soon,6
says,7
u,0
jewish,5
couple,5
fight,4
least,6
each,4
hear,5
child,4
problem,6
canada,2
college,0
called,6
small,3
88,0
hard,3
south,4
themselves,9
yet,6
told,6
become,5
lol,1
coming,4
doing,5
skin,9
color,3
death,2
support,6
real,4
stupid,7
might,5
makes,11
truth,8
done,4
6,2
hi,2
beautiful,1
10,3
getting,6
attack,3
kid,6
nation,4
teachers,7
culture,16
point,7
girls,9
message,5
parents,24
history,4
front,7
night,2
state,5
media,7
yourself,1
care,8
end,2
both,5
young,7
german,2
asian,3
whole,2
fact,6
seems,8
move,3
london,0
v,2
run,3
full,3
true,3
wait,5
countries,11
word,1
without,9
yeah,5
asians,3
weeks,2
cause,4
call,5
under,2
alone,3
idea,2
000,2
light,4
reason,5
water,8
having,7
kind,2
join,0
future,5
able,5
boy,3
guys,5
america,4
open,5
teacher,2
others,6
mean,3
racial,4
stuff,1
war,1
blood,4
goes,1
proud,9
mother,5
european,3
almost,3
community,4
blue,3
remember,4
sorry,3
speak,4
learn,9
everything,1
picture,3
lots,3
html,1
party,5
videos,4
students,6
already,3
food,6
between,1
negroes,7
100,4
crap,6
during,3
friend,1
cant,3
20,3
wrong,1
pride,5
turn,5
job,5
county,0
gets,3
leave,6
st,2
oh,3
happy,1
watching,1
ones,7
stay,4
line,1
behind,5
gun,1
14,0
along,2
shows,3
class,3
face,6
brothers,4
p,1
e,2
across,4
9,2
book,1
pictures,3
wanted,4
head,4
uk,1
myself,3
band,1
french,2
local,5
either,5
mixed,4
30,0
working,4
started,3
sf,3
near,2
dr,1
comes,3
don,3
talking,5
7,2
youth,2
side,5
dark,2
posted,1
hello,0
saying,6
sweden,0
ya,0
members,5
took,6
2508,0
using,7
sad,2
matter,2
age,6
pass,5
march,1
land,5
guns,4
murder,1
page,3
song,1
rest,5
00,1
male,1
wants,5
law,3
funny,7
christian,2
later,2
stand,3
information,4
internet,1
genocide,3
british,3
poor,3
online,3
power,6
liberal,11
hand,5
thats,1
exactly,3
b,4
races,3
teach,1
sent,2
father,3
change,4
11,2
course,1
university,1
red,4
gone,1
tried,2
sound,0
moved,4
taken,0
nordic,4
western,2
several,2
single,0
son,1
article,5
mind,4
places,1
board,2
posting,0
killed,2
ask,0
rather,5
wish,2
ok,2
wn,4
download,1
50,2
cannot,6
happened,1
scum,2
brother,1
means,1
info,4
month,1
system,1
immigrants,7
york,0
set,4
td,0
street,2
three,1
david,2
dead,4
texas,1
case,4
past,5
national,5
dirty,3
shot,0
close,2
liberals,8
usually,5
die,2
eat,3
green,1
pro,4
groups,4
kill,3
making,3
happen,4
minority,2
lets,1
earth,3
report,1
listen,3
ple,1
posts,1
website,5
radio,1
knows,5
anyway,1
quite,1
gay,2
12,1
15,1
wo,4
understand,4
o,3
interested,1
f,1
mine,1
type,0
looked,0
email,1
example,1
england,1
words,3
section,1
outside,7
less,3
especially,1
ð,0
click,1
taking,8
co,1
none,2
knew,1
walk,2
interesting,1
instead,4
disgusting,3
25,3
important,3
sometimes,4
football,2
above,2
lived,1
holocaust,2
buy,0
dumb,3
nationalists,1
months,0
thinking,3
worse,4
problems,0
sick,5
gov,0
fighting,3
hundreds,1
running,3
bit,3
bunch,5
8,2
list,3
cool,2
play,1
north,2
bring,6
sports,1
nations,7
population,1
anymore,2
education,6
search,2
mostly,2
dog,1
everywhere,1
wife,3
fast,2
society,2
control,4
round,4
indeed,1
top,4
mixing,3
sister,4
laugh,5
force,6
israel,3
planet,0
immigration,3
east,0
agree,0
aryan,1
thousands,2
hands,5
fear,8
jesus,5
sounds,2
human,4
order,6
reading,3
fish,1
sisters,3
action,5
pet,1
glad,1
caught,0
pay,2
perhaps,4
plan,1
beat,3
net,1
car,3
britain,2
imagine,6
luck,1
works,6
id,1
possible,4
female,1
act,2
social,1
self,6
west,3
charged,0
killing,2
within,3
hours,3
member,1
chinese,4
diversity,3
animals,5
except,1
alot,1
millions,3
books,3
clean,4
among,2
game,1
gave,2
huge,4
spread,4
early,3
figure,5
body,1
whitehouse,0
judge,3
large,2
l,1
however,3
petitions,0
muslim,1
respect,4
movies,0
comment,0
according,3
short,0
summer,4
lives,11
damn,2
built,4
phone,1
evil,6
follow,5
hit,4
african,1
lost,3
ethnic,2
number,2
save,2
ground,3
five,4
giving,2
bus,1
similar,2
scene,1
sort,5
whatever,1
showing,5
feet,3
continue,4
door,4
mail,2
unfortunately,2
seem,3
late,3
event,1
cut,3
europeans,4
california,1
create,4
movement,1
middle,2
telling,2
note,2
metal,2
drug,2
numbers,1
bar,1
propaganda,3
security,4
americans,3
christmas,0
movie,0
wow,0
third,1
second,1
simply,3
add,2
cross,3
brought,2
baby,0
language,5
heritage,6
company,0
grow,4
attention,2
civilization,6
given,5
happens,3
northern,2
violent,1
morning,0
hopefully,1
jobs,4
million,1
slavic,2
duke,1
broadcast,2
four,1
mr,1
common,0
k,2
families,9
18,1
below,3
moment,1
victims,2
stick,1
major,2
majority,4
sign,3
tree,0
russian,3
russia,1
fun,1
folks,2
based,3
hour,0
test,0
facebook,3
wondering,2
hide,6
lady,0
r,1
photo,1
bet,3
ive,2
san,2
version,1
apes,1
allowed,3
southern,0
x202c,0
heart,1
cheap,3
william,0
