word,npmi-bias,them-npmi,them-count,woman-npmi,woman-count
woman,-0.5758710368528297,0.1248230037764694,2,0.7006940406292991,75
man,-0.37303033317713247,0.0512125915025599,1,0.4242429246796924,11
youtube,-0.32223476781779586,0.0413706677476141,3,0.36360543556541,12
bus,-0.2544779663015771,0.1360484004602241,1,0.3905263667618012,4
old,-0.2534097168330218,0.1343548620245983,5,0.3877645788576201,10
beaten,-0.2515392111980265,0.1557888176532048,1,0.4073280288512313,4
police,-0.2433926032423287,0.1582540160420398,3,0.4016466192843685,7
her,-0.2383313307571171,0.1701613133075951,9,0.4084926440647122,13
hair,-0.23510223314564788,0.0757983314872545,1,0.3109005646329024,3
murder,-0.231106708366585,0.1126278961788674,1,0.3437346045454524,3
arrested,-0.2272958676607969,0.1439189966742015,1,0.3712148643349984,3
dating,-0.2225493568682836,0.1792105752169058,1,0.4017599320851894,3
year,-0.2137599154222992,0.1644786141864685,7,0.3782385296087677,9
killed,-0.21160089404882862,0.1642320132289373,2,0.3758329072777659,4
story,-0.19817144270361298,0.079085193758615,1,0.277256636462228,2
u,-0.1974544191070623,0.0877821688412232,1,0.2852365879482855,2
asian,-0.19658275292190153,0.0979592172158122,1,0.2945419701377137,2
teacher,-0.19633282444767408,0.1008040792591539,1,0.297136903706828,2
local,-0.1955835460890646,0.109153662295802,1,0.3047372083848666,2
dr,-0.19547991692287878,0.1102882984755312,1,0.30576821539841,2
gang,-0.1912475423045728,0.1531858688521825,1,0.3444334111567553,2
prison,-0.1912475423045728,0.1531858688521825,1,0.3444334111567553,2
attacks,-0.1909711822463192,0.1557888176532048,1,0.346759999899524,2
1,-0.1906894219707779,0.1234535168817594,3,0.3141429388525373,4
groid,-0.19067751440956532,0.1585321846689164,1,0.3492096990784817,2
standing,-0.19036430319216352,0.1614331362251914,1,0.3517974394173549,2
attacked,-0.19002885129665412,0.1645122678572513,1,0.3545411191539054,2
17,-0.19002885129665412,0.1645122678572513,1,0.3545411191539054,2
turns,-0.1883851121177731,0.1792105752169058,1,0.3675956873346789,2
loud,-0.1883851121177731,0.1792105752169058,1,0.3675956873346789,2
white,-0.18813110809691258,0.2746039694593268,66,0.4627350775562394,35
arrest,-0.18786826225460743,0.1837073566841597,1,0.3715756189387671,2
yourself,-0.18730840325308998,0.1425954855232274,2,0.3299038887763174,3
death,-0.1870068009022795,0.1870116207229272,4,0.3740184216252067,5
shot,-0.1849343800204589,0.1655671007347175,2,0.3505014807551764,3
