word,they-count
the,607
to,550
i,315
and,538
a,369
of,377
in,313
is,191
it,246
that,263
you,135
for,173
are,369
have,252
on,175
they,1163
this,109
white,145
s,117
with,159
was,66
my,75
all,154
be,171
but,122
as,130
not,123
like,123
t,135
we,63
do,168
or,107
if,140
there,77
n,135
their,198
just,110
at,84
will,118
so,115
from,68
your,48
out,97
people,106
them,146
about,87
me,41
up,82
one,68
youtube,9
would,62
can,91
get,89
who,61
here,42
by,56
what,81
when,103
no,72
our,62
some,49
black,66
more,64
an,37
see,42
good,39
m,18
he,21
www,16
has,21
whites,63
know,57
how,70
com,15
go,55
been,36
time,34
other,36
think,66
had,46
were,77
new,19
her,17
only,51
then,59
school,38
these,48
should,56
back,36
any,30
want,58
because,81
us,50
say,49
than,44
few,28
http,12
well,33
those,42
now,32
race,29
many,30
too,22
old,14
very,21
day,23
his,21
way,34
its,21
kids,48
year,13
years,23
she,11
around,40
where,35
even,32
never,30
over,27
into,32
got,17
blacks,42
am,14
down,29
could,31
every,35
need,27
ve,22
video,9
going,28
great,14
same,38
news,14
find,30
look,30
re,74
did,34
also,19
make,32
anyone,17
watch,18
country,22
live,16
most,21
own,35
last,12
much,32
being,23
first,19
hope,21
ll,29
why,31
looking,11
him,16
always,20
off,39
world,16
dont,26
home,24
show,33
non,23
right,23
take,30
thread,5
2,8
ever,21
two,17
let,17
which,19
post,8
1,8
ireland,17
thing,22
stormfront,7
jews,20
im,13
come,37
man,11
before,18
said,26
put,24
something,18
ago,12
really,18
little,21
does,8
maybe,21
children,21
after,24
area,8
anything,17
https,2
long,19
someone,12
nothing,13
d,17
saw,10
times,13
start,16
read,10
seen,10
another,13
thank,5
yes,15
use,13
went,20
irish,18
talk,14
3,7
still,15
free,9
place,16
while,11
forum,3
_,2
try,19
negro,12
site,7
against,16
eyes,7
found,9
person,9
org,6
bad,12
hate,21
work,16
sure,19
friends,12
keep,18
heard,13
again,15
please,7
anti,14
town,9
such,10
group,15
women,20
jew,12
since,15
tv,9
give,21
god,14
actually,13
guy,7
feel,13
name,13
next,13
city,9
house,12
things,18
ca,14
schools,20
part,6
girl,7
love,11
must,16
family,11
5,7
thanks,2
africa,19
better,22
hair,9
nationalist,9
welcome,5
made,3
else,11
brown,10
away,11
big,8
may,12
english,10
far,8
high,7
trying,14
tell,14
lot,6
